Programme,Sub Program/Description,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
307004810,Trade Development and Investment,"138,710,000","41,675,551","97,034,449",30.0,125,0
306004810,"Administration, Planning and support ser-
vices",-,-,-,-,125,0
,Tourism,"9,750,000","276,000","9,474,000",2.8,125,0
304004810,Promotion of tourism and marketing,-,"- 229,000","229,000",-,125,0
308004810,Tourism Development and Marketing,"9,750,000","505,000","9,245,000",5.2,125,0
,Weights and Measure,"8,150,000","34,800","8,115,200",0.4,125,0
306004810,"Administration, Planning and support ser-
vices","8,150,000","34,800","8,115,200",0.4,125,0
,Industrialization,"129,500,000","11,549,067","117,950,933",8.9,125,0
309004810,Industrial development and investment,"129,500,000","11,549,067","117,950,933",8.9,125,0
,Housing,"4,355,000","1,034,069","3,320,931",23.7,125,0
306004810,"Administration, Planning and support ser-
vices","4,355,000","1,034,069","3,320,931",23.7,125,0
,Energy,"5,420,000","438,280","4,981,720",8.1,125,0
306004810,"Administration, Planning and support ser-
vices","5,420,000","438,280","4,981,720",8.1,125,0
,Electricity,"53,100,000","139,800","52,960,200",0.3,125,0
307004810,Trade Development and Investment,"53,100,000","139,800","52,960,200",0.3,125,0
,Environment,"16,391,677","4,044,853","12,346,824",24.7,125,0
1006004810,,-,-,-,-,125,0
1001004810,Environment management,-,-,-,-,125,0
1007004810,,"16,391,677","4,044,853","12,346,824",24.7,125,0
,Water and Sewerage,"387,544,974","66,159,484","321,385,490",17.1,125,0
1002004810,Water provision and management,-,-,-,-,125,0
1006004810,,"387,544,974","66,159,484","321,385,490",17.1,125,0
,Forestry,"52,590,682","592,996","51,997,686",1.1,125,0
1005004810,,"52,590,682","592,996","51,997,686",1.1,125,0
,Natural Resource,"40,023,128","1,125,582","38,897,546",2.8,125,0
1005004810,,"40,023,128","1,125,582","38,897,546",2.8,125,0
,Public Service,"5,227,287,606","2,091,843,196","3,135,444,410",40.0,125,0
712004810,"County Public service and Administrative
services","5,227,287,606","2,091,843,196","3,135,444,410",40.0,125,0
,County Administration,"394,544,690","121,720,054","272,824,636",30.9,125,0
712004810,"County Public service and Administrative
services","394,544,690","121,720,054","272,824,636",30.9,125,0
,Ward Administration,"16,171,229","4,022,162","12,149,067",24.9,125,0
712004810,"County Public service and Administrative
services","16,171,229","4,022,162","12,149,067",24.9,125,0
,Sub- County Administration,"62,315,428","7,522,763","54,792,665",12.1,125,0
712004810,"County Public service and Administrative
services","62,315,428","7,522,763","54,792,665",12.1,125,0
,Directorate of Alcoholic Drinks,"4,636,099","1,425,469","3,210,630",30.7,125,0
716004810,Alcoholics and Drinks Control,"4,636,099","1,425,469","3,210,630",30.7,125,0
,,"35,365,828","6,462,429","28,903,399",18.3,125,0
712004810,"County Public service and Administrative
services","35,365,828","6,462,429","28,903,399",18.3,125,0
,Governor’s Office,"107,390,000","35,527,547","71,862,453",33.1,125,0
703004810,Management of county affairs,"107,390,000","35,527,547","71,862,453",33.1,125,0
,Liaison Office,"9,745,000","3,384,094","6,360,906",34.7,125,0
709004810,Coordination and supervisory services,"9,745,000","3,384,094","6,360,906",34.7,125,0
,County Court,"11,970,000","966,968","11,003,032",8.1,125,0
704004810,Coordination and supervisory services,"11,970,000","966,968","11,003,032",8.1,125,0
,Intergovernmental Relation,"6,500,000",-,"6,500,000",-,125,0
709004810,Coordination and supervisory services,"6,500,000",-,"6,500,000",-,125,0
,Internal Audit,"15,374,443","2,003,323","13,371,120",13.0,125,0
709004810,Coordination and supervisory services,"15,374,443","2,003,323","13,371,120",13.0,125,0
,Cooperative Societies,"10,630,000","745,057","9,884,943",7.0,125,0
