Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)",Absorption Rate (%),page_number,table_index
Agriculture and Livestock,,,,,,351,1
"Administrative and Support
Services",Human Resource Management,"229,330,334","90,071,142","139,259,192",39.3,351,1
,"Supervision and Management of
Projects","259,325,441","82,818,138","176,507,303",31.9,351,1
"Livestock Breeding and Ge-
netic Improvement","Livestock Breeding and Genetic Im-
provement","152,183,788","30,807,135","121,376,653",20.2,351,1
Crop Diversification,Crop Diversification,"101,500,000","18,989,465","82,510,535",18.7,351,1
Co-Operative Development,"Modernisation of Co-Operative
Societies","648,882",-,"648,882",-,351,1
Sub total,,"742,988,444","222,685,880","520,302,564",30.0,351,1
"Lands, Physical Planning and Housing",,,,,,351,1
"Acquisition Of Title Deeds To
Government Land and",Survey,"40,258,730",-,"40,258,730",-,351,1
Sub total,,"40,258,730",,"40,258,730",-,351,1
"Public Works, Transport and Infrastructure",,,,,,351,1
"Administrative and Support
Services",Human Resource Management,"199,938,484","42,621,944","157,316,540",21.3,351,1
,Machinery and Equipment,"100,500,000","45,414,118","55,085,882",45.2,351,1
Road Maintenance,Maintenance of Roads,"331,082,767","96,787,630","234,295,137",29.2,351,1
Infrastructure Development,Transport Management,"20,000,000","2,991,400","17,008,600",15.0,352,0
,Electrification,"28,809,588","1,857,610","26,951,978",6.4,352,0
Sub total,,"680,330,839","189,672,703","490,658,136",27.9,352,0
"Trade, Commerce and Industry",,,,,,352,0
"Administrative and Support
Services",Human Resource Management,"60,444,644","13,802,716","46,641,928",22.8,352,0
"Trade and Industry Develop-
ment","Promotion of Enterprise and Entre-
preneurship","229,648,317","20,056,108","209,592,209",8.7,352,0
,Trade Development and Promotion,"16,600,000","500,000","16,100,000",3.0,352,0
Sub total,,"306,692,961","25,711,918","280,981,043",8.4,352,0
Health Services and Corporate Health,,,,,,352,0
"Administrative and Support
Services",Human Resource Management,"1,707,565,996","985,653,904","721,912,092",57.7,352,0
Public Health,Preventive Health Care Services,"519,802,191","330,787,047","189,015,144",63.6,352,0
Sub total,,"2,227,368,187","1,316,440,951","910,927,236",59.1,352,0
"Education ,ECDE and Vocational Training",,,,,,352,0
"Administrative and Support
Services",Human Resource Management,"373,026,371","176,476,424","196,549,947",58.4,352,0
,"Supervision and Management of
Projects","106,300,000",0,"106,300,000",0.0,352,0
Vocational Training,Infrastructure Development,"74,768,711","48,615,599","26,153,112",65.0,352,0
,Learning Materials Arid Equipment,"10,000,000","2,184,706","7,815,294",21.8,352,0
Sub total,,"564,095,082","227,276,728","336,818,354",40.3,352,0
Finance and Economic Planning,,,,,,352,0
"Administrative and Support
Services",Human Resource Management,"1,417,568,128","424,193,037","993,375,090",29.9,352,0
,"Supervision and Management of
Projects","367,790,418","2,520,041","365,270,377",0.7,352,0
,Infrastructure and Equipment,"103,820,906",-,"103,820,906",0.0,352,0
,Finance Management Services,"374,406,632","90,151,783","284,254,848",24.1,352,0
Sub total,,"2,263,586,083","516,864,861","1,746,721,222",22.8,352,0
"Gender, Youth ,Sports, Culture, Social Services ,Children & Tourism",,,,,,352,0
"Administrative and Support
Services",Human Resource Management,"53,055,145","11,078,022","41,977,123",20.9,352,0
Sports,Sports Events and Competitions,"20,000,000",,"20,000,000",0.0,352,0
Culture,"Development Arid Promotion of
Culture","83,400,000","9,804,750","73,595,250",11.8,352,0
,Special Programmes,"17,158,774","2,700,000","14,458,774",15.7,352,0
Sub total,,"173,613,919","23,582,772","150,031,147",13.6,352,0
"Water, Environment and Natural Resources",,,,,,352,0
"Administrative and Support
Services",Human Resource Management,"97,519,375","25,816,902","71,702,473",26.5,352,0
,"Administrative and Support Ser-
vices","7,018,397",-,"7,018,397",-,352,0
"Water Resource Management
and Storage","Water Supply Infrastructure and
Sanitation","15,000,000","7,276,500","7,723,500",48.5,352,0
,Ground Water Exploitation,"55,000,000","19,710,800","35,289,200",35.8,352,0
"Environment Management
and Protection",Waste Management,"191,201,401","33,441,221","157,760,180",17.5,352,0
Sub total,,"365,739,173","86,245,423","279,493,750",23.6,352,0
County Assembly,,,,,,352,0
Legislative and Oversight Arm,Legislative and Oversight Arm,"170,715,006","64,154,977","106,560,029",37.6,352,0
"General administrative and
Support Services","General administrative and Support
Services","602,094,685","222,914,327","379,180,358",37.0,352,0
Security Services,Security Services,"8,026,864","3,075,000","4,951,864",38.3,352,0
Sub total,,"780,836,555","290,144,304","490,692,251",37.2,352,0
Grand Total,,"8,145,509,973","2,898,625,540","5,246,884,433",35.6,352,0
