Programme,Sub- Programme,"Approved Budget
(Kshs)",Actual Payments (Kshs),Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Office of The Governor,,,,,,294,1
"General Administra-
tion and Support Ser-
vices","General administration sup-
port services","247,287,605.00","89,378,826.55","157,908,778.45",36.1,294,1
,"Executive management and li-
aison services","181,024,920.00","4,539,356.00","176,485,564.00",2.5,294,1
,Legislation,"20,850,000.00","2,217,400.00","18,632,600.00",10.6,294,1
,Subtotal,"449,162,525.00","152,397,799.80","296,764,725.20",33.9,294,1
Finance and Economic Planning,,,,,,294,1
"Information and
Communication
Technology Services",ICT infrastructural services,"82,008,375.00","47,178,134.15","34,830,240.85",57.5,294,1
,"General administration sup-
port services","21,415,297.00","4,745,669.45","16,669,627.55",22.2,294,1
"General Administra-
tion and Support Ser-
vices","Policy development and sup-
port services","3,276,000.00","1,389,500.00","1,886,500.00",42.4,294,1
,Supply chain management,"24,311,548.00","11,130,920.00","13,180,628.00",45.8,294,1
,"Economic planning and coor-
dination","29,001,703.00","10,012,440.10","18,989,262.90",34.5,294,1
"Economic Planning,
Budgeting and Coor-
dination Services","Budget formulation and man-
agement","19,293,755.00","6,701,160.00","12,592,595.00",34.7,294,1
,"Accounting and financial ser-
vices","72,323,155.00","13,069,600.00","59,253,555.00",18.1,294,1
"County Financial
Management and
Control",Audit services,"15,335,487.00","6,968,224.95","8,367,262.05",45.4,294,1
,external Resource mobilization,"75,000,000.00","188,000.00","74,812,000.00",0.3,294,1
Resource Mobilization,internal Resource mobilization,"131,116,623.00","44,393,332.70","86,723,290.30",33.9,294,1
,Subtotal,"473,081,943.00","145,776,981.35","327,304,961.65",30.8,294,1
"Agriculture, Livestock and Fisheries",,,,,,294,1
"Policy Planning, Gen-
eral Administration
and Support Services","General administration and
support services","44,437,664.00","14,838,321.15","29,599,342.85",33.4,294,1
,Policy and planning,"5,978,614.00","1,070,100.00","4,908,514.00",17.9,294,1
"Crop, Agribusiness
and Land Manage-
ment Services",Crop Development Services,"28,939,124.00","10,399,787.25","18,539,336.75",35.9,295,0
,Agribusiness,"24,901,616.00","10,846,451.00","14,055,165.00",43.6,295,0
"Fisheries Develop-
ment and Promotion
Services","Aquaculture Promotion Ser-
vices","26,269,140.00","13,134,404.50","13,134,735.50",50.0,295,0
"Livestock Promotion
ans Development","Livestock Products Value Addi-
tion and Marketing","30,227,884.00","15,109,987.85","15,117,896.15",50.0,295,0
,Subtotal,"160,754,042.00","65,399,051.75","95,354,990.25",40.7,295,0
"Department of Environment, Water, Mining & Natural resource",,,,,,295,0
