Program,Sub Program,Description,"Final Budget
(Kshs.)","Actual Expenditure
(Kshs.)","Absorption
(%)",page_number,table_index
102003000,,,"30,655,100","1,781,527",5.8,357,1
,102014110,"Delineation & adjudication of community
land","30,655,100","1,781,527",5.8,357,1
103003000,,,"44,804,913","2,226,628",5.0,357,1
,103044110,,"44,804,913","2,226,628",5.0,357,1
104003000,,,"62,415,161","94,960",0.2,357,1
,104024110,,"14,500,000",-,0.0,357,1
,104064110,Transport Parks,"22,405,000",-,0.0,357,1
,104074110,Urban Centre Management,"25,510,161","94,960",0.4,357,1
,104084110,Municipality Upgrade,-,-,0.0,357,1
105003000,,,"4,185,867","544,250",13.0,357,1
,105014110,Land acquisition for public utilities,"4,185,867","544,250",13.0,357,1
109003000,,,"98,283,302","420,000",0.4,357,1
,109014110,Improvement of Moi Garden Stadia,"52,783,302","420,000",0.8,357,1
,109024110,completion of recreational park,"37,500,000",-,0.0,357,1
,109034110,setting up of dumping site in Lodwar,"8,000,000",-,0.0,357,1
110003000,,,"440,697,982","4,191,307",1.0,357,1
,110044110,,"158,875,747","4,191,307",2.6,357,1
,110054110,,"112,357,235",-,0.0,357,1
,110064110,,"77,000,000",-,0.0,357,1
,110074110,Spate Irrigation Technology,"61,350,000",-,0.0,357,1
,110084110,Rehabilitation,"8,170,000",-,0.0,357,1
,110094110,Soil & Water Conservation,"22,945,000",-,0.0,357,1
111003000,,,"36,434,905","1,507,700",4.1,357,1
,111014110,"Fish market infrastructure/ fish value ad-
dition","2,778,795","234,240",8.4,357,1
,111024110,Fisheries livelihood support,"2,704,680","648,580",24.0,357,1
,111034110,Fisheries Extension Services,"3,121,280","12,600",0.4,357,1
,111044110,Fisheries resource management,"7,278,949","190,400",2.6,357,1
,111054110,,"13,343,252","421,880",3.2,357,1
,111064110,,"4,258,735",-,0.0,357,1
,111084110,Fish Farming & Aquaculture,"2,949,214",-,0.0,357,1
115003000,,,"75,858,148","5,769,750",7.6,357,1
,115014110,Frame survey,"65,924,148","3,326,910",5.0,358,0
,115024110,Fish Stock assessment,"2,880,000","892,440",31.0,358,0
,115034110,"Monitoring, Control and Surveillance","4,992,000","647,700",13.0,358,0
,115044110,Resource monitoring facilities,"2,062,000","902,700",43.8,358,0
117003000,,,"98,663,187","3,546,400",3.6,358,0
,117014110,"Establish livestock Multiplication and
breeding Centre.","3,240,000","240,420",7.4,358,0
,117034110,Provision of Livestock Extension services,"6,624,000","814,850",12.3,358,0
,117054110,"Livestock multiplication and breeding cen-
tre","5,940,000","700,000",11.8,358,0
,117064110,Livestock Risk Mgt,"1,440,000","719,930",50.0,358,0
,117074110,Livestock Value Chain,"55,339,187","1,071,200",1.9,358,0
,117084110,Skills Devt,"26,080,000",-,0.0,358,0
125003000,,,"599,201,103","115,938,791",19.3,358,0
,125014110,ral Administration,"99,779,055","25,115,494",25.2,358,0
,125024110,"General Administration and Support Ser-
vices- Pastoral Economy and","128,177,406","20,998,151",16.4,358,0
,125034110,"General Administration, Planning and
Support Services – Lands General Admin-
istration, Planning and Support Services
- Lands","371,244,642","69,825,146",18.8,358,0
126003000,,,"50,875,177","7,937,250",15.6,358,0
,126044110,"Agri-nutrition/Urban & peri-urban agri-
culture","324,000","61,250",18.9,358,0
,126064110,"Smart agriculture practices (Innovations/
technologies to mitigate","5,000,000",-,0.0,358,0
,126084110,"Agricultural Sector Development Support
Programme (ASDSP)","23,981,177","7,500,000",31.3,358,0
,126104110,Agricultural Mechanization,"9,250,000",-,0.0,358,0
,126114110,Agric market Access,"720,000","61,000",8.5,358,0
,126124110,Agric Extension & Devt,"1,440,000","131,120",9.1,358,0
,126134110,Subsidy & Support,"6,440,000",-,0.0,358,0
,126144110,Pest Control & Mgt,"3,720,000","183,880",4.9,358,0
127003000,,,"17,640,280","21,240",0.1,358,0
,127014110,Mechanization,-,-,0.0,358,0
,127054110,Land Policies,"17,640,280","21,240",0.1,358,0
129003000,,,"222,213,200","229,294,743",103.2,358,0
,129014110,NARIGP,"222,213,200","229,294,743",103.2,358,0
130003000,,,"210,000,000",-,0.0,358,0
,130014110,DRNKP/KfW,"210,000,000",-,0.0,358,0
131003000,,,"30,000,000",-,0.0,358,0
,131014110,Land Development,"30,000,000",-,0.0,358,0
201003000,,,"499,397,989","84,599,374",16.9,358,0
,201024110,Gravel rural roads,"5,000,000",-,0.0,358,0
,201044110,Road Designs system and software,"2,850,547",-,0.0,358,0
,201054110,"Annual Roads Inventory and Conditional
Survey (ARICS)","3,016,738",-,0.0,358,0
,201064110,Roads Safety initiatives,"3,500,000","830,170",23.7,358,0
,201074110,Roads maintenance levy fund(RMLF),"458,530,704","81,769,220",17.8,358,0
,201094110,Roads,"26,500,000","1,999,984",7.5,358,0
203003000,,,"53,398,455","735,000",1.4,358,0
,203134110,Machinery,"3,500,000",-,0.0,358,0
,203144110,Machinery,"27,898,455",-,0.0,358,0
,203154110,Feasibility & Consultancy,"14,000,000",-,0.0,358,0
,203164110,Capacity Building,"5,600,000","735,000",13.1,358,0
,203184110,Professional Capacity Building,"2,400,000",-,0.0,358,0
205003000,,,"155,468,861","42,874,315",27.6,359,0
,205014110,General Administration,"128,764,604","41,681,065",32.4,359,0
,205024110,General Administration- Public works,"26,704,257","1,193,250",4.5,359,0
206003000,,,"4,100,000","1,728,800",42.2,359,0
,206014110,Mechanical Services,"4,100,000","1,728,800",42.2,359,0
207003000,,,"4,900,000","1,697,820",34.6,359,0
,207014110,Structural Services,"4,900,000","1,697,820",34.6,359,0
