Department,Programme / Sub - Programme,"Approved Estimates FY
2020/21 (Kshs)","Actual Expendi-
ture (Kshs)",Variance (Kshs),"Implementation
status (%)",page_number,table_index
"Agriculture, Live-
stock & Fisheries","Programme 1: General administration &
planning",,,,,213,1
,SP1. 1 General administration & planning,"613,328,912","205,129,621","408,199,291",33,213,1
,"Programme 2: Land, Crop development &
productivity",,,-,,213,1
,"SP2. 1 Land, Crop development & produc-
tivity","35,462,343","562,870","34,899,473",2,213,1
,"P3; Agribusiness and information manage-
ment",,,-,-,213,1
,"SP3. 1 Agribusiness and information man-
agement","168,298,835","12,828,649","155,470,186",8,213,1
,"Programme 4: Livestock Production, Man-
agement and Development",,,-,-,213,1
,"SP4. 1 Livestock Production, Management
and Development","86,946,324","4,142,386","82,803,938",5,213,1
,Total Budget,"904,036,414","222,663,526","681,372,887",25,213,1
"Transport & Infra-
structure","Programme 1: General administration &
planning",,,-,-,213,1
,SP1. 1 General administration & planning,"182,082,672","75,727,713","106,354,959",42,213,1
,Programme 2: Road transport,,,-,,213,1
,SP2. 1 Road transport,"926,897,647","77,875,548","849,022,100",8,213,1
,P3; Infrastructure development,,,-,,213,1
,SP3. 1 Infrastructure development,"34,735,276",-,"34,735,276",-,213,1
,"Programme 2: Energy Infrastructure & de-
velopment",,,-,-,213,1
,SP4. 1 Energy Infrastructure & development,"69,741,288","1,478,600","68,262,688",2,213,1
,Total Budget,"1,213,456,884","155,081,861","1,058,375,023",13,213,1
"Trade, Industry &
Cooperatives","Programme 1: General administration &
planning",,,-,-,214,0
,SP1. 1 General administration & planning,"42,200,723","17,284,688","24,916,034",41,214,0
,"Programme 2: Trade development & pro-
motion",,,-,-,214,0
,"SP2.1; Entrepreneurial development and
training",,,-,-,214,0
,SP2.2; Fair trade and consumer protection,,,-,-,214,0
,SP2.3; Local markets development,,,-,-,214,0
,SP2.4; Trade marketing & promotion,"84,065,437","4,388,207","79,677,230",5,214,0
,P3; Industrial development and promotion,,,-,-,214,0
,"SP3. 1 Industrial development and promo-
tion","50,000","1,741,800","(1,691,800)",3484,214,0
,"Programme 4: Tourism development &
promotion",,,-,-,214,0
,SP4. 1 Tourism development & promotion,"6,551,511","289,520","6,261,991",4,214,0
,"Programme 5: Cooperative development
and management",,,-,-,214,0
,"SP4. 1 Cooperative development and man-
agement","21,494,745","4,149,000","17,345,745",19,214,0
,Total Budget,"154,362,416","27,853,215","126,509,200",18,214,0
"Land, Physical
Planning & Min-
ing","Programme 1: General administration &
planning",,,-,-,214,0
,SP1. 1 General administration & planning,"41,449,554","10,737,403","30,712,152",26,214,0
,Programme 2: Land Survey & Mapping,,,-,-,214,0
,SP2. 1 Land Survey & Mapping,"62,692,977","2,099,300","60,593,677",3,214,0
,P3; Urban planning,,,-,-,214,0
,SP3. 1 Urban planning,"179,487,454","16,795,095","162,692,360",9,214,0
,"Programme 2: Mining mapping & devel-
opment",,,-,-,214,0
,SP4. 1 Mining mapping & development,"1,522,500",-,"1,522,500",-,214,0
,"Programme 4: Environment management
and protection",,,-,-,214,0
,"SP4. 1 Environment management and pro-
tection","102,781,916","26,465,331","76,316,584",26,214,0
,Total Budget,"387,934,401","56,097,129","331,837,273",14,214,0
"Water, Irrigation
& Environment","Programme 1: General administration &
planning",,,-,-,214,0
,SP1. 1 General administration & planning,"135,010,304","46,104,142","88,906,162",34,214,0
,"Programme 2: Water infrastructure Devel-
opment",,,-,-,214,0
,SP 2.1 Water harvesting and storage,"404,531,015","74,921,639","329,609,376",19,214,0
,SP 2.2. Piped water supply infrastructure,"439,316,897","59,744,087","379,572,810",14,214,0
,SP2.3 Ground water development,"135,534,970","33,406,699","102,128,270",25,214,0
,P3; Irrigation infrastructure development,,,-,-,214,0
,SP3. 1 Irrigation infrastructure development,,,-,-,214,0
,"Programme 4: Environment management
and protection",,,-,-,214,0
,"SP4. 1 Environment management and pro-
tection",-,-,-,-,214,0
,Total Budget,"1,114,393,185","214,176,567","900,216,618",19,214,0
Sand Authority,"Programme 1: General administration &
planning",,,-,-,214,0
,SP1. 1 General administration & planning,"131,262,726","12,966,711","118,296,015",10,214,0
,Total Budget,"131,262,726","12,966,711","118,296,015",10,214,0
Education & ICT,"Programme 1: General administration &
planning",,,-,-,214,0
,SP1. 1 General administration & planning,"372,593,466","88,249,422","284,344,043",24,214,0
,Programme 2: Early childhood education,,,-,-,214,0
,SP1. 1 Early childhood education,"119,408,409","28,970,656","90,437,753",24,214,0
,"Programme 3: Technical training &
non-formal education",,,-,-,215,0
,"SP1. 1 Technical training & non-formal ed-
ucation","30,157,272","33,613,363","(3,456,092)",111,215,0
,Programme 4: Support to education,,,-,-,215,0
,SP1. 1 Support to education,"70,374,644","1,999,840","68,374,804",3,215,0
,"Programme 5; ICT Infrastructure & Sys-
tems Development",,,-,-,215,0
,"SP3. 1 ICT Infrastructure & Systems Devel-
opment","55,897,517","6,566,207","49,331,310",12,215,0
,"Programme 6; Youth Development sup-
port & Empowerment",,,-,-,215,0
,SP6. 1 Youth Development,-,-,-,-,215,0
,Programme 7: Sports Development,,,-,-,215,0
,SP7. 1 Sports Development,"78,122,930","7,338,490","70,784,440",9,215,0
,Total Budget,"726,554,237","166,737,978","559,816,259",23,215,0
Health,"Programme 1: General administration &
planning",,,-,-,215,0
,SP1. 1 General administration & planning,"3,386,647,973","1,137,917,005","2,248,730,968",34,215,0
,Programme 2: Curative health care services,,,-,-,215,0
,SP2. 1: Curative health care services,"255,393,727","44,653,681","210,740,046",17,215,0
,"Programme 3; Preventive and promotive
health care services",,,-,-,215,0
,"SP3. 1 Preventive and promotive health care
services","138,388,507","1,645,160","136,743,347",1,215,0
,Total Expenditure of Vote,"3,780,430,207","1,184,215,847","2,596,214,360",31,215,0
"Youth, Gender &
Social Services","Programme 1: General administration &
planning",,,-,-,215,0
,SP1. 1 General administration & planning,"102,154,282","30,616,337","71,537,945",30,215,0
,"Programme 2: Gender & Social Develop-
ment",,,-,-,215,0
,SP2. 1 Gender & Social Development,"63,640,575","3,429,824","60,210,751",5,215,0
,"P3; Youth Development support & Em-
powerment",,,-,-,215,0
,SP3. 1 Youth Development,,,-,-,215,0
,Programme 2: Sports Development,,,-,-,215,0
,SP4. 1 Sports Development,,,-,-,215,0
,Total Budget,"165,794,857","34,046,161","131,748,696",21,215,0
County Attorney,Programme 1: Legal & advisory services,,,-,-,215,0
,SP1. 1 Legal & advisory services,"46,631,942","10,295,811","36,336,132",22,215,0
,Total Budget,"46,631,942","10,295,811","36,336,132",22,215,0
County Secretary,"Programme 1: Leadership and coordina-
tion of departments.",,,-,-,215,0
,"SP1. 1 Leadership and coordination of de-
partments.","454,100,746","278,484,086","175,616,661",61,215,0
,Total Budget,"454,100,746","278,484,086","175,616,661",61,215,0
Governorship,"Programme 1: General administration &
planning",,,-,-,215,0
,SP1. 1 General administration & planning,"206,970,183","63,521,474","143,448,709",31,215,0
,Total Budget,"206,970,183","63,521,474","143,448,709",31,215,0
"Devolution &
Public Service","Programme 1: General administration &
planning",,,-,-,215,0
,SP1. 1 General administration & planning,"234,751,808","83,853,459","150,898,349",36,215,0
,"Programme 2: :Public Participation & Civ-
ic Education",,,-,-,215,0
,"SP2. 1:Public Participation & Civic Educa-
tion","39,590,000","8,474,710","31,115,290",21,215,0
,"Programme 3; Information and communi-
cation",,,-,-,215,0
,SP3. 1 Information and communication,"12,570,000","366,500","12,203,500",3,215,0
,"Programme 4:Enforcement and compli-
ance",,,-,-,215,0
