Program,Subprogram,"Approved Bud-
get (Kshs.)",Actual Payments (Kshs.),Variance (Kshs.),"Absorption
(%)",page_number,table_index
,"General Administration and
Support Services",-,"307,891","(307,891)",-,462,0
"Kenya Medical
Training College","Kenya Medical Training
College",-,-,-,-,462,0
,"Kenya Medical Training Col-
lege (KMTC)",-,-,-,-,462,0
RMNCH,RMNCH,,-,-,,462,0
,RMNCH,"108,119,183","48,077,683","60,041,500",44.5,462,0
TB & HIV - AIDS,TB & HIV - AIDS,,-,-,-,462,0
,TB & HIV-AIDS,"17,600,000","13,513,724","4,086,276",76.8,462,0
Health Research,Health Research,,-,-,-,462,0
,Health Research Services,"13,256,000","10,593,337","2,662,663",79.9,463,0
"Emergency Refer-
ral Services","Emergency Referral Ser-
vices",,-,-,-,463,0
,Curative Services,"70,764,000","29,688,735","41,075,265",42.0,463,0
"Specialised Ser-
vices",Specialised Services,,-,-,-,463,0
,Curative Services,"33,600,000","18,548,816","15,051,184",55.2,463,0
"Health Shared Ser-
vices",Health Shared Services,,-,-,-,463,0
,"General Administration and
Support Services","2,005,754,734","1,639,121,480","366,633,254",81.7,463,0
,Curative Services,"2,500,000",-,"2,500,000",-,463,0
"Education, Youth,
Gender and Social
Services",,,-,-,,463,0
"Vocational Training
Services",Vocational Training Services,-,"2,365,760","(2,365,760)",,463,0
"Gender, Culture and
Social services","Gender, Culture and Social
services",-,-,-,-,463,0
Youth polytechnics,Youth polytechnics,"17,653,000","13,989,296","3,663,704",79.2,463,0
"General Adminis-
tration and Support
Services","General Administration and
Support Services",-,-,-,-,463,0
"School Support and
Development Ser-
vices","School Support and Devel-
opment Services",-,-,-,-,463,0
ECD,ECD,"674,919,328","447,207,920","227,711,408",66.3,463,0
"Sports promotion
and development","Sports promotion and devel-
opment",-,-,-,-,463,0
Social Services,Social Services,,-,-,-,463,0
,"Sports promotion and devel-
opment","40,044,400","27,949,584","12,094,816",69.8,463,0
,"Gender, Culture and Social
services","16,560,000","11,789,888","4,770,112",71.2,463,0
Gender,Gender,,-,-,-,463,0
,"Gender, Culture and Social
services","27,924,100","18,937,290","8,986,810",67.8,463,0
"Heritage and Li-
brary Services","Heritage and Library Ser-
vices",,-,-,-,463,0
,"County Economic Planning
Services","5,000,000","4,000,000","1,000,000",80.0,463,0
,"Gender, Culture and Social
services","9,667,800","7,403,558","2,264,242",76.6,463,0
"Agriculture, Live-
stock and Fisheries",,,-,-,,463,0
"Agricultural infra-
structure develop-
ment program","Agricultural infrastructure
development program","41,400,900","41,843,338","(442,438)",,463,0
"Kenya Climate
Smart Agriculture","Kenya Climate Smart Agri-
culture","357,281,090","31,049,432","326,231,658",8.7,463,0
"Administrative and
support services","Administrative and support
services","177,072,580","118,809,631","58,262,949",67.1,463,0
"Livestock & Veter-
inary",Livestock & Veterinary,,-,-,-,463,0
,Veterinary Support Services,"72,715,000","17,913,174","54,801,826",24.6,463,0
,"Livestock Infrastructure im-
provement program","215,297,068","90,832,522","124,464,546",42.2,463,0
Fisheries,Fisheries,,-,-,-,464,0
,"Aquaculture, Inland fisheries
production and Extension
services","15,436,400","5,864,896","9,571,504",38.0,464,0
Irrigation,Irrigation,,-,-,-,464,0
,"Irrigation management ser-
vices","50,734,400","35,021,578","15,712,822",69.0,464,0
,"Agriculture Sector Develop-
ment Support Programme","62,580,823","6,400,000","56,180,823",10.2,464,0
"ICT and E-Gov-
ernment, Trade,
Industrialization
and Cooperative
Development",,,-,-,,464,0
"Industrial Develop-
ment",Industrial Development,-,-,-,,464,0
"Co-operative Devel-
opment",Co-operative Development,-,-,-,-,464,0
Trade Services,Trade Services,"37,500,000","35,049,205","2,450,795",93.5,464,0
"Administrative and
support Services","Administrative and support
Services","170,955,660","137,308,787","33,646,873",80.3,464,0
Tourism & Wildlife,Tourism & Wildlife,-,-,-,-,464,0
Industrialisation,Industrialisation,,-,-,-,464,0
,Industrial Development,"3,000,000","1,600,000","1,400,000",53.3,464,0
,Co-operative Development,"3,142,260","2,689,600","452,660",85.6,464,0
"Co-operative De-
velopment",Co-operative Development,,-,-,-,464,0
,Co-operative Development,"17,598,720","14,324,935","3,273,785",81.4,464,0
,Trade Services,"2,136,540","2,611,496","(474,956)",122.2,464,0
ICT Services,ICT Services,,-,-,-,464,0
,ICT Infrastructure Services,"22,190,000","21,360,188","829,812",96.3,464,0
Tourism & Wildlife,Tourism & Wildlife,-,-,-,-,464,0
"Public Works,
Housing and Phys-
ical Planning",,,-,-,,464,0
"Housing develop-
ment and Human
Settlement","Housing development and
Human Settlement",-,-,-,,464,0
"Government Build-
ing Services","Government Building Ser-
vices",-,"(96,240)","96,240",-,464,0
"Administrative and
support services","Administrative and support
services","69,960,621","27,991,384","41,969,237",40.0,464,0
"Land Policy and
Physical Planning","Land Policy and Physical
Planning","157,000,000","66,874,145","90,125,855",42.6,464,0
Housing,Housing,-,-,-,-,464,0
,"Housing development and
Human Settlement",-,-,-,-,464,0
,"Government Building Ser-
vices",-,-,-,-,464,0
Physical Planning,Physical Planning,,-,-,-,464,0
,"Land Policy and Physical
Planning","4,408,600","2,580,312","1,828,288",58.5,464,0
Public Works,Public Works,,-,-,-,464,0
"Government Build-
ing Services","Government Building Ser-
vices","802,400","2,401,861","(1,599,461)",299.3,464,0
,Energy Services,-,-,-,-,465,0
,"Enhancement of public
roads transport system","94,111,000","18,152,951","75,958,049",19.3,465,0
"Public Services,
Special Program
and Decentraliza-
tion Unit",,,-,-,,465,0
Public Participation,Public Participation,-,-,-,,465,0
"Administration of
Human Resources","Administration of Human
Resources","499,448,217","338,002,217","161,446,000",67.7,465,0
Decentralised Unit,Decentralised Unit,,-,-,-,465,0
,"Administration of Human
Resources","25,550,640","27,669,619","(2,118,979)",108.3,465,0
"Town Administra-
tion",Town Administration,,-,-,-,465,0
,"Engineering, Maintenance
and Physical infrastructure
services","56,500,000","26,840,472","29,659,528",47.5,465,0
,"Environment, Beautification
and Sanitation services",-,-,-,-,465,0
-,Special Programs,-,"1,584,000","(1,584,000)",-,465,0
"Public Participa-
tion",Public Participation,"14,614,000","12,483,766","2,130,234",85.4,465,0
"Conflict Resolu-
tion",Conflict Resolution,"17,191,851","12,688,377","4,503,474",73.8,465,0
"Intergovernmental
Relations","Intergovernmental Rela-
tions",,-,-,-,465,0
,County Executive Services,"8,636,624","6,566,560","2,070,064",76.0,465,0
"Disaster Manage-
ment",Disaster Management,"75,519,800","59,124,961","16,394,839",78.3,465,0
"Service Delivery
and Performance
Contracting","Service Delivery and Per-
formance Contracting","14,808,000","9,820,051","4,987,949",66.3,465,0
"Governance and
Ethics",Governance and Ethics,"7,337,600","4,427,232","2,910,368",60.3,465,0
CPSB,,,-,-,,465,0
"General Adminis-
tration and Sup-
port Services","General Administration and
Support Services","83,595,808","40,467,756","43,128,052",,465,0
Wajir Municipality,,,-,-,,465,0
"General Adminis-
tration and Support
Services","General Administration and
Support Services","357,685,264","146,183,557","211,501,707",40.9,465,0
,Grand Total,"11,584,955,785","6,094,225,047","5,490,730,737",52.6,465,0
