Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
101003260,"Administration Planning and Support
Services","84,968,590","24,268,357","60,700,234",28.6,390,1
,"Administration Planning and Support
Services","84,968,590","24,268,357","60,700,234",28.6,390,1
102003260,Development programme,"374,943,825","91,080,735","283,863,090",24.3,390,1
,Development programme,"374,943,825","91,080,735","283,863,090",24.3,390,1
104003260,Agricultural Development Programme,"515,608,014","8,000,000","507,608,014",1.6,390,1
,Agricultural Development Programme,"515,608,014","8,000,000","507,608,014",1.6,390,1
105003260,Livestock and Fisheries Development,"26,114,201",-,"26,114,201",-,390,1
,Livestock and Fisheries Development,"26,114,201",-,"26,114,201",-,390,1
301003260,"General Administration and support
services programme","25,098,799","3,468,540","21,630,259",13.8,390,1
,"General Administration and support ser-
vices programme","25,098,799","3,468,540","21,630,259",13.8,390,1
302003260,Trade Development programme.,"38,790,468",-,"38,790,468",-,390,1
,Trade Development programme.,"38,790,468",-,"38,790,468",-,390,1
401003260,Administration and Support Services,"319,424,626","84,542,103","234,882,524",26.5,390,1
,Administration and Support Services,"319,424,626","84,542,103","234,882,524",26.5,390,1
402003260,Health Development Programme,"295,368,189","89,463,899","205,904,290",30.3,390,1
,Health Development Programme,"295,368,189","89,463,899","205,904,290",30.3,390,1
501003260,"General Administration, Planning and
Support services","210,298,500","27,538,690","182,759,810",13.1,390,1
,"General Administration, Planning and
Support services","210,298,500","27,538,690","182,759,810",13.1,390,1
502003260,"Early childhood Education and Youth
Training Development Programme","126,300,000","1,407,202","124,892,798",1.1,390,1
,"Early childhood Education & Youth Train-
ing Development Programme","126,300,000","1,407,202","124,892,798",1.1,390,1
