Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Agriculture, Cooperative and Livestock",,,,-,,56,1
"Programme 1: General Administration, planning and support services",,,,,,56,1
"SP 1.1 Administrative and
Support Services","SP 1.1 Administrative and
Support Services","126,833,522","91,328,067","35,505,455",72.0,56,1
"SP 1.2 Human Resource
Management and Develop-
ment.","SP 1.2 Human Resource
Management and Devel-
opment.","314,512,616","211,329,199","103,183,417",67.2,56,1
"SP 1.3: Policy, Legal and
Regulatory Framework","SP 1.3: Policy, Legal and
Regulatory Framework","7,600,000",-,"7,600,000",0.0,57,0
"SP 1.4: Planning and Finan-
cial Management","SP 1.4: Planning and Finan-
cial Management","11,615,043",-,"11,615,043",0.0,57,0
S.P 1.5 Sector Coordination,S.P 1.5 Sector Coordination,"4,000,000",-,"4,000,000",0.0,57,0
"SP 1.7: Leadership and
Governance","SP 1.7: Leadership and
Governance","2,000,000",-,"2,000,000",0.0,57,0
Programme 2: Land and Crop Development and Management,,,,,,57,0
"SP 2.1: Agricultural exten-
sion and training services","SP 2.1: Agricultural exten-
sion and training services","4,746,821",-,"4,746,821",0.0,57,0
"S.P 2.2: Crop production
and productivity","S.P 2.2: Crop production
and productivity","86,970,400","33,055,116","53,915,284",38.0,57,0
"SP 2.7 Irrigation Extension
and training","SP 2.7 Irrigation Extension
and training","2,540,000",-,"2,540,000",0.0,57,0
Programme 3: Livestock development and management,,,,,,57,0
"SP 3.1 Livestock production
extension, Training and
Information Services","SP 3.1 Livestock produc-
tion extension, Training
and Information Services","5,600,000",-,"5,600,000",0.0,57,0
"SP 3.4 Disease and Vector
Control","SP 3.4 Disease and Vector
Control","7,000,000",-,"7,000,000",0.0,57,0
"SP 3.5 Food Safety And
Quality Control","SP 3.5 Food Safety And
Quality Control","5,500,000",-,"5,500,000",0.0,57,0
SP 3.6 Leather development,SP 3.6 Leather development,-,-,-,-,57,0
"SP 3.7 Veterinary Extension
Services","SP 3.7 Veterinary Extension
Services","3,600,000",-,"3,600,000",0.0,57,0
"SP 3.8 Breeding and AI
Subsidy programme","SP 3.8 Breeding and AI
Subsidy programme","3,000,000",-,"3,000,000",0.0,57,0
Programme 4: Fisheries development and management,,,,,,57,0
"SP 4.1 Fisheries extension
service and training","SP 4.1 Fisheries extension
service and training","3,000,000",-,"3,000,000",0.0,57,0
"SP 4.2 Fisheries product
value-chain development","SP 4.2 Fisheries product
value-chain development","3,500,000",-,"3,500,000",0.0,57,0
Programme 5: Cooperatives Development and Management,,,,,,57,0
"SP 5.1 Cooperatives exten-
sion service and training
(Co-operative Governance
(Training))","SP 5.1 Cooperatives exten-
sion service and training
(Co-operative Governance
(Training))","9,800,000",-,"9,800,000",0.0,57,0
"SP 5.2 Cooperatives Audit
Services","SP 5.2 Cooperatives Audit
Services","1,500,000",-,"1,500,000",0.0,57,0
Programme 6: Institutional Development and Management,,,,,,57,0
"SP 6.1 Mabanga ATC Ad-
ministration management
services","SP 6.1 Mabanga ATC Ad-
ministration management
services",-,-,-,0.0,57,0
"SP 6.2 Agricultural Enter-
prise Development (ATC)","SP 6.2 Agricultural Enter-
prise Development (ATC)",-,-,-,0.0,57,0
"SP 6.3 Infrastructural devel-
opment (ATC)","SP 6.3 Infrastructural
development (ATC)","30,700,000",-,"30,700,000",0.0,57,0
SP 6.5 Tractor hire services,SP 6.5 Tractor hire services,"5,000,000",-,"5,000,000",0.0,57,0
"SP 6.8 Operational develop-
ment (CFF)","SP 6.8 Operational devel-
opment (CFF)","3,240,000",-,"3,240,000",0.0,57,0
NARIGP,NARIGP,"514,946,619",-,"514,946,619",0.0,57,0
ASDSP II,ASDSP II,"46,167,495",-,"46,167,495",0.0,57,0
Ward Based Projects,Ward Based Projects,"62,461,000","25,540,985","36,920,015",40.9,57,0
Total Expenditure,,"1,265,833,516","361,253,367","904,580,149",28.5,57,0
,,,,,,57,0
HEALTH & SANITATION,,,,,,57,0
"Programme1: General Administration and Planning, and Support Services",,,,,,58,0
"SP 1: Health Administra-
tion Planning and support
services","SP 1: Health Administra-
tion Planning and support
services","680,964,067","190,607,320","490,356,747",28.0,58,0
Human resources,Human resources,"2,421,263,243","1,428,320,705","992,942,538",59.0,58,0
SP3.Health Infrastructure,SP3.Health Infrastructure,"97,124,894","16,816,323","80,308,571",17.3,58,0
Programme 2: Preventive Promotive and Rehabilitative,,,,,,58,0
"SP 2:Communicable and
non-communicable","SP 2:Communicable and
non-communicable","18,005,084",-,"18,005,084",0.0,58,0
"SP 2: Health Promotion
services","SP 2: Health Promotion
services","6,000,000",-,"6,000,000",0.0,58,0
SP 3: Disease surveillance,SP 3: Disease surveillance,"2,746,938",-,"2,746,938",0.0,58,0
"SP 4: Community health
services","SP 4: Community health
services","78,072,000",-,"78,072,000",0.0,58,0
Programme 3: Curative & health Services,,,,,,58,0
"SP 3: Routine Medical
Services","SP 3: Routine Medical
Services","424,865,820",-,"424,865,820",0.0,58,0
SP 3: Blood Bank Services,SP 3: Blood Bank Services,"10,000,000",-,"10,000,000",0.0,58,0
"Programme 4: Health
Research","Programme 4: Health
Research","8,200,000",-,"8,200,000",0.0,58,0
SP 4: Capacity Development,"SP 4: Capacity Develop-
ment","8,200,000",-,"8,200,000",0.0,58,0
"Programme 5: Maternal and
Child Health","Programme 5: Maternal
and Child Health","54,469,787",-,"54,469,787",0.0,58,0
SP 5: Maternity Services,SP 5: Maternity Services,"52,969,787",-,"52,969,787",0.0,58,0
"SP 5: Immunization Ser-
vices","SP 5: Immunization Ser-
vices","1,500,000",-,"1,500,000",0.0,58,0
Total Expenditure,,"3,864,381,620","1,635,744,349","2,228,637,271",42.3,58,0
,,,,,,58,0
ROADS & PUBLIC WORKS,,,,,,58,0
"Transport infrastructure
development and manage-
ment","Transport infrastructure
development and manage-
ment","1,549,460,621","597,135,548","952,325,073",38.5,58,0
"Public safety and transport
operations","Public safety and transport
operations","10,440,000",-,"10,440,000",0.0,58,0
"Building standards and
other civil works","Building standards and
other civil works","3,537,534",-,"3,537,534",0.0,58,0
"General administration,
planning and support
services","General administration,
planning and support
services","335,894,584","97,835,046","238,059,538",29.1,58,0
Total Expenditure,,"1,899,332,739","694,970,594","1,204,362,145",36.6,58,0
,,,,-,,58,0
WATER & TOURISM,,,,,,58,0
Programme 1: General Administration Planning and support Services,,,,,,58,0
"SP. Human Resources Man-
agement","SP. Human Resources
Management","58,513,750","34,575,584","23,938,166",59.1,58,0
"SP. Policy and Legal Frame-
work formulation","SP. Policy and Legal Frame-
work formulation","1,000,000",-,"1,000,000",0.0,58,0
