Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
Infrastructure development (0503023060),"76,128,116","2,012,288","74,115,828",2.6,211,0
Scholarship and Bursary (0504013060),"400,000,000","310,000,000","90,000,000",77.5,211,0
Total,"1,767,954,952","950,119,419","817,835,533",53.7,211,0
WATER,,,,,211,0
"Construction & Maintenance of water pipeline supply systems
(1001023060)","178,288,887","4,921,821","173,367,066",2.8,211,0
Development of Borehole water supply system (1001033060),"139,273,137",-,"139,273,137",-,211,0
"Development/Construction of surface water supply systems (
1001043060)","144,967,984","6,303,388","138,664,596",4.3,211,0
Community Water Project ( 1001063060),"70,718,682","12,931,238","57,787,444",18.3,211,0
Personnel Services (1002013060),"35,425,222","23,431,285","11,993,937",66.1,211,0
Administration Services (1002023060),"756,433,024","175,739,282","580,693,742",23.2,211,0
Total,"1,325,106,936","223,327,014","1,101,779,922",16.9,211,0
INFRASTRUCTURE,,,,,211,0
"Rehabilitations of Roads, Drainage and bridges (0202013060)","457,212,438","13,295,848","443,916,590",2.9,211,0
Installation of Street Lighting Facilities (0203013060),"55,093,646","10,346,062","44,747,584",18.8,211,0
Personnel Services (0305013060),"75,896,057","46,841,628","29,054,429",61.7,211,0
Administration Services (0305023060),"388,957,651","260,777,702","128,179,949",67.0,211,0
Total,"977,159,792","331,261,240","645,898,552",33.9,211,0
ICT,,,,,211,0
Tourism Promotion {0304013060},"26,558,102","7,641,337","18,916,765",28.8,211,0
Personnel services {0305013060},"22,901,766","17,064,770","5,836,996",74.5,211,0
Administration services {0305023060},"37,752,412","24,476,415","13,275,997",64.8,211,0
Local area network installation and ICT support {0308013060},"31,355,014","13,707,905","17,647,109",43.7,211,0
Total,"118,567,294","62,890,427","55,676,867",53.0,211,0
