Program,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,"Coordination of government func-
tions","25,697,755.00","6,317,508.80","19,380,246.20",25,81,0
,"Citizen participation and Civic Ed-
ucation","850,000.00",-,"850,000.00",0,81,0
Sub Total for Public Service Management,,"155,409,774.00","71,917,547.25","83,492,226.75",46,81,0
,,,,,,81,0
Education & Technical Training,,,,,,81,0
General administration and support services,,"293,659,070.00","172,883,987.65","120,775,082.35",59,81,0
,"General administration and sup-
port services","293,659,070.00","172,883,987.65","120,775,082.35",59,81,0
Technical Vocational Education & Training,,"28,166,071.00",-,"28,166,071.00",0,81,0
,"Technical Vocational Education &
Training","28,166,071.00",-,"28,166,071.00",0,81,0
Pre-Primary Education,,"173,613,388.00","34,614,899.45","138,998,488.55",20,82,0
,Pre-Primary Education,"173,613,388.00","34,614,899.45","138,998,488.55",20,82,0
Sub Total for Education and Technical Training,,"495,438,529.00","207,498,887.10","287,939,641.90",42,82,0
,,,,,,82,0
"Sports, Youth and Gender Affairs",,,,,,82,0
General administration and support services,,"44,914,178.00","28,688,566.65","16,225,611.35",64,82,0
,"General administration and sup-
port services","44,914,178.00","28,688,566.65","16,225,611.35",64,82,0
Sports Development,,"28,487,598.00","5,681,197.00","22,806,401.00",20,82,0
,"Sports Infrastructure Develop-
ment","14,495,017.00","5,329,337.00","9,165,680.00",37,82,0
,Sports Talent Development,"13,992,581.00","351,860.00","13,640,721.00",3,82,0
Social Empowerment,,"79,901,975.00","20,012,640.00","59,889,335.00",25,82,0
,Social Empowerment,"79,901,975.00","20,012,640.00","59,889,335.00",25,82,0
Social Protection,,"5,770,000.00","5,052,000.00","718,000.00",88,82,0
,Social Protection,"5,770,000.00","5,052,000.00","718,000.00",88,82,0
ICT Services,,"2,940,438.00",-,"2,940,438.00",-,82,0
,ICT Services,"2,940,438.00",-,"2,940,438.00",-,82,0
"Sub Total for Sports, Youth and Gender Affairs",,,"59,434,403.65","102,579,785.35",-,82,0
"Water, Lands & Physical Planning",,,,,,82,0
General administration and support services,,"95,158,451.00","58,891,374.25","36,267,076.75",62,82,0
,"General administration and sup-
port services","95,158,451.00","58,891,374.25","36,267,076.75",62,82,0
Water & Sanitation Management,,"348,284,867.00","111,497,427.35","236,787,439.65",32,82,0
,Water Services,"348,284,867.00","111,497,427.35","236,787,439.65",32,82,0
Environmental Management & Protection,,"1,299,950.00","699,950.00","600,000.00",54,82,0
,Environmental conservation,"1,299,950.00","699,950.00","600,000.00",54,82,0
Solid waste management,,"500,000.00",-,"500,000.00",0,82,0
,Solid waste management,"500,000.00",-,"500,000.00",0,82,0
"Lands, Physical planning and Urban Development",,"165,463,536.00","25,130,000.50","140,333,535.50",15,82,0
,"Lands, Physical planning and Ur-
ban Development","165,463,536.00","25,130,000.50","140,333,535.50",15,82,0
"Sub Total for Water, Lands and Physical Planning",,"610,706,804.00","196,218,752.10","414,488,051.90",32,82,0
,,,,,,82,0
County Public Service Board,,,,,,82,0
Program,Sub Program,Approved Budget,Actual Payments,Variance,Absorption,82,0
General administration and support services,,"41,583,281.00",-,"41,583,281.00",0,82,0
,"General administration and sup-
port services","41,583,281.00",-,"41,583,281.00",0,82,0
Sub Total for County Public Service Board,,"41,583,281.00",-,"41,583,281.00",0,82,0
,,,,,,82,0
Health and Sanitation,,,,,,82,0
Program,Sub Program,Approved Budget,Actual Payments,Variance,Absorption,82,0
General administration and support services,,"1,685,867,002.00","1,063,733,803.25","622,133,198.75",63,82,0
,Default - Non Programmatic,"1,685,867,002.00","1,063,733,803.25","622,133,198.75",63,82,0
Preventive and Promotive Health,,"57,284,046.00","2,440,017.05","54,844,028.95",4,82,0
