Programme,Sub-Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),Absorption (%),page_number,table_index
COUNTY ASSEMBLY,,,,,,382,0
Legislation,Legislation,"356,010,564.00","211,585,442.40","144,425,121.60",59.4,382,0
Oversight,Oversight,"60,343,140.00","57,306,400.00","3,036,740.00",95.0,382,0
"Staff management and
Development","Staff management
and Development","1,130,920,303.00","319,852,570.95","811,067,732.05",28.3,382,0
,Sub Total,"1,547,274,007.00","588,744,413.35","958,529,593.65",38.1,382,0
GOVERNANCE AND ADMINISTRATION,,,,,,382,0
"General Administra-
tion, Planning and Sup-
port Support Services","General Adminis-
tration, Planning
and Support Sup-
port Services","348,414,683.00","259,530,413.00","88,884,270.00",74.5,382,0
"The Office of the Gov-
ernor","The Office of the
Governor","73,782,936.00","25,387,436.80","48,395,499.20",34.4,382,0
"County Public Service
Board","County Public Ser-
vice Board","62,911,711.00","13,140,505.10","49,771,205.90",20.9,382,0
"Fire fighting and disas-
ter management","Fire fighting and
disaster manage-
ment","21,266,212.00","11,492,261.50","9,773,950.50",54.0,382,0
"Sub County Adminis-
tration","Sub County Ad-
ministration","47,194,849.00","7,029,416.00","40,165,433.00",14.9,382,0
"Human Resource Man-
agement","Human Resource
Management","99,970,701.00","20,384,237.40","79,586,463.60",20.4,382,0
,Sub Total,"653,541,092.00","336,964,269.80","316,576,822.20",51.6,382,0
FINANCE AND ECONOMIC PLANNING,,,,,,382,0
Financial services,Financial services,"20,922,552.00","12,944,136.90","7,978,415.10",61.9,382,0
"Administration Plan-
ning, Revenue & Ac-
counting","Administration
Planning, Revenue
& Accounting","567,558,518.00","287,977,282.10","279,581,235.90",50.7,382,0
Procurement,Procurement,"13,169,503.00","9,321,304.00","3,848,199.00",70.8,382,0
Budget Services,Budget Services,"41,170,859.00","27,512,094.00","13,658,765.00",66.8,382,0
Internal Audit,Internal Audit,"10,511,292.00","4,519,263.00","5,992,029.00",43.0,382,0
"Economic planning
services","Economic plan-
ning services","32,923,696.00","19,896,446.35","13,027,249.65",60.4,382,0
"Economic planning
services","Economic plan-
ning services","23,042,563.00","19,660,799.60","3,381,763.40",85.3,382,0
,Sub Total,"709,298,983.00","381,831,325.95","327,467,657.05",53.8,382,0
"AGRICULTURE, IRRIGATION, FOOD, LIVESTOCK AND FISHERIES",,,,,,382,0
Administration,Administration,"111,788,336.00","47,200,480.40","64,587,855.60",42.2,382,0
Veterinary Services,"Veterinary Ser-
vices","46,542,108.00","15,125,352.00","31,416,756.00",32.5,382,0
Crop Management,Crop Management,"461,337,924.00","88,449,445.90","372,888,478.10",19.2,382,0
"Fisheries Development
&Management","Fisheries Develop-
ment &Manage-
ment","65,005,277.00","16,843,733.00","48,161,544.00",25.9,382,0
,Sub Total,"684,673,645.00","167,619,011.30","517,054,633.70",24.5,383,0
"WATER, ENVIRONMENT AND NATURAL RESOURCES",,,,,,383,0
Administration,Administration,"40,322,903.00","5,315,831.00","35,007,072.00",13.2,383,0
Water Services,Water Services,"472,727,266.00","85,218,091.00","387,509,175.00",18.0,383,0
Forestry,Forestry,"7,461,946.00","1,209,792.40","6,252,153.60",16.2,383,0
,Sub Total,"520,512,115.00","91,743,714.40","428,768,400.60",17.6,383,0
"EDUCATION, YOUTH AFFAIRS, GENDER, SPORTS AND SOCIAL SERVICES",,,,,,383,0
"Administration Ser-
vices","Administration
Services","320,775,900.00","305,758,121.60","15,017,778.40",95.3,383,0
ECD programmes,ECD programmes,"309,004,193.00","88,823,157.05","220,181,035.95",28.7,383,0
"Youth Polytechnics and
Youth Training","Youth Polytechnics
and Youth Train-
ing","98,197,825.00","40,268,759.05","57,929,065.95",41.0,383,0
Sports,Sports,"180,444,630.00","86,822,949.65","93,621,680.35",48.1,383,0
Culture,Culture,"1,981,968.00",0.00,"1,981,968.00",-,383,0
Social Resources,Social Resources,"51,052,868.00","11,471,650.00","39,581,218.00",22.5,383,0
,Sub Total,"961,457,384.00","533,144,637.35","428,312,746.65",55.5,383,0
COUNTY HEALTH SERVICES,,,,,,383,0
"General administration
and Planning Services","General adminis-
tration and Plan-
ning Services","1,562,411,745.00","1,591,984,866.50","-29,573,121.50",101.9,383,0
"Curative health Care
Services","Curative health
Care Services","297,008,538.00","93,314,736.95","203,693,801.05",31.4,383,0
"Preventive, Promo-
tive and Rehabilitative
Health Services","Preventive, Pro-
motive and Reha-
bilitative Health
Services","295,562,669.00","128,856,464.65","166,706,204.35",43.6,383,0
"Facility Improvement
Fund","Facility Improve-
ment Fund","126,607,445.00","26,332,906.00","100,274,539.00",20.8,383,0
HIV Services,HIV Services,"12,832,875.00","3,637,125.00","9,195,750.00",28.3,383,0
RH Services,RH Services,"18,194,808.00","546,000.00","17,648,808.00",3.0,383,0
TB Services,TB Services,"105,795,258.00","26,962,567.00","78,832,691.00",25.5,383,0
Nutrition Services,Nutrition Services,"60,578,536.00","10,041,497.00","50,537,039.00",16.6,383,0
"Environmental Health
Services","Environmental
Health Services","50,158,116.00","6,992,265.00","43,165,851.00",13.9,383,0
,Sub Total,"2,529,149,990.00","1,888,668,428.10","640,481,561.90",74.7,383,0
"LANDS, PHYSICAL PLANNING, HOUSING AND URBAN DEVELOPMENT",,,,,,383,0
Physical Planning,Physical Planning,"75,559,336.00","9,730,538.10","65,828,797.90",12.9,383,0
Housing,Housing,"2,025,452.00","839,512.00","1,185,940.00",41.4,383,0
"Land Survey & Map-
ping","Land Survey &
Mapping","43,765,655.00","10,493,587.00","33,272,068.00",24.0,383,0
