Program,Sub Program,"Final Budget
(Kshs.)","Actual
(Kshs.)","Budget utilization
difference
(Kshs.)",Absorption (%),page_number,table_index
,"County Radio Infor-
mation Services","40,557,685","6,413,938","34,143,748",15.8,454,0
"Public Finance Man-
agement","Public Finance Man-
agement","47,976,382","31,084,015","16,892,367",64.8,454,0
,,"6,600,000","5,375,245","1,224,755",81.4,454,0
,Accounting Services,"4,400,000","2,848,980","1,551,020",64.7,454,0
,Audit Services,"13,100,000","4,923,920","8,176,080",37.6,454,0
,"Budget Formulation
Coordination","7,600,000","6,618,300","981,700",87.1,454,0
,"Resource Mobiliza-
tion","7,715,812","6,288,750","1,427,062",81.5,454,0
,"Budget Expenditure
Management","8,560,570","5,028,820","3,531,750",58.7,454,0
"County Planning Ser-
vices","Monitoring and
Evaluation","6,800,000","2,983,117","3,816,883",43.9,454,0
,,"2,600,000","512,800","2,087,200",19.7,454,0
,"Coordination of Pol-
icy Formulation and
Plans","4,200,000","2,470,317","1,729,683",58.8,454,0
"Management and Ad-
ministration of Coun-
ty Services",County Secretary,"48,797,050","15,441,728","33,355,322",31.6,454,0
,,"4,000,000",-,"4,000,000",0.0,454,0
,Legal Services,"44,797,050","15,441,728","29,355,322",34.5,454,0
"Administration, Plan-
ning and Support Ser-
vice","Administrative Ser-
vice","57,862,704","16,398,652","41,464,052",28.3,454,0
,,"57,862,704","16,398,652","41,464,052",28.3,454,0
Promotion of Sports,Promotion of Sports,"35,928,129","10,957,927","24,970,202",30.5,454,0
,,"20,750,000","3,574,250","17,175,750",17.2,454,0
,"Promotion of Cul-
ture and Heritage","15,178,129","7,383,677","7,794,452",48.6,454,0
,,"3,484,000","970,640","2,513,360",27.9,454,0
Social Protection,Social Protection,"150,000",-,"150,000",0.0,454,0
,"Gender, Children,
Youth and People
with Disability","3,334,000","970,640","2,363,360",29.1,454,0
"Administration, Plan-
ning and Support Ser-
vice","Administrative Ser-
vice","242,460,295","90,526,188","151,934,107",37.3,454,0
,,"242,460,295","90,526,188","151,934,107",37.3,454,0
"Water Supply Manage-
ment","Water Supply Man-
agement","12,701,391","3,294,750","9,406,641",25.9,454,0
,,"6,398,637","1,780,000","4,618,637",27.8,454,0
,"Waste Water Man-
agement","6,302,754","1,514,750","4,788,004",24.0,454,0
,,"7,100,000",-,"7,100,000",0.0,454,0
"Environmental Protec-
tion and Conservation","Environmental Pro-
tection and Conser-
vation","7,100,000",-,"7,100,000",0.0,454,0
,,"4,550,000","477,300","4,072,700",10.5,454,0
"Natural Resources
management","Natural Resources
management","4,550,000","477,300","4,072,700",10.5,454,0
Total,,"6,408,878,440","3,459,201,817","2,949,676,623",54.0,454,0
