Programme,Sub- Programme,"Approved Bud-
get (Kshs","Actual Pay-
ments (Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
Security & Policing Services,"Disaster Reduction Manage-
ment","8,000,000","6,876,335","1,123,665",86.0,220,0
,"Enforcement And Disaster
Management","5,000,000","3,687,500","1,312,500",73.8,220,0
,Alcohol Control Committee,"6,500,000","5,612,450","887,550",86.3,220,0
,"Intergovernmental & Donor
Relations","24,000,000","15,001,396","8,998,604",62.5,220,0
,Fire Services,"7,000,000","2,955,060","4,044,940",42.2,220,0
"Public Participation & Civic
Education",Public participation,"18,000,000","14,050,800","3,949,200",78.1,220,0
Sub-total,,"3,620,276,685","2,342,607,349","1,277,669,336",64.7,220,0
"Water, Environment & Natural Resources",,,,,,220,0
Water Development,"Rural water supply and sani-
tation","276,629,876","81,482,464","195,147,412",29.5,220,0
"General Administration & Sup-
port Services","Administrative and Planning
Services","12,019,587","11,313,133","706,454",94.1,220,0
,"Motor vehicle maintenance
and fuel provision","11,000,000","9,311,208","1,688,792",84.6,220,0
,"Development of water man-
agement policies","2,000,000",0,"2,000,000",-,220,0
"Environment & Natural Re-
sources",Solid Waste Management,"7,000,000","3,314,409","3,685,591",47.3,221,0
,"Human-Wildlife Conflict
Prevention","3,000,000","1,165,600","1,834,400",38.9,221,0
,"Natural Resources Manage-
ment","3,000,000",0,"3,000,000",-,221,0
,"Climate Change Adaptation
& Mitigation","1,000,000","1,575,000","-575,000",157.5,221,0
,Integrated land rehabilitation,"2,631,320","1,300,000","1,331,320",49.4,221,0
Sub-total,,"318,280,783","109,461,814","208,818,969",34.4,221,0
"Agriculture, Livestock & Veterinary",,,,,,221,0
Headquarter Services,"Headquarter Administration
Services","61,218,816","24,179,573","37,039,243",39.50,221,0
,"Agriculture Sector Extension
Management","34,065,350",,"34,065,350",-,221,0
Livestock Production,"Livestock Resource Develop-
ment and Management","4,200,000","1,147,000.00","3,053,000",27.31,221,0
,"Livestock Marketing and Val-
ue Addition","200,000",,"200,000",-,221,0
"Crop production & Horticul-
ture","Land and Crop Productivity
Enhancement and Manage-
ment","3,000,000","1,301,550","1,698,450",43.39,221,0
,"Strategic Food Security Ser-
vice","97,421,200","11,476,186","85,945,014",11.78,221,0
,"Agribusiness and Informa-
tion Management","55,000",,"55,000",-,221,0
,"Standards and Quality Assur-
ance","600,000","300,000","300,000",50.00,221,0
,"Climate Change Adaptation
& Mitigation","571,396,178","86,651,446.75","484,744,731",15.16,221,0
Veterinary Services,"Animal Health and Disease
Management","4,200,000","3,135,660.00","1,064,340",74.66,221,0
Fisheries Services,"Fisheries Development and
Management","4,532,504","738,237.80","3,794,266",16.29,221,0
Sub-total,,"780,889,048","128,929,653","651,959,395",16.51,221,0
Finance & Economic Planning,,,,,,221,0
"General Administration &
Planning Services","Headquarter administration
services","59,075,442","24,033,336","35,042,106",40.7,221,0
"Administration, Planning &
Support Services",Personnel Services,"1,000,000","941,131","58,869",94.1,221,0
,"General Administration Sup-
port","112,419,000","29,195,744","83,223,256",26.0,221,0
,Infrastructural Services,"94,328,375","144,754","94,183,621",0.2,221,0
"Public Finance Management
Services",Internal Audit Services,"8,400,000","6,442,680","1,957,320",76.7,221,0
,"County Treasury Administra-
tive Services","13,450,270","46,819,799","-33,369,529",348.1,221,0
,Revenue collection services,"126,546,789","49,283,255","77,263,534",38.9,221,0
,"Laikipia County Develop-
ment Authority","20,500,000","12,972,832","7,527,168",63.3,221,0
,"Supply chain management
services","7,000,000","9,875,639","-2,875,639",141.1,221,0
"Development Planning Ser-
vices","Monitoring and Evaluation
Services","5,500,000","13,217,866","-7,717,866",240.3,221,0
