Programme,"Sub- Pro-
gramme","Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
3711 Office of The Governor,,,,,,200,0
"General Administration And Plan-
ning Headquarters",701013710,"1,056,472,447","484,016,097","572,456,350",45.8,200,0
,701013710,"328,362,185","148,378,067","179,984,118",45.2,200,0
,702013710,"70,966,018","49,288,466","21,677,552",69.5,200,0
Headquarters,703013710,"88,129,450","67,351,238","20,778,212",76.4,200,0
Procurement Headquarters,704023710,"93,293,728","82,661,339","10,632,389",88.6,200,0
Sub-total Office of The Governor,,"1,637,223,828","831,695,207","805,528,621",50.8,200,0
3712 Administration and Coordination of County Affairs,,,,,,200,0
"Coordination And Administrative
Services Headquarters",705013710,"142,352,229","96,999,179","45,353,050",68.1,200,0
"Coordination And Administrative
Services Headquarters",706013710,"211,848,422","189,380,087","22,468,335",89.4,200,0
"Coordination And Programmes
Tracking Headquarters",707013710,"17,899,299","7,238,611","10,660,688",40.4,200,0
"General Administration And Plan-
ning Headquarters",701013710,"159,305,894","117,798,181","41,507,713",73.9,200,0
"Sub-total Administration and Coor-
dination of County Affairs",,"531,405,844","411,416,058","119,989,786",77.4,200,0
3712 Agriculture Water and Livestock Development,,,,,,200,0
Agriculture Headquarters,102013710,"481,715,874","16,180,735","465,535,139",3.4,200,0
Agriculture Headquarters,103013710,"37,177,765","16,540,130","20,637,635",44.5,200,0
Agriculture Headquarters,103023710,"109,325,157","38,126,481","71,198,676",34.9,200,0
Agriculture Headquarters,104013710,"4,533,763","2,640,242","1,893,521",58.2,200,0
"General Administration And Plan-
ning Headquarters",101013710,"303,038,439","158,281,293","144,757,146",52.2,200,0
Water Headquarters,101013710,"76,516,299","67,806,106","8,710,193",88.6,200,0
Water Headquarters,111013710,"389,824,204","341,963,490","47,860,714",87.7,200,0
Water Headquarters,111023710,"95,230,053","72,471,196","22,758,857",76.1,200,0
"Sub-total Agriculture Water and
Livestock Development",,"1,497,361,554","714,009,673","783,351,881",47.7,200,0
"3714 Basic Education, ICT, and Youth Development",,,,,,200,0
Basic Education Headquarters,502013710,"414,806,720","278,390,834","136,415,886",67.1,200,0
"General Administration And Plan-
ning Headquarters",501013710,"150,579,934","75,215,372","75,364,562",50.0,200,0
internet connections,505013710,"15,825,722","6,246,799","9,578,923",39.5,200,0
"Training And Skills Development
Headquarters",503013710,"99,541,009","80,093,549","19,447,460",80.5,200,0
"Training And Skills Development
Headquarters",504013710,"4,915,400","3,064,300","1,851,100",62.3,201,0
"Training And Skills Development
Headquarters",506013710,"61,460,909","48,495,355","12,965,554",78.9,201,0
"Sub-total Basic Education, ICT, and
Youth Development",,"747,129,694","491,506,209","255,623,485",65.8,201,0
"3715 Lands, Infrastructure, Housing and Urban Development",,,,,,201,0
"General Administration And Plan-
ning Headquarters",101013710,"125,528,531","74,443,177","51,085,354",59.3,201,0
Housing Headquarters,107013710,"28,316,290","17,529,321","10,786,969",61.9,201,0
Housing Headquarters,109013710,"35,115,030","22,473,054","12,641,976",64.0,201,0
"Roads, Transport And Mechanical
Services Headquarters",110013710,"798,205,198","698,646,469","99,558,729",87.5,201,0
"Roads, Transport And Mechanical
Services Headquarters",203013710,"37,903,760","4,766,503","33,137,257",12.6,201,0
"Sub-total Lands, Infrastructure,
Housing and Urban Development",,"1,025,068,809","817,858,524","207,210,285",79.8,201,0
3716 Health and Sanitation,,,,,,201,0
"General Administration And Plan-
ning Headquarters",401013710,"136,314,136","110,204,164","26,109,972",80.8,201,0
"General Administration And Plan-
ning Headquarters",401023710,"74,322,752","52,122,788","22,199,964",70.1,201,0
"General Administration and Planning
Headquarters",401033710,"4,844,081","2,902,680","1,941,401",59.9,201,0
Medical Services Headquarters,402013710,"2,670,479,175","2,422,491,289","247,987,886",90.7,201,0
Medical Services Headquarters,402023710,"18,800,000","14,759,463","4,040,537",78.5,201,0
