Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs)","Absorption
(%)",page_number,table_index
"Agriculture, Livestock Development and Fisheries Development",,,,,,277,0
"Agriculture Mechanisation
Services","Agriculture Mechanisation
Services","1,700,000",0,"1,700,000",0,277,0
Crop Development,Crop Development,"3,820,400",0,"3,820,400",0,277,0
,Crop Development,"49,420,000",0,"49,420,000",0,277,0
Fisheries Development,Fisheries Development,"1,860,000",0,"1,860,000",0,277,0
,"Fisheries Development and
Management","6,212,000",0,"6,212,000",0,277,0
,"Aquaculture Development
and Extension Services","22,714,000",0,"22,714,000",0,277,0
"General administration,
planning & support service",General administration,"151,011,774","106,862,774","44,149,000",71,277,0
,"capacity building and train-
ing","2,419,790",0,"2,419,790",0,277,0
,"Field Extension Services
and Support Programme","9,947,800","8,826,084","1,121,716",89,277,0
,"Field Extension Services
and Support Programme","9,691,300","1,196,840","8,494,460",12,277,0
,"Field Extension Services
and Support Programme","9,243,150","1,366,000","7,877,150",15,277,0
,"Field Extension Services
and Support Programme","9,296,044","424,491","8,871,553",5,277,0
,"Field Extension Services
and Support Programme","320,000",0,"320,000",0,277,0
,"Field Extension Services
and Support Programme","500,000",0,"500,000",0,277,0
,Donor Fund,"342,397,464","27,353,505","315,043,959",8,277,0
,Donor Fund,"2,596,660",0,"2,596,660",0,277,0
"Livestock Resources Man-
agement and Development",Disease control,"1,750,000",0,"1,750,000",0,277,0
,"Feed & livestock products
safety, equipment and lab-
oratory services","4,390,000",0,"4,390,000",0,277,0
,"Livestock Breeds Improve-
ment & Upgrading","29,514,414",0,"29,514,414",0,277,0
Veterinary services,"Veterinary Public Health
management","1,186,000",0,"1,186,000",0,277,0
,"Livestock Breeding and
Livestock Products","5,378,500",0,"5,378,500",0,277,0
,"Livestock Disease Control
and Management","8,600,000",0,"8,600,000",0,277,0
,"Veterinary Public Health
management","4,000,000",0,"4,000,000",0,277,0
Total,Total,"677,969,296","146,029,694","531,939,602",22,277,0
County Assembly,,,,,,278,0
"General administration and
support services","General Administration &
supportive services","701,155,331","485,972,783","215,182,548",69,278,0
"Oversight management
services","Committee management
services","50,738,280","4,982,367","45,755,913",10,278,0
Legislative services,"legislation development &
approval services","193,254,219","98,869,630","94,384,571",51,278,0
,Total,"945,147,830","589,824,780","355,323,032",62,278,0
County Attorney,,,,,,278,0
"Management and adminis-
tration",General administration,"172,151,962","124,313,243","47,838,719",72,278,0
,Total,"172,151,962","124,313,243","47,838,719",72,278,0
County Executive,,,,,,278,0
"Enhanced Management, Co-
ordination & Supervision.",Peace Building Initiatives,"3,715,000",0,"3,715,000",0,278,0
General Administration,"General Administration
(Deputy Governors)","20,485,000","18,018,900","2,466,100",88,278,0
"Governance and Executive
Management",Citizen Delivery Services,"108,400,000","9,992,854","98,407,146",9,278,0
,Citizen Delivery Services,"25,000,000","10,733,211","14,266,789",43,278,0
,"Governance and Executive
management","53,993,880","36,410,928","17,582,952",67,278,0
Strategy and service delivery,Strategy and advisory,"86,832,464","78,950,517","7,881,947",91,278,0
Total,Total,"298,426,344","154,106,410","144,319,934",52,278,0
"Education, Gender, Sports, Youth Development and Culture",,,,,,278,0
"Culture Development Pro-
motion and Arts","Culture and Heritage Con-
servation","1,000,000","397,400","602,600",40,278,0
ECDE Services,Child Care Services,"97,225,416","51,600,283","45,625,133",53,278,0
,Child Care Services,0,0,0,-,278,0
Education Support Services,Bursaries,"40,000,000","38,982,267","1,017,733",97,278,0
External Funding,Conditional Grants,"17,984,692",,"17,984,692",0,278,0
"Gender and Equality Ser-
vices",Women Empowerment,"1,000,000",0,"1,000,000",0,278,0
,General administration,"94,227,969","55,032,054","39,195,915",58,278,0
,General administration,"262,144,649","207,472,034","54,672,615",79,278,0
"National arts and cultural
services","Construction of Cultural
Central and Cultural Ac-
tivities","500,000",0,"500,000",0,278,0
"Sports and Talent Devel-
opment","Sports and Talent Devel-
opment","3,500,000","1,736,230","1,763,770",50,279,0
,"Vocational Training Ser-
vices","5,000,000","4,971,947","28,053",99,279,0
,Sports Development,"374,045,454","3,000,000","371,045,454",1,279,0
,Sports Development,"3,500,000","498,950","3,001,050",14,279,0
"Youth development and
empowerment services","Vocational Training Ser-
vices","21,000,000",0,"21,000,000",0,279,0
,Total,"921,128,180","363,691,165","557,437,015",39,279,0
"Environment, Natural Resource and Disaster Management",,,,,,279,0
"Disaster Management
Services","Disaster Management Ser-
vices","2,000,000","1,163,600","836,400",58,279,0
,"Disaster Management Ser-
vices","18,202,736","14,618,581","3,584,155",80,279,0
"Forestry Conservation and
Development","Forestry Conservation and
Development","4,660,000",0,"4,660,000",0,279,0
,"Forestry Conservation and
Development","7,200,000",0,"7,200,000",0,279,0
"General Administration
Support Services","General Administration
Support Services","61,396,171","60,614,763","781,408",99,279,0
Solid Waste Management,Solid Waste Management,"4,000,000",0,"4,000,000",0,279,0
,Solid Waste Management,"18,240,864","7,364,780","10,876,084",40,279,0
,Total,"115,699,771","83,761,724","31,938,047",72,279,0
Finance and Economic Planning,,,,,,279,0
"Financial management
services",Resource mobilization,"70,253,148","23,817,129","46,436,019",34,279,0
