Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,Sub-Total,"664,523,466","267,859,372","396,664,094",40.31,157,0
Health Services,,,,,,157,0
Health curative services,,"606,824,220","344,221,008","262,603,212",56.72,157,0
,Health curative services,"606,824,220","344,221,008","262,603,212",56.72,157,0
"General Administration
and Support Services",,"4,240,282,316","3,562,548,866","677,733,450",84.02,157,0
,"General Administration and
Support Services","4,240,282,316","3,562,548,866","677,733,450",84.02,157,0
"Community Health
Services",,"453,407,612","64,641,437","388,766,175",14.26,157,0
,Community Health Services,"453,407,612","64,641,437","388,766,175",14.26,157,0
"County Hospital Infra-
structure",,"449,142,334","70,887,071","378,255,263",15.78,157,0
,"County Hospital Infrastruc-
ture","449,142,334","70,887,071","378,255,263",15.78,157,0
"County Pharmaceutical
Services",,"152,000,000","74,542,772","77,457,228",49.04,157,0
,"Pharmaceutical and
Non-Pharmaceutical supplies","152,000,000","74,542,772","77,457,228",49.04,157,0
,Sub-Total,"5,901,656,482","4,116,841,154","1,784,815,328",69.76,157,0
"Education, Culture & Social Services",,,,,,157,0
"Pre-primary education
Promotion of Culture; ICT
and social Services",,"436,187,527","56,274,060","379,913,467",12.90,157,0
,"Pre-primary education and
youth polytechnics services","436,187,527","56,274,060","379,913,467",12.90,157,0
"General Administration
and support Services",,"822,681,747","457,353,047","365,328,700",55.59,157,0
,"General Administration and
support Services","822,681,747","457,353,047","365,328,700",55.59,157,0
"Culture, Gender and
Social services",,"6,000,000","2,156,500","3,843,500",35.94,157,0
,"Culture, Gender and Social
services","6,000,000","2,156,500","3,843,500",35.94,157,0
,Sub-Total,"1,264,869,274","515,783,607","749,085,667",40.78,157,0
Youth & Sports,,,,,,157,0
"Development and
Management of Sports
Facilities",,"185,538,853","7,474,712","178,064,141",4.03,157,0
,"Development and Manage-
ment of Sports Facilities","185,538,853","7,474,712","178,064,141",4.03,157,0
Youth Empowerment,,"142,000,000",0,"142,000,000",-,157,0
,Youth Empowerment,"142,000,000",0,"142,000,000",-,157,0
"Promotion and develop-
ment of sports",,"148,445,280","66,085,091","82,360,189",44.52,157,0
,"Promotion and development
of sports","148,445,280","66,085,091","82,360,189",44.52,157,0
,Sub-Total,"475,984,133","73,559,803","402,424,330",15.45,157,0
"Lands, Physical Planning & Housing",,,,,,157,0
"Land Management and
Physical Planning; &
Housing Development",,"476,752,477","112,993,922","363,758,555",23.70,157,0
