Programme,Description,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
101003510,"Livestock resource management and develop-
ment","113,509,713","9,020,418","104,489,295",7.9,116,1
,Livestock Production,"113,509,713","9,020,418","104,489,295",7.9,116,1
103003510,"Administrative, planning, and support services","50,748,528","6,199,973","44,548,555",12.2,116,1
,Administration and Support Services,"50,748,528","6,199,973","44,548,555",12.2,116,1
105003510,Value Addition,"27,672,762","15,200,000","12,472,762",54.9,116,1
,Veterinary Support Services,"27,672,762","15,200,000","12,472,762",54.9,116,1
107003510,"Planning and Survey of Urban Areas (Modo-
gashe and Ol ndonyiro)","24,132,288","1,883,489","22,248,799",7.8,116,1
,Administration and Planning Services,"24,132,288","1,883,489","22,248,799",7.8,116,1
109003510,Land Survey and land use planning,"28,766,821","6,885,815","21,881,006",23.9,116,1
,County land planning and spatial development,"28,766,821","6,885,815","21,881,006",23.9,116,1
204003510,Public Works,"18,250,840","6,654,639","11,596,201",36.5,116,1
,Road Improvement,"18,250,840","6,654,639","11,596,201",36.5,116,1
207003510,Municipal Administration,"70,990,354","40,775,133","30,215,221",57.4,116,1
,General Administration and Planning,"70,990,354","40,775,133","30,215,221",57.4,116,1
301003510,Trade development and promotion,"60,935,150","22,655,020","38,280,130",37.2,116,1
,"Entrepreneurship and business management
training","60,935,150","22,655,020","38,280,130",37.2,116,1
304003510,Tourism Promotion,"233,605,944","50,471,117","183,134,827",21.6,116,1
,Tourism Development,"233,605,944","50,471,117","183,134,827",21.6,116,1
401003510,Health Preventive and Promotive Services,"12,060,000","7,413,249","4,646,751",61.5,117,0
,Preventive and Promotive Health Services,-,"3,750,000","- 3,750,000",-,117,0
,"Disease Surveillance and Epidemic prepared-
ness","12,060,000","3,663,249","8,396,751",30.4,117,0
402003510,Health Curative Services,"1,124,423,451","946,253,976","178,169,475",84.2,117,0
,"Provision of Essential Health products In all
The Level","13,550,000","366,700","13,183,300",2.7,117,0
,Administration Support Services,"1,110,873,451","945,887,276","164,986,175",85.1,117,0
403003510,Administration and Planning,"172,440,945","142,867,448","29,573,497",82.9,117,0
,Curative and Rehabilitative Health Services,"172,440,945","142,867,448","29,573,497",82.9,117,0
501003510,"Administration, Planning and Support Ser-
vices.","239,606,884","188,242,313","51,364,571",78.6,117,0
,Administration,"169,606,884","118,242,313","51,364,571",69.7,117,0
,Contracted Services,"70,000,000","70,000,000",-,100.0,117,0
504003510,"Management and development of Sports and
sports facilities","35,024,991","23,292,999","11,731,992",66.5,117,0
,Sports Academy Centre,"35,024,991","23,292,999","11,731,992",66.5,117,0
505003510,Culture and Social Services,"21,374,319","10,559,902","10,814,417",49.4,117,0
,Culture Development,"21,374,319","10,559,902","10,814,417",49.4,117,0
701003510,Management of County Affairs,"307,646,808","248,344,027","59,302,781",80.7,117,0
,Personnel Services,"307,646,808","248,344,027","59,302,781",80.7,117,0
708003510,Prudent use of Financial Resources,"19,704,882","15,470,899","4,233,983",78.5,117,0
,Governors Delivery Unit,"19,704,882","15,470,899","4,233,983",78.5,117,0
709003510,Administration and support services,"265,131,806","190,819,770","74,312,036",72.0,117,0
,Personnel Services,"94,364,868","78,573,525","15,791,343",83.3,117,0
,Support Services,"159,102,408","111,140,385","47,962,023",69.9,117,0
,Administrative Infrastructure support,"11,664,530","1,105,860","10,558,670",9.5,117,0
710003510,Public financial management,"5,652,500","6,170,500","- 518,000",109.2,117,0
,Administrative Services,-,"538,000","- 538,000",-,117,0
,Audit Services,"5,652,500","5,632,500","20,000",99.6,117,0
711003510,Economic Planning and Coordination ion,"65,263,933","47,221,890","18,042,043",72.4,117,0
,Monitoring and Evaluation,"38,177,682","20,286,700","17,890,982",53.1,117,0
,"Economic Policy and County Development
Plans","10,046,251","10,008,100","38,151",99.6,117,0
,County Development Stakeholders Forums,"8,900,000","8,984,490","- 84,490",100.9,117,0
,"County Baseline Surveys on County Develop-
ment Indicators","7,000,000","6,892,000","108,000",98.5,117,0
,Capacity building and Support to Departments,"1,140,000","1,050,600","89,400",92.2,117,0
712003510,Cohesion and Peace Building,"70,139,535","59,791,580","10,347,955",85.2,117,0
,Administrative and Civic Education Services,"70,139,535","59,791,580","10,347,955",85.2,118,0
713003510,County Governance and Coordination Affairs,"25,000,000","6,967,688","18,032,312",27.9,118,0
,County Governance,-,-,-,-,118,0
,"Intergovernmental Services (Deputy Governor
Services)","25,000,000","6,967,688","18,032,312",27.9,118,0
716003510,County Devolved Administrative Affairs,"31,127,905","11,288,586","19,839,319",36.3,118,0
,Devolved Administrative Affairs,"31,127,905","11,288,586","19,839,319",36.3,118,0
719003510,"Town administration, planning and support
services","242,657,578","147,712,764","94,944,814",60.9,118,0
