Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"CP 36: Development
and Maintenance of
Roads","CSP 36.1: Routine mainte-
nance of roads","385,000,000","65,425,744","319,574,256",17.0,71,0
,"CSP 36.2: Development of
Roads","112,489,285","29,215,276","83,274,009",26.0,71,0
"CP 37:Building Infra-
structure Development","CSP 37.1: Infrastructure De-
velopment","2,923,010",-,"2,923,010",-,71,0
"CP 38: Energy Devel-
opment",CSP 38.1 Energy Services,"9,200,000",-,"9,200,000",-,71,0
,"CSP 38.2: Solar Energy Ex-
ploration","16,500,000",-,"16,500,000",-,71,0
,CSP 38.3: Renewable energy,-,-,-,-,71,0
"CP 39: Alternative
Transport infrastructure
Development","CSP 39.1: Road safety cam-
paign","1,000,000",-,"1,000,000",-,71,0
"CP 40: Other Develop-
ment Projects","CSP 40.1: Other Develop-
ment Projects","569,619,323","128,021,809","441,597,514",22.5,71,0
Total for Vote,,"1,225,315,404","289,925,588","935,389,816",23.7,71,0
"PUBLIC SERVICE
MANAGEMENT",,,,,-,72,0
,"CSP 41.1: Administrative
support services","391,221,340","113,902,844","277,318,495",29.1,72,0
"CP 41: General
Administration and
support services",,"391,221,340","113,902,844","277,318,495",29.1,72,0
"PUBLIC SERVICE
BOARD",,,,,-,72,0
Total for Vote,"CSP 41.1: Administrative
support services","100,036,203","44,371,491","55,664,712",44.4,72,0
"CP 41: General
Administration and
support services",,"100,036,203","44,371,491","55,664,712",44.4,72,0
LANDS,,,,,-,72,0
Total for Vote,"CSP 42.1: Administrative
support services","130,911,619","60,775,520","70,136,099",46.4,72,0
"CP 42: General Admin-
istration and support
services",,,,,-,72,0
"CP 43: County Land
Administration and
planning",CSP 43.1: Land use planning,"5,503,212","4,500,000","1,003,212",81.8,72,0
"CP 44: Housing devel-
opment and manage-
ment","CSP 44.1: Housing Develop-
ment","46,770,752",-,"46,770,752",-,72,0
"CP 45: County Urban
management and De-
velopment","CSP 45.1: Urban manage-
ment","56,298,859","2,481,658","53,817,201",4.4,72,0
,"CSP 45.2: Urban Develop-
ment (Malaba Municipalities)","212,531,513","40,802,535","171,728,978",19.2,72,0
,"CSP 45.3: Urban Develop-
ment( Busia Municipality)","15,000,000",-,"15,000,000",-,72,0
"CP 46: Other Develop-
ment Projects","CSP 46.1:Other Development
Projects","19,049,760","10,931,926","8,117,834",57.4,72,0
Total for Vote,,"486,065,715","119,491,639","366,574,076",24.6,72,0
WATER,,,,,-,72,0
"CP 47: General Admin-
istration and support
services","CSP 47.1: Administrative
support services","142,603,493","84,520,210","58,083,284",59.3,72,0
"CP 48: Water Supply
Services","CSP 48.1: Urban water supply
and sewerage","77,970,555","40,042,029","37,928,526",51.4,72,0
,CSP 48.2: Rural water supply,"100,920,218","95,570,653","5,349,565",94.7,72,0
"CP 49: Environment
Management and Pro-
tection","CSP 49.1 Environmental
management","17,500,000","5,703,705","11,796,296",32.6,72,0
"CP 50:Small Holder Ir-
rigation and Drainage","CSP 50.1: Irrigation infra-
structure development",-,-,-,-,72,0
"CP 51: Forest develop-
ment and management","CSP 51.1: Rehabilitation and
Restoration degraded land-
scape","10,000,000",-,"10,000,000",-,72,0
"CP 52: Water Tower
Protection and Climate
Change Mitigation","CSP 52.1: Water Tower Pro-
tection and Climate Change
Mitigation",-,-,-,-,72,0
"CP53: Other Develop-
ment Projects","CSP 53.1 Other Development
Projects","330,150,442","23,659,005","306,491,437",7.2,72,0
Total for Vote,,"679,144,708","249,495,601","429,649,107",36.7,72,0
