Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
COUNTY EXECUTIVE,,,,,,472,1
,"SP 1 - (General Administra-
tion, planning and Support
Services)","455,769,831.00","289,399,108.05","166,370,722.95",63.50%,472,1
,"SP 2 -(County Public service
Board","20,497,120.00","6,347,397.85","14,149,722.15",30.97%,472,1
,"SP 3 -(County Executive af-
fairs)","35,337,415.00","10,611,235.00","24,726,180.00",30.03%,472,1
,"SP 4-(Liasion and Intergov-
ernmental service)","14,473,815.00","8,872,908.00","5,600,907.00",61.30%,472,1
,TOTAL,"526,078,181.00","315,230,648.90","210,847,532.10",59.92%,472,1
"FINANCE &ECONOM-
IC PLANNING",,,,,,472,1
,"SP 1(General Administra-
tion, planning and Support
Services","269,728,387.00","123,016,439.00","146,711,948.00",45.61%,472,1
,"SP 2-(Treasury Accounting
Services)","7,659,823.00","3,952,900.00","3,706,923.00",51.61%,472,1
,"SP 3-(Supply Chain Manage-
ment services)","6,438,000.00","1,458,680.00","4,979,320.00",22.66%,472,1
,"SP 4-(Resource Mobiliza-
tion)","10,910,000.00","4,348,174.00","6,561,826.00",39.85%,472,1
,"SP 5-(Internal Audit ser-
vices)","5,243,600.00","3,690,300.00","1,553,300.00",70.38%,473,0
,"SP 6-(Budget Formulation
services)","16,821,282.00","9,924,668.60","6,896,613.40",59.00%,473,0
,SP 7-(Economic Planning),"45,618,485.00","5,311,000.00","40,307,485.00",11.64%,473,0
,"SP 8-(Monitoring and Eval-
uation)","2,900,000.00","1,390,300.00","1,509,700.00",47.94%,473,0
,TOTAL,"365,319,577.00","153,092,461.60","212,227,115.40",41.91%,473,0
"ROADS ,PUBLIC
WORKS,TRANSPORT
AND INFRASTRAC-
TURE",,,,,,473,0
,"SP 1(General Administra-
tion, planning and Support
Services","81,185,590.00","53,478,538.75","27,707,051.25",65.87%,473,0
,SP 2(Road Transport),"284,841,627.00","37,223,898.70","247,617,728.30",13.07%,473,0
,"SP 3(CONSTRUCTION OF
BRIDGES)","20,000,000.00",-,"20,000,000.00",0.00%,473,0
,SP 4(Public works),"2,080,000.00","778,600.00","1,301,400.00",37.43%,473,0
,"SP 5-(Ward Specific Proj-
ects)","126,564,819.00","11,037,908.40","115,526,910.60",8.72%,473,0
,TOTAL,"514,672,036.00","102,518,945.85","412,153,090.15",19.92%,473,0
"HEALTH AND SANITA-
TION",,,,,,473,0
,"SP 1(General Administra-
tion, planning and Support
Services","1,742,637,777.00","1,137,637,284.90","605,000,492.10",65.28%,473,0
,"SP 2-(Preventive Health Ser-
vices)","96,166,000.00","64,320,952.00","31,845,048.00",66.89%,473,0
,"SP 3-(Curative Health Ser-
vices)","301,142,701.00","80,483,409.65","220,659,291.35",26.73%,473,0
,"SP 4-(Kacheliba Sub county
hospital)","20,040,000.00","5,665,400.00","14,374,600.00",28.27%,473,0
,"SP 5-(Sigor Sub county hos-
pital)","15,460,000.00","1,583,385.00","13,876,615.00",10.24%,473,0
,"SP 6-(Chepareria Sub county
hospital)","16,360,000.00","1,041,380.00","15,318,620.00",6.37%,473,0
,"SP 7(Facility Improvement
Fund)","76,800,000.00","52,054,148.00","24,745,852.00",67.78%,473,0
,SP 8(Ward Specific),"110,014,931.00","22,820,631.05","87,194,299.95",20.74%,473,0
,TOTAL,"2,378,621,409.00","1,365,606,590.60","1,013,014,818.40",57.41%,473,0
"EDUCATION AND
TECHNICAL TRAIN-
ING",,,,,,473,0
,"SP 1(General Administra-
tion, planning and Support
Services","357,979,389.00","241,500,512.46","116,478,876.54",67.46%,473,0
,SP 2 -(ECD Services),"39,659,648.00","12,831,161.00","26,828,487.00",32.35%,473,0
