Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"General administration,
planning and support
services",Service Delivery Unit,"27,600,000","26,693,553","906,44",7 96.7,354,1
,"Governor's Office & Investment
Promotion","65,920,000","58,940,095","6,979,90",5 89.4,354,1
,"Liaison and Intergovernmental
Relations","16,186,000","14,739,285","1,446,71",5 91.1,354,1
,"Civic Education and Public Partic-
ipation","11,180,997","10,500,342","680,65",5 93.9%,354,1
Sub Total,,"120,886,997","110,873,275","10,013,72",2 91.7,354,1
County Secretary,County Secretary-Administration,"50,470,000","48,920,264","1,549,73",6 96.9,354,1
,Cabinet Affairs,"830,000","740,770","89,23",0 89.2,354,1
"Human Resource Manage-
ment","Payroll (Including Compensation
to employees)","2,068,000,000","1,600,862,256","467,137,744",77.4,355,0
,"Human Resource Management (In-
cluding employee gratuity, pension
and medical insurance)","154,520,000","28,878,822","125,641,178",18.7,355,0
Sub Total,,"2,273,820,000","1,679,402,112","594,417,888",73.9,355,0
County Attorney Services,legal and public affairs,"60,350,000","38,005,285","22,344,715",63.0,355,0
Sub Total,,"60,350,000","38,005,285","22,344,715",63.0,355,0
Public administration,Public Administration,"8,700,000","8,146,902","553,098",93.6,355,0
,"sub-county and ward administra-
tion","23,090,000","13,852,632","9,237,368",60.0,355,0
,"Communication and Public Rela-
tions","7,600,000","4,018,874","3,581,126",52.9,355,0
,Enforcement and Compliance,"17,600,000","10,863,574","6,736,426",61.7,355,0
"ICT and E-government
Services",ICT and E-government Services,"10,000,000","3,225,272","6,774,728",32.3,355,0
Sub Total,,"66,990,000","40,107,254","26,882,746",59.9,355,0
"County Public Service
Board",County Public Service Board,"22,789,000","12,886,773","9,902,227",56.5,355,0
Sub Total,,"22,789,000","12,886,773","9,902,227",56.5,355,0
"Public Finance Manage-
ment",County Funds,"289,000,000","253,500,000","35,500,000",87.7,355,0
,treasury services,"16,903,117","13,263,274","3,639,843",78.5,355,0
,Financial reporting,"5,315,000","4,641,600","673,400",87.3,355,0
,"Revenue Collection and Adminis-
tration (Including automation)","20,150,000","17,269,411","2,880,589",85.7,355,0
,"Revenue Enhancement and Mon-
itoring","16,700,000","13,278,828","3,421,172",79.5,355,0
,Supply Chain Management,"6,880,000","6,127,371","752,629",30.4,355,0
,"Internal Audit and Risk Manage-
ment","8,000,000","6,770,975","1,229,025",84.6,355,0
,Internal Audit committee,"3,000,000","2,998,300","1,700",99.9,355,0
"Economic planning and
development",County Budgeting,"13,898,750","12,052,456","1,846,294",86.7,355,0
,County Statistics and Data Bank,"4,950,000","4,911,670","38,330",99.2,355,0
,Monitoring and Evaluation,"9,365,260","3,670,520","5,694,740",39.2,355,0
,Economic Modelling and Research,"3,051,700","3,051,700",-,100.0,355,0
,Economic Development Planning,"56,750,000","11,450,576","45,299,424",20.2,355,0
Sub Total,,"453,963,827","352,986,681","100,977,146",77.8,355,0
"Preventive and Promotive
Services",Preventive and Promotive Services,"6,271,274","5,314,728","956,546",84.7,355,0
Curative Services,Curative Services,"218,199,497","176,410,164","41,789,333",80.8,355,0
,universal health care and grants,"309,636,578","46,864,209","262,772,369",15.1,355,0
"General administration,
planning and support
services",Solid Waste and Cemeteries,"4,900,000","3,580,157","1,319,843",73.1,355,0
,Infrastructure and Equipment,"301,971,038","38,970,917","263,000,121",12.9,355,0
Sub total,,"840,978,387","271,140,175","569,838,212",32.2,355,0
Primary education,ECDE,"83,652,219","20,292,924","63,359,295",24.3,355,0
"Youth training and devel-
opment",revitalization of youth polytechnics,"6,050,106","4,605,371","1,444,735",76.1,355,0
Culture,"development and promotion of
culture","7,830,000","2,132,463","5,697,537",27.2,355,0
Arts & Theater,Arts & Theater,"29,288,954","6,209,338","23,079,616",21.2,355,0
Sub Total,,"126,821,279","33,240,096","93,581,183",26.2,356,0
"Trade development and
promotion",Financial and Trade Services,"43,910,000","10,021,729","33,888,271",22.8,356,0
"Industrial development and
investment","Industrial and Enterprise Devel-
opment","134,825,000","11,748,580","123,076,420",8.7%,356,0
,Weights & Measures,"2,920,000","2,408,877","511,123",82.5,356,0
"Cooperative development
and management",Cooperative advisory services,"16,530,000","8,580,299","7,949,701",51.9,356,0
