Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),Absorption (%),page_number,table_index
"Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,106,1
"Policy Planning, Gener-
al Administration and
Support Services",Policy and Planning Services,"4,000,000",-,"4,000,000",-,106,1
,"General Administration and Sup-
port Services","151,127,711","123,683,617","27,444,094",81.8,106,1
,Sub total,"155,127,711","123,683,617","31,444,094",79.7,106,1
"Crop, Land and Agri-
business Development
Services",Crop Development Services,"7,272,161","2,986,652","4,285,509",41.1,106,1
,"Agribusiness Development Ser-
vices","14,000,000",-,"14,000,000",-,106,1
,"National Agriculture Rural Inclu-
sive Growth","279,115,289",-,"279,115,289",-,106,1
,"Agriculture Sector Development
Support Programme","31,096,673",-,"31,096,673",-,106,1
,Sub total,"331,484,123","2,986,652","328,497,471",0.9,106,1
"Food Security Enhance-
ment Services",Farm Input Access Services,"20,000,000",-,"20,000,000",-,106,1
,"Sub Sector Infrastructure Devel-
opment Services","10,815,877",-,"10,815,877",-,106,1
,Subtotal,"30,815,877",-,"30,815,877",-,106,1
"Fisheries Resources De-
velopment Services",Capture Fisheries,"12,000,000",-,"12,000,000",-,106,1
,Farmed Fish Production,"8,000,000",-,"8,000,000",-,106,1
,Subtotal,"20,000,000",-,"20,000,000",-,106,1
"Livestock Development
Programme","Livestock Improvement and De-
velopment","2,939,000",-,"2,939,000",-,106,1
,"Livestock Products Value Addi-
tion and Marketing","19,910,000",-,"19,910,000",-,106,1
,"Livestock Health and Disease
Management","9,151,000",-,"9,151,000",-,106,1
,Subtotal,"32,000,000",-,"32,000,000",-,106,1
"Department of Tourism, Sports, Youth Gender, Culture and Social Services",,,,,,107,0
"Policy, Planning and
General Administration
services","General Administration and Sup-
port Services","40,204,628","17,790,381","22,414,247",44.2,107,0
,Policy and Planning Services,"19,632,110","7,659,619","11,972,491",39.0,107,0
,Sub total,"59,836,738","25,450,000","34,386,738",42.5,107,0
"Tourism and Culture
Development Promo-
tion Services","Tourism Development and Pro-
motion Services","19,000,000",-,"19,000,000",-,107,0
,Subtotal,"19,000,000",-,"19,000,000",-,107,0
"Social Development and
Empowerment Services","Gender and Women Empower-
ment","2,000,000",-,"2,000,000",-,107,0
,Youth Empowerment,"9,000,000",-,"9,000,000",-,107,0
,Subtotal,"11,000,000",-,"11,000,000",-,107,0
"Management and De-
velopment of Sports and
Sports Facilities","Sports Infrastructure Develop-
ment Services","130,300,000","82,698,147","47,601,853",63.5,107,0
,"Sports Management and Talent
Development","15,000,000",-,"15,000,000",-,107,0
,Subtotal,"145,300,000","82,698,147","62,601,853",56.9,107,0
"Department of Roads, Transport and Public Works",,,,,,107,0
"General Administra-
tion, Planning and Sup-
port Services","Human Resource and Support
Services","35,581,848.00","7,700,000","27,881,848",21.6,107,0
,"Roads and Transport Services
Operations","9,623,712.00","9,100,000","523,712",94.6,107,0
,Subtotal,"45,205,560","16,800,000","28,405,560",37.2,107,0
"Public works and main-
tenance services",Quality control and Enforcement,"567,470",-,"567,470",-,107,0
,"Plant and Machinery mainte-
nance","3,523,540",-,"3,523,540",-,107,0
,Subtotal,"4,091,010",-,"4,091,010",-,107,0
"Road Development and
Maintenance Services","Road Development and Rehabili-
tation services","599,499,400","234,383,306","365,116,094",39.1,107,0
,Road maintenance,"230,000,006","31,726,354","198,273,652",13.8,107,0
,"Plant and Machinery Purchase
and maintenance","80,000,000",-,-,-,107,0
,Subtotal,"909,499,406","266,109,660","643,389,746",29.3,107,0
Transport Services,Development of Jetties,"11,862,940",-,"11,862,940",-,107,0
,Subtotal,"11,862,940",-,"141,455,900",-,107,0
Department of Energy and Mining,,,,,,107,0
Energy Services,Electrical Power Services,"23,000,000",-,"23,000,000",-,107,0
,Solar Power Services,"48,900,000","30,890,379","18,009,621",63.2,107,0
,"Low-Cost Energy Technologies
Promotion Services","5,000,000",-,"5,000,000",-,107,0
,Sub total,"76,900,000","30,890,379","46,009,621",40.2,107,0
"Mineral Resource De-
velopment and Market-
ing Services","Construction mineral develop-
ment and marketing services","3,800,000",-,"3,800,000",-,107,0
,Subtotal,"3,800,000",-,"3,800,000",-,107,0
"General Administra-
tion, Planning and Sup-
port Services",Administrative Support Services,"17,884,228","5,000,000","12,884,228",28.0,107,0
,Subtotal,"17,884,228","5,000,000","12,884,228",28.0,107,0
Department of Education and ICT,,,,,,107,0
"General Administration
and Quality Assurance
Service",General administration Services,"33,446,350",-,"33,446,350",-,107,0
,Quality Assurance Services,"511,468,564","371,066,202","140,402,362",72.5,107,0
