Name of the Programme,Sub-Programme,"Approved Bud-
get (Kshs.)","Actual Expendi-
ture (Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
,"SP: Human resource manage-
ment","1,161,864,550","800,336,267","361,528,283",68.9,406,0
Sub Total,,"1,808,596,725","1,086,385,547","722,211,178",60.1,406,0
"Lands, Physical Planning, Urban Development, Environment and Natural Resources",,,,,,406,0
"P: Environment and Natural
Resources Management","SP: Environment and Natural
Resource","18,206,408","751,708","17,454,700",4.1,406,0
"P: Kathwana Municipality
Development Programme","SP: Kathwana Urban Area Sup-
port","127,396,660","27,788,554","99,608,106",21.8,407,0
P: Land Policy and Planning,"SP: Land administration &
management","10,199,500","2,918,781","7,280,719",28.6,407,0
,SP: Physical Planning Services,"71,999,382","45,442,669","26,556,713",63.1,407,0
"P: Urban Development and
Administration","SP: Urban Administrative Ser-
vices","97,269,828","27,393,787","69,876,041",28.2,407,0
Sub Total,,"365,071,778","141,085,119","223,986,659",38.6,407,0
"Agriculture, Cooperatives and Industry",,,,,,407,0
"P: Cooperative Develop-
ment and Management",SP: Cooperative Development,"1,473,037",-,"1,473,037",0.0,407,0
"P: Crop Development and
Management","SP: Crops Development, Agri-
business and Market Develop-
ment","123,688,169","8,693,223","114,994,946",7.0,407,0
"P: General Administration
Planning and Support Ser-
vices","SP: Administration, Policy,
Strategy and Management of
Agriculture","382,573,649","90,531,005","292,042,644",23.7,407,0
Sub Total,,"507,734,855","99,224,228","408,510,627",19.5,407,0
Public Administration and Devolution Affairs,,,,,,407,0
"P: County Government Ad-
visory Services","SP: Disaster Management and
Coordination","1,200,000","398,405","801,595",33.2,407,0
"P: General Administration,
Planning and Support Ser-
vices","SP: General Administration
and Support Services","132,894,880","94,008,193","38,886,687",70.7,407,0
,"SP: Human Resource Manage-
ment Services","1,700,000","815,130","884,870",47.9,407,0
,"SP: Sub-County Administra-
tion and Field Services","3,560,000","1,292,600","2,267,400",36.3,407,0
Sub Total,,"139,354,880","96,514,328","42,840,552",69.3,407,0
Education and Vocational Training,,,,,,407,0
"P: Education and Youth
Training","SP: Promotion of Basic Educa-
tion (ECDE)","65,069,585","40,311,139","24,758,446",62.0,407,0
,"SP: Youth Training and Capac-
ity Building","41,051,607","22,377,125","18,674,482",54.5,407,0
"P: General Administration
Planning and Support Ser-
vices","SP: Administration Planning
and Support Services","144,444,755","99,160,675","45,284,080",68.6,407,0
Sub Total,,"250,565,947","161,848,939","88,717,008",64.6,407,0
Trade and Revenue,,,,,,407,0
"P: General Administration,
Planning and Support Ser-
vices","SP: General Administration
and Support Services","89,771,630","65,698,579","24,073,051",73.2,407,0
"P: Industrial Development
and Investment",SP: Industrial Development,"3,300,000","280,850","3,019,150",8.5,407,0
"P: Trade Development and
promotion","SP: Consumer Protection &
Fair Trade Practices","3,400,000","2,344,400","1,055,600",69.0,407,0
Sub Total,,"96,471,630","68,323,829","28,147,801",70.8,407,0
Finance and Economic Planning,,,,,,407,0
"P: Economic Policy and
County Planning",SP: County Statistics Services,"5,300,000","2,680,770","2,619,230",50.6,407,0
,"SP: Economic Development,
Planning and Coordination
Services","15,100,000","1,009,850","14,090,150",6.7,407,0
,"SP: Monitoring and Evaluation
Services","4,800,000","825,000","3,975,000",17.2,407,0
"P: Financial Management
Services",SP: Accounting Services,"7,250,000","1,980,700","5,269,300",27.3,408,0
,SP: Audit Services,"8,043,400","3,271,080","4,772,320",40.7,408,0
,"SP: Budget Formulation and
Coordination","7,450,000","2,003,800","5,446,200",26.9,408,0
,"SP: Supply Chain Management
Services","3,070,000","755,200","2,314,800",24.6,408,0
"P: General Administration,
Planning and Support Ser-
vices","SP: Human Resource Manage-
ment Services","335,812,265","125,012,019","210,800,246",37.2,408,0
"P: Kenya Devolution Sup-
port Programme","SP: Tharaka Nithi KDSP Ca-
pacity Building","172,242,250","122,124,153","50,118,097",70.9,408,0
P: Resource mobilisation,SP: Revenue Administration,"21,109,300","6,370,895","14,738,405",30.2,408,0
Sub Total,,"580,177,215","266,033,467","314,143,748",45.9,408,0
County Assembly,,,,,,408,0
"P: County Legislation Ser-
vices","SP: Coordination Services (Of-
fice of the Speaker)","5,793,916","2,500,000","3,293,916",43.1,408,0
,SP: County Assembly Services,"129,155,972","75,428,725","53,727,247",58.4,408,0
,"SP: Procedure and Oversight
Services (Committees)","61,702,846","51,847,078","9,855,768",84.0,408,0
"P: Financial Management
Services","SP: Monitoring and Eval-
uation Services","52,633,000","22,682,000","29,951,000",43.1,408,0
"P: General Administration,
Planning and Support Ser-
vices",SP: Administrative Services,"11,496,768","10,003,174","1,493,594",87.0,408,0
,"SP: General Administration
and Support Services","188,630,498","94,006,083","94,624,415",49.8,408,0
Sub Total,,"449,413,000","256,467,060","192,945,940",57.1,408,0
Water Services and Irrigation,,,,,,408,0
P: Water Supply Services,SP: Domestic Water Services,"143,820,800","22,012,138","121,808,662",15.3,408,0
,"SP: Irrigation and Drainage
Services","5,387,350","3,725,720","1,661,630",69.2,408,0
,SP: Water Storage Services,"1,239,506","203,200","1,036,306",16.4,408,0
Sub Total,,"150,447,656","25,941,058","124,506,598",17.2,408,0
County Public Service Board,,,,,,408,0
"P: Financial Management
Services","SP: Monitoring and Evaluation
Services","1,300,000","400,600","899,400",30.8,408,0
"P: General Administration,
Planning and Support Ser-
vices",,"20,058,364","8,026,907","12,031,457",40.0,408,0
,"SP: General Administration
and Support Services","20,058,364","8,026,907","12,031,457",40.0,408,0
"P: Human Resource Man-
agement and Development",,"2,575,000","896,989","1,678,011",34.8,408,0
,"SP: County Public Service
Board Services","2,575,000","896,989","1,678,011",34.8,408,0
Sub Total,,"23,933,364","9,324,496","14,608,868",39.0,408,0
Energy and Housing,,,,,,408,0
"P: Energy Resource Devel-
opment & Management","SP: Energy Resource Develop-
ment & Management","5,400,796","3,308,596","2,092,200",61.3,408,0
"P: General Administration
Planning and Support Ser-
vices","SP: General Administration
Services","35,099,095","20,104,793","14,994,302",57.3,408,0
Sub Total,,"40,499,891","23,413,389","17,086,502",57.8,408,0
Public Health and Sanitation,,,,,,408,0
