Programmes,Sub-Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs),"Absorption
(%)",page_number,table_index
"Default Value ( Non-
Departmental)","Default Value (Non- Departmen-
tal)",-,"5,498,015","(5,498,015)",,38,0
,,-,"5,498,015","(5,498,015)",,38,0
County Assembly,,"468,474,573","220,389,982","248,084,591",47.0,38,0
,P1 OFFICE OF THE CLERK,-,-,-,0.0,38,0
,,"8,200,000","7,775,753","424,247",94.8,38,0
,"General Administration, Plan-
ning And Support Services","460,274,573","212,614,229","247,660,344",46.2,38,0
,General Administration,-,-,-,,38,0
Office Of The Speaker,,"9,004,000","8,089,630","914,370",89.8,38,0
,,"9,004,000","8,089,630","914,370",89.8,38,0
,"General Administration, Plan-
ning And Support Services",-,-,-,,38,0
"County Assembly Ad-
ministration",,"370,040,447","284,351,439","85,689,008",76.8,38,0
,,"370,040,447","284,351,439","85,689,008",76.8,38,0
"Office Of The Gover-
nor And Deputy Gov-
ernor",,"151,060,107","46,850,030","104,210,077",31.0,39,0
,,"57,229,600","46,665,813","10,563,787",81.5,39,0
,,"93,830,507","184,217","93,646,290",0.2,39,0
,P3 GOVERNORS OFFICE,,,,,39,0
,P4 DEPUTY GOVERNOR,,,,,39,0
"County Executive Ad-
ministration",,"3,074,066,167","2,327,128,563","746,937,604",75.7,39,0
,,-,-,-,0.0,39,0
,"Civic Education Development
Services","700,000","700,000",-,100.0,39,0
,General Administration,,,,,39,0
,"Inter And Intra -Governmen-
tal Relations Services","7,000,000","6,988,050","11,950",99.8,39,0
,,"3,066,366,167","2,319,440,513","746,925,654",75.6,39,0
County Secretary,,"173,540,370","150,504,432","23,035,938",86.7,39,0
,County Secretary,-,-,-,0.0,39,0
,,"173,540,370","150,504,432","23,035,938",86.7,39,0
"County Public Service
Board",,,,,,39,0
,County Public Service Board,,,,,39,0
,,"5,278,159","4,795,508","482,651",90.9,39,0
,"Tiaty Sub County (Administra-
tion)",-,-,-,0.0,39,0
,,"5,278,159","4,795,508","482,651",90.9,39,0
,,"5,086,222","4,720,973","365,249",92.8,39,0
,,"5,086,222","4,720,973","365,249",92.8,39,0
,Baringo North Sub County,-,-,-,0.0,39,0
,,"4,758,027","3,031,220","1,726,807",63.7,39,0
,,"4,758,027","3,031,220","1,726,807",63.7,39,0
,Baringo Central Sub County,,,,,39,0
,,"5,144,000","3,076,013","2,067,987",59.8,39,0
,Baringo South Sub County,,,,,39,0
,,"5,144,000","3,076,013","2,067,987",59.8,39,0
,,"4,362,377","3,069,838","1,292,539",70.4,39,0
,,"4,362,377","3,069,838","1,292,539",70.4,39,0
,Mogotio Sub County,-,-,-,0.0,39,0
,,"4,852,412","4,353,981","498,431",89.7,39,0
,,"4,852,412","4,353,981","498,431",89.7,39,0
,Eldama Ravine Sub County,,,,,39,0
"Office Of The Deputy
Governor",,"17,586,339","15,700,579","1,885,760",89.3,39,0
,P4 DEPUTY GOVERNOR,-,-,-,0.0,39,0
,,"17,586,339","15,700,579","1,885,760",89.3,39,0
,P3 GOVERNORS OFFICE,,,,,39,0
Headquarters,,,,,,39,0
,Treasury Accounts,,,,,39,0
,"Civic Education Development
Services",,,,,39,0
"Finance & Economic
Planning",,"392,209,024","160,850,971","231,358,053",41.0,39,0
,"General Administration, Plan-
ning And Support Services","5,963,263","1,936,330","4,026,933",32.5,39,0
,"Revenue Services Development
Services","238,508,107","39,676,867","198,831,240",16.6,39,0
,General Administration,"147,737,654","119,237,774","28,499,880",80.7,39,0
"Monitoring And Eval-
uation",,"101,650,000","91,421,332","10,228,668",89.9,40,0
,"Economic Planning, Budget,
Monitoring And Evaluation Ser-
vices","101,650,000","91,421,332","10,228,668",89.9,40,0
Plant Disease Control,,-,-,-,0.0,40,0
,KDS Programme,-,-,-,0.0,40,0
Transport,,"1,350,773,292","207,236,673","1,143,536,619",15.3,40,0
,General Administration,"35,059,993","21,990,972","13,069,021",62.7,40,0
,"Rural Infrastructure Develop-
ment","1,305,713,299","185,245,701","1,120,467,598",14.2,40,0
,"Urban Infrastructure Develop-
ment","10,000,000",-,"10,000,000",-,40,0
County Roads,,-,"18,901,358","(18,901,358)",0.0,40,0
,"General Administration, Plan-
ning And Support Services",,,,,40,0
,"Development And Rehabilitation
Of Rural Roads And Structures",-,"18,901,358","(18,901,358)",0.0,40,0
"Industrial Develop-
ment Services",,"138,835,959","19,370,926","119,465,033",14.0,40,0
,Co-Operative Services Dev,"92,285,959","17,381,362","74,904,597",18.8,40,0
,Industrial Dev Services,"20,000,000",-,"20,000,000",0.0,40,0
,Trade Development,"26,550,000","1,989,564","24,560,436",7.5,40,0
"Trade Development
And Management
Services",,"17,250,000","8,227,105","9,022,895",47.7,40,0
,Trade Development,-,-,-,0.0,40,0
,General Administration,"17,250,000","8,227,105","9,022,895",47.7,40,0
Education,,"306,974,664","113,044,439","193,930,225",36.8,40,0
,"Early Childhood Development
Education","230,084,664","48,222,888","181,861,776",21.0,40,0
,General Administration Services,"75,090,000","64,821,551","10,268,449",86.3,40,0
,"General Administration, Plan-
ning And Support Services","1,800,000",-,"1,800,000",0.0,40,0
"County Health Ser-
vices",,"1,080,429,081","431,162,066","649,267,016",39.9,40,0
,General Administration,"536,829,113","397,347,215","139,481,898",74.0,40,0
,"Preventive And Promotive Health
Services","390,302,096","28,039,371","362,262,725",7.2,40,0
,"Curative And Rehabilitative Ser-
vices","153,297,872","5,775,480","147,522,392",3.8,40,0
,Health/Preventive Services,-,-,-,0.0,40,0
"Promotion Of Prima-
ry Health Care",,-,-,-,0.0,40,0
,General Administration,-,-,-,0.0,40,0
Lands,,"149,802,238","51,074,114","98,728,124",34.1,40,0
,General Administration,"10,310,420","5,943,153","4,367,267",57.6,40,0
,Land Use Planning,"20,200,000",-,"20,200,000",0.0,40,0
,,"1,600,000",-,"1,600,000",0.0,40,0
,Land Administration,"36,073,200","7,680,700","28,392,500",21.3,40,0
,Urban Development-Kabarnet,-,-,-,0.0,40,0
,"Other Urban Infrastructure De-
velopment And Management","80,818,618","37,450,261","43,368,357",46.3,40,0
,"Livestock Development And
Management","800,000",-,"800,000",0.0,40,0
"Land Survey And
Mapping",,"8,806,568","4,787,039","4,019,529",54.4,41,0
,General Administration,"8,806,568","4,787,039","4,019,529",54.4,41,0
,"Civic Education Development
Services",-,-,-,0.0,41,0
,"Urban Development-Eldama Ra-
vine",-,-,-,0.0,41,0
Housing,,"12,119,157","7,895,407","4,223,750",65.1,41,0
,General Administration,"12,119,157","7,895,407","4,223,750",65.1,41,0
Agricultural Services,,"822,027,087","153,778,904","668,248,183",18.7,41,0
,"Livestock Development And
Management","49,111,392","4,171,984","44,939,408",8.5,41,0
,Improved Livestock Production,"345,651,719","57,897,441","287,754,278",16.8,41,0
,"Agricultural Mechanization Ser-
vices","363,459,668","78,679,961","284,779,707",21.6,41,0
,General Administration,"51,075,333","7,902,293","43,173,040",15.5,41,0
,"Fisheries Development And
Management",-,-,-,0.0,41,0
,Agricultural Development,-,-,-,0.0,41,0
,Agricultural Training Services,"7,028,975",-,"7,028,975",0.0,41,0
,"Crop Production And Manage-
ment","5,700,000","5,127,225","572,775",90.0,41,0
Culture Services,,"179,215,995","54,608,719","124,607,276",30.5,41,0
,,"3,500,000",-,"3,500,000",0.0,41,0
,Sports Development,"7,175,571",-,"7,175,571",0.0,41,0
,,"24,867,453","20,894,003","3,973,450",84.0,41,0
,,"143,672,971","33,714,716","109,958,255",23.5,41,0
"Sports Development
And Management
Services",,-,"3,565,680","(3,565,680)",0.0,41,0
