Name of the Programme,"Approved Estimates
FY 2021/22 (Kshs.)","Expenditure 1/7/21-
31/03/22 (Kshs.)","Variance
(Kshs.)","Absorption Rate
(%)",page_number,table_index
,A,B,C=A-B,D=B/A*100,424,0
"Adjudication, registry and settlement","15,565,741","2,156,200","13,409,541",13.9,424,0
Delineation & adjudication of community land,"15,565,741","2,156,200","13,409,541",13.9,424,0
Spatial Planning,"19,826,703","2,810,008","17,016,695",14.2,424,0
Spatial Planning,"19,826,703","2,810,008","17,016,695",14.2,424,0
"Formulation of community land policy and reg-
ulations","19,610,495","673,888","18,936,607",3.4,424,0
"Formulation of community land policy and regu-
lations",-,-,-,-,424,0
Urban Centre Mgt,"13,610,495","673,888","12,936,607",5.0,424,0
Kakuma Kalobeyei Municipality,"6,000,000",-,"6,000,000",-,424,0
Compulsory land acquisition for public utilities,"8,989,359","336,000","8,653,359",3.7,424,0
Land acquisition for public utilities,"8,989,359","336,000","8,653,359",3.7,424,0
"Establishment and rehabilitation of public util-
ities in Lodwar","4,000,000","49,000","3,951,000",1.2,424,0
Improvement of Moi Garden Stadia,"4,000,000","49,000","3,951,000",1.2,424,0
Revival of Turkana Fishermen Co-op. society,"50,306,640","3,315,600","46,991,040",6.6,424,0
Spate Irrigation Technology,"12,772,960","155,730","12,617,230",1.2,424,0
Spate Irrigation Technology,"1,272,960","416,985","855,975",32.8,424,0
Spate Irrigation Technology,"20,000,000",-,"20,000,000",-,424,0
Spate Irrigation Technology,"13,219,920","744,370","12,475,550",5.6,424,0
Rehabilitation,"1,714,800","744,300","970,500",43.4,424,0
Soil & Water Conservation,"1,326,000","1,254,215","71,785",94.6,424,0
Fish market infrastructure/ fish value addition,"53,071,735","1,031,940","52,039,795",1.9,424,0
Fish market infrastructure/ fish value addition,"682,469","165,465","517,004",24.2,424,0
Fisheries livelihood support,"46,714,628","224,470","46,490,158",0.5,424,0
Fisheries Extension Services,"747,302","10,950","736,352",1.5,424,0
Fisheries resource management,"1,532,856","423,160","1,109,696",27.6,424,0
Fisheries resource management,"636,480",-,"636,480",-,424,0
Fisheries resource management,"1,962,400","207,895","1,754,505",10.6,424,0
Fish Farming & Aquaculture,"795,600",-,"795,600",-,424,0
Sustainable management of fisheries resources,"40,815,509",-,"40,815,509",-,424,0
Frame survey,"29,556,789",-,"29,556,789",-,424,0
Fish Stock assessment,"3,076,320",-,"3,076,320",-,424,0
"Monitoring, Control and Surveillance","2,545,920",-,"2,545,920",-,424,0
Resource monitoring facilities,"5,636,480",-,"5,636,480",-,424,0
Livestock breed improvement,"95,661,105","20,572,045","75,089,060",21.5,424,0
"Establish livestock Multiplication and breeding
Centre.","21,161,561","18,902,415","2,259,146",89.3,424,0
Provision of Livestock Extension services,"2,556,344","296,340","2,260,004",11.6,424,0
Livestock multiplication and breeding centre,"23,185,120","490,200","22,694,920",2.1,424,0
Livestock Value Chain,"40,727,680","437,890","40,289,790",1.1,424,0
Skills Devt,"8,030,400","445,200","7,585,200",5.5,424,0
General Administration,"887,981,616","312,102,229","575,879,387",35.1,424,0
General Administration,"140,672,904","140,672,904",-,100.0,424,0
,A,B,C=A-B,D=B/A*100,425,0
"General Administration and Support Services-
Pastoral Economy and","420,621,770","61,147,432","359,474,338",14.5,425,0
"General Administration, Planning and Support
Services – Lands General Administration, Plan-
ning and Support Services - Lands","326,686,942","110,281,893","216,405,049",33.8,425,0
Agriculture Programme,"79,187,933","25,304,003","53,883,930",32.0,425,0
Agri-nutrition/Urban & peri-urban agriculture,"592,790","497,000","95,790",83.8,425,0
"Agricultural Sector Development Support Pro-
gramme (ASDSP)","49,077,943","24,306,003","24,771,940",49.5,425,0
Agricultural Mechanization,"4,901,680",-,"4,901,680",-,425,0
Agric market Access,"954,720","301,000","653,720",31.5,425,0
Agric Extension & Devt,"21,060,800",-,"21,060,800",-,425,0
Subsidy & Support,"200,000","200,000",-,100.0,425,0
Pest Control & Mgt,"2,400,000",-,"2,400,000",-,425,0
Land Governance,"105,971,042",-,"105,971,042",-,425,0
Land Policies,"105,971,042",-,"105,971,042",-,425,0
,"277,065,502","13,000,000","264,065,502",4.7,425,0
NARIGP,"277,065,502","13,000,000","264,065,502",4.7,425,0
,"208,000,000","8,000,000","200,000,000",3.8,425,0
DRNKP/KfW,"208,000,000","8,000,000","200,000,000",3.8,425,0
,"120,206,667",-,"120,206,667",-,425,0
Emergency Locust Response Project,"120,206,667",-,"120,206,667",-,425,0
Develop and maintain roads,"138,045,848","15,992,540","122,053,308",11.6,425,0
"Annual Roads Inventory and Conditional Survey
(ARICS)","1,326,000","335,540","990,460",25.3,425,0
