Programme,"Sub- Programme
(","Approved Budget
Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index,Sub- Programme,"Approved Budget
(Kshs)"
"0701000 P1 General Adminis-
tration Planning and Support
Services","0701010 SP.1.1 General Ad-
ministration Planning and
Support Services","129,503,380","33,256,574","96,246,805",25.7,305,1,,
,"Total 5311000000 COUNTY
PUBLIC SERVICE BOARD","129,503,380","33,256,574","96,246,805",25.7,305,1,,
"0718005310 General Adminis-
trative Services","0718015310 Sp1 General Ad-
ministration & Support Ser-
vices","679,070,411","318,578,296","360,492,114",46.9,305,1,,
,"0718025310 Sp2 Sub County
Administration","1,723,440,903","999,332,608","724,108,294",58.0,305,1,,
,,,"54,410,259","231,894,272",19.0,306,0,"0718075310 Sp7 County Ex-
ecutive","286,304,531"
,,,"37,401,783","87,189,570",30.0,306,0,0718095310 Sp9 Audit,"124,591,354"
"0724005310 P 24 Security and
Safety Management",,,"619,816,574","594,692,827",51.0,306,0,0724055310 Inspectorate,"1,214,509,402"
,,,"14,410,958","72,110,582",16.7,306,0,"0724015310 sp 24.1 investiga-
tive Services","86,521,541"
"P; 0726005310:Disaster Man-
agement Coordination",,,"321,337,718","251,980,976",56.0,306,0,"072601510: Fire & Disaster
Management","573,318,695"
"0725005310 P 25 management
of legal affairs",,,"397,126,635","233,637,803",63.0,306,0,"0725015310 sp 25.1 legal ser-
vices","630,764,439"
,,,"2,762,414,833","2,556,106,442",51.9,306,0,"Total 5312000000 OFFICE
OF GOVERNOR & DEPU-
TY GOVERNOR","5,318,521,276"
"0207000 P1: General Adminis-
tration Planning and Support
Services",,,"54,208,319","92,504,476",36.9,306,0,"0207010 SP 1: General Ad-
ministration, Planning And
Support Services","146,712,796"
"0208000 P2: Information And
Communication Services",,,"2,205,000","79,423,403",2.7,306,0,"0208010 SP 2.1: News And In-
formation Services","81,628,403"
,,,"794,000","10,335,108",7.1,306,0,"0208030 SP 2.3: ICT and Me-
dia Regulatory Services","11,129,108"
,,,"1,718,400","86,925,963",1.9,306,0,"0208040 SP 2.4 E-Govern-
ment Services","88,644,363"
"0210005310 ICT Infrastructure
Development",,,-,"93,466,288",0.0,306,0,"0210010 SP1: ICT Infrastruc-
ture Connectivity","93,466,288"
,,,-,"18,185,300",0.0,306,0,"0210035310 sp 3:Information
Security","18,185,300"
,,,"58,925,719","380,840,538",13.4,306,0,"Total 5313000000 ICT,
E-GOVT & PUBLIC COM-
MUNICATIONS","439,766,258"
"0701005310 Public Financial
Management",,,"11,851,724","268,870,818",4.2,306,0,"0701015310 Assets Manage-
ment Services","280,722,542"
,,,"824,306,733","878,324,484",48.4,306,0,"0701065310 sp1.6 Accounting
Services","1,702,631,217"
,,,"105,186,035","162,009,271",39.4,306,0,"0701075310 sp1.7 Budget
Formulation Coordination
and mgt","267,195,306"
,,,"527,569,294","66,624,167",88.8,306,0,"0701085310 sp1.8 Resource
Mobilisation","594,193,461"
,,,"394,769,717","355,119,202",52.6,306,0,"070115310 Debt Management
Services","749,888,919"
,,,"72,188,395","48,816,403",59.7,306,0,"0718085310 Sp8 Supply Chain
Management","121,004,798"
"0718015310 Sp1 General Ad-
ministration & Support Ser-
vices",,,"170,978,319","197,717,670",46.4,306,0,"0718015310 Sp1 General Ad-
ministration & Support Ser-
vices","368,695,990"
,,,"2,144,515,25","2,053,188,561",51.1,307,0,"Total 5314000000 FINANCE
& ECONOMIC PLANNING","4,197,703,812."
"0404005310 General adminis-
tration, planning and support
services",,,"32,025,495","37,493,454",46.1,307,0,"0404015310 Sp4.1 Adminis-
tration/Human Resource for
Health","69,518,950"
,,,"32,025,495","37,493,454",46.1,307,0,Total 5315000000 HEALTH,"69,518,950"
"0106000 P 6 General Adminis-
tration Planning and Support
Services",,,"10,096,994","41,583,319",19.5,307,0,"0106010 SP.6.1 Administra-
tion, Planning & Support Ser-
vices","51,680,314"
,,,"10,096,994","41,583,319",19.5,307,0,"Total 5316000000 URBAN
PLANNING AND LANDS","51,680,314"
"0207000 P1: General Adminis-
tration Planning and Support
Services",,,"715,874","349,827,915",0.2,307,0,"0207010 SP 1: General Ad-
ministration, Planning And
Support Services","350,543,790"
,,,"715,874","349,827,915",0.2,307,0,"Total 5317000000 PUBLIC
WORKS ,TRANSPORT &
INFRASTRUCTURE","350,543,790"
"0508005310 General adminis-
tration, planning and support
services",,,"1,116,673,473","339,376,618",76.7,307,0,"0508025310 sp 8.2 General
Administration & Support
Services","1,456,050,092"
"0509005310 P9 Education ser-
vices",,,-,"1,280,951",0.0,307,0,"0509015310 sp 9.1 Quality As-
surance and Co-curriculum","1,280,951"
,,,"45,622,845","213,647,155",17.6,307,0,"0509025310 sp 9.2 Early
Childhood Development
Centres","259,270,000"
,,,"118,000","39,878,632",0.3%,307,0,"0509035310 sp 9.3 Technical
and Vocational Training","39,996,632"
0902005310 2.1 Social Services,,,"97,314,086","78,883,826",55.2,307,0,"0902015310 General Admin-
istration & Support Services","176,197,913"
,,,"6,672,400","80,166,973",7.7,307,0,"0902025310 Sp.2.2 Gender
and Community Empower-
ment","86,839,373"
,,,"1,414,000","59,616,251",2.3,307,0,"0902045310 Sp2.4 Develop-
ment and promotion of sports","61,030,251"
,,,"12,228,728","70,308,793",14.8,307,0,"0902055310 Sp2.5 Youth Em-
powerment and Promotion","82,537,521"
,,,-,"7,637,182",0.0,307,0,"0902065310 Sp 2.6 Social wel-
fare and care for the Aged","7,637,182"
,,,-,"1,444,191",0.0,307,0,"0902075310 Sp 2.7 Promotion
of Library and Information
Services","1,444,191"
,,,-,"7,698,969",0.0,307,0,"0902085310 Sp.2 8 Rescue and
Rehabilitation of Children
Services","7,698,969"
,,,"1,280,043,533","899,939,541",58.7,307,0,"Total 5318000000 EDUCA-
TION,YOUTH AFFAIRS,
SPORTS, CULTURE & SO-
CIAL SERVICES","2,179,983,075"
"0301000 P.1 General Adminis-
tration Planning and Support
Services",,,"149,376,960","134,828,361",52.6,307,0,"0301010 SP1 General Admin-
istration Planning and Sup-
port Services","284,205,322"
"0310005310 P.10 Co-operative
Development and Audit Ser-
vices",,,"1,255,400","24,417,798",4.9,308,0,"0310015310 sp 10.1 Coopera-
tive Development Services","25,673,198"
