Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,"030406 Cooperative Education and
Training","542,000","351,300.00","190,700",64.8,175,0
,"030407 Cooperative Governance
and Accountability","159,000","134,700.00","24,300",84.7,175,0
"Cooperative Audit
Services","030603 Inspections and Investiga-
tions for Cooperatives","70,000","70,000.00",-,100.0,175,0
Sub Total,,"62,311,229","22,583,649","39,727,580",36.2,175,0
Water Supply Services,090101 Water and Irrigation,"126,675,566","3,920,762.00","122,754,804",3.1,175,0
Energy Programme,090301 Energy Services,"405,000","308,900.00","96,100",76.3,175,0
"Cleaning and Waste
Management","090502 Environment Management
and Protection","675,800","500,300.00","175,500",74.0,175,0
Nema,"090401 Waste Management Ser-
vices","101,508,439","84,802,718.85","16,705,720",83.5,175,0
Sub Total,,"229,264,805","89,532,681","139,732,124",39.1,175,0
"Land and Physical
Planning","010601 General Administration
and Planning","26,533,028","20,249,188.45","6,283,839",76.3,175,0
,010604 County Spatial Planning,"1,510,000","1,318,088.00","191,912",87.3,175,0
,010605 Town Zoning and Mapping,"99,192,631","1,500,000.00","97,692,631",1.5,175,0
,010607 Survey and Mapping,"505,000","269,465.00","235,535",53.4,175,0
"Housing Develop-
ment","010701 Improvement and Develop-
ment of Human Settlements","420,000","223,600.00","196,400",53.2,175,0
Sub Total,,"128,160,659","23,560,341","104,600,317",18.4,175,0
