Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
The County Assembly,,,,,,371,0
,"0707014210 SP1 Legis-
lative and Oversight","64,934,400","53,956,173","10,978,227",83.1,371,0
,"0707024210 SP2 Coun-
ty Assembly Adminis-
tration","376,661,595","176,249,316","200,412,279",46.8,371,0
,"0707034210 SP3 Repre-
sentation","231,578,035","190,018,689","41,559,346",82.1,371,0
,Subtotal,"673,174,030","420,224,178","252,949,852",62.4,371,0
The County Executive,,,,,,371,0
"0701004210 P1 Management of
County Affairs","0701014210 SP1 Gener-
al Administration and
Support Services (Gov-
ernor, Deputy Gover-
nor)","239,215,344","127,590,587","111,624,757",53.3,371,0
,"0704014210 SP2 Ad-
ministration of Human
Resources in County
Public Service","69,487,568","46,633,061","22,854,507",67.1,371,0
,"0701034210 SP3 Sub
County Administration","175,747,707","127,363,473","48,384,234",72.5,371,0
,"0701044210 SP4 Coor-
dination, Supervision
and Human Resource
services (C S)","39,472,837","25,959,961","13,512,876",65.8,371,0
,Subtotal,"523,923,456","327,547,082","196,376,374",62.5,371,0
"Department of Finance, Economic Planning & ICT",,,,,,371,0
"0705004210 P1 General Admin-
istration Planning and Support
Services","0705014210 SP1 Ad-
ministration Services","367,427,417","197,126,008","170,301,409",53.7,371,0
,"0705024210 SP2 ICT
Services","58,815,474","15,706,009","43,109,465",26.7,371,0
,Subtotal,"426,242,891","212,832,017","213,410,874",49.9,371,0
"0706004210 P2 Public Finance
Management","0706054210 SP5 Ac-
counting Services","42,811,010","14,533,936","28,277,074",33.9,371,0
,"0706024210 SP2 Re-
source Mobilization","68,034,838","51,028,525","17,006,313",75.0,371,0
,"0706034210 SP3 Inter-
nal Audit","19,713,870","11,782,192","7,931,678",59.8,371,0
,"0706044210 SP4 Supply
Chain Management","21,618,886","11,863,597","9,755,289",54.9,371,0
,"0706014210 SP1 Budget
Formulation Coordina-
tion and Management","13,242,800","10,743,296","2,499,504",81.1,371,0
,"0706064210 SP6 Fiscal
Planning","40,767,280","12,514,072","28,253,208",30.7,371,0
,Subtotal,"206,188,684","112,465,618","93,723,066",54.5,371,0
"0713004210 P3 General Admin-
istration Planning and Support
Services","0713014210 SP1 Gen-
eral Administration
Planning and Support
Services","7,551,952","3,006,781","4,545,171",39.8,372,0
,Subtotal,"7,551,952","3,006,781","4,545,171",39.8,372,0
"0712004210 P4 Special Pro-
grams","0712014210 SP 1 Spe-
cial Programs","25,142,922","10,378,226","14,764,696",41.3,372,0
,Subtotal,"25,142,922","10,378,226","14,764,696",41.3,372,0
"Department Agriculture, Livestock Development, Veterinary Services & Fisheries",,,,,,372,0
"0101004210 P1 General Admin-
istration Planning and Support
Services","0101014210 SP1 Ad-
ministration, Planning
and Support Services","566,282,323","103,826,790","462,455,533",18.3,372,0
,Subtotal,"566,282,323","103,826,790","462,455,533",18.3,372,0
"0103004210 P2 Livestock Re-
source Management and Devel-
opment","0103014210 SP1 Live-
stock Policy Devel-
opment and Capacity
Building","12,748,584","5,533,340","7,215,244",43.4,372,0
,"0103024210 SP2 Live-
stock Production and
Management","70,867,032","42,621,570","28,245,462",60.1,372,0
,"0103034210 SP3 Live-
stock Diseases Manage-
ment and Control","25,799,666","7,342,448","18,457,218",28.5,372,0
,"0103044210 SP4 Live-
stock Marketing and
Rangeland Management","83,003,983","43,721,265","39,282,718",52.7,372,0
,Subtotal,"192,419,265","99,218,623","93,200,642",51.6,372,0
"0104004210 P4 Fisheries Devel-
opment and Management","0104014210 SP1 Man-
agement and Develop-
ment of Fisheries","11,149,552","1,987,942","9,161,610",17.8,372,0
,Subtotal,"11,149,552","1,987,942","9,161,610",17.8,372,0
"0105004210 P3 Crop Develop-
ment and Management","0105014210 SP1 Lands
and Crops Development","53,738,776","24,193,297","29,545,479",45.0,372,0
,"0105024210 SP2 Food
Security Initiatives","20,987,190","10,995,115","9,992,075",52.4,372,0
,Subtotal,"74,725,966","35,188,412","39,537,554",47.1,372,0
"Department Water, Environment, Natural Resources & Energy",,,,,,372,0
"1001004210 P1 General Admin-
istration Planning and Support
Services","1001014210 SP1 Gen-
eral Administration
Planning and Support
Services","20,301,883","13,995,515","6,306,368",68.9,372,0
,Subtotal,"20,301,883","13,995,515","6,306,368",68.9,372,0
"1002004210 P2 Environmental
Management and Protection","1002014210 SP1 County
Environment Manage-
ment","27,565,922","1,264,561","26,301,361",4.6,372,0
,"1002024210 SP2 Forests
Conservation and Man-
agement","14,683,286","2,721,666","11,961,620",18.5,372,0
,Subtotal,"42,249,208","3,986,227","38,262,981",9.4,372,0
"1003004210 P3 Natural Re-
sources Services","1003024210 SP2 Soil
Conservation Manage-
ment","5,015,494","344,300","4,671,194",6.9,373,0
,"1003034210 SP3 Mining
Services","2,198,573","253,770","1,944,803",11.5,373,0
,"1003044210 SP4 Water
Catchment and Protec-
tion Services","8,976,184","1,412,806","7,563,378",15.7,373,0
,Subtotal,"16,190,251","2,010,876","14,179,375",12.4,373,0
"1004004210 P4 Water and Sani-
tation Infrastructure","1004014210 SP1 Storm
Water Management","5,419,985","2,411,826","3,008,159",44.5,373,0
,"1004024210 SP2 Water
and Sanitation Services","570,614,349","138,938,901","431,675,448",24.3,373,0
,Subtotal,"576,034,334","141,350,727","434,683,607",24.5,373,0
Department of Education and Vocational Training,,,,,,373,0
"0501004210 P1 General Admin-
istration Planning and Support
Services","0501014210 SP1 Gen-
eral Administration
Planning and Support
Services","206,613,119","156,969,941","49,643,178",76.0,373,0
,Subtotal,"206,613,119","156,969,941","49,643,178",76.0,373,0
"0502004210 P3 Youth Training
and Development","SP 0504014210 Revit-
alisation of Youth Poly-
technics","21,736,692","8,833,040","12,903,652",40.6,373,0
,Subtotal,"21,736,692","8,833,040","12,903,652",40.6,373,0
"0502004210 P2 Early Childhood
Development and Education","0502014210 SP1 Early
Childhood Develop-
ment and Education","474,424,842","343,903,492","130,521,350",72.5,373,0
,Subtotal,"474,424,842","343,903,492","130,521,350",72.5,373,0
"Department of Medical Services, Public Health & Sanitation",,,,,,373,0
"0401004210 P1 Preventive and
Promotive Health Services","0401044210 SP2 En-
vironmental & Health
promotion","105,699,435","81,809,590","23,889,845",77.4,373,0
,"0402014210 SP1 Nutri-
tion","15,014,900","5,221,345","9,793,555",34.8,373,0
,"0401054210 SP3 Com-
municable Disease Con-
trol","94,936,472","59,529,917","35,406,555",62.7,373,0
,"0401064210 SP4
Non-communicable
Disease Prevention &
Control","37,972,158","16,342,139","21,630,019",43.0,373,0
,"0401074210 SP5 Repro-
ductive, Maternal, Neo-
natal, child and Adoles-
cent Health","59,730,924","32,514,767","27,216,157",54.4,373,0
,Subtotal,"313,353,889","195,417,758","117,936,131",62.4,373,0
0402004210 P2 Curative Health,"0402044210 SP1 Coun-
ty Hospital and Referral
Services","608,243,935","462,494,681","145,749,254",76.0,373,0
,"0402054210 SP2 Free
Primary Health Services","330,414,139","97,521,127","232,893,012",29.5,373,0
,Subtotal,"938,658,074","560,015,808","378,642,266",59.7,373,0
"0403004210 P3 General Admin-
istration Planning and Support
Services","0403014210 SP1 Health
Infrastructure Develop-
ment","321,551,018","59,195,805","262,355,213",18.4,374,0
,"0403034210 SP2 Hu-
man Resource Manage-
ment and Development","72,050,220","48,703,346","23,346,874",67.6,374,0
,"0403044210 SP3 Mon-
itoring and Evaluation,
Research and Develop-
ment","5,137,284","236,301","4,900,983",4.6,374,0
,"0403054210 SP4 Health
Policy, Planning & Fi-
nancing","31,260,403","11,200,117","20,060,286",35.8,374,0
,"0403064210 SP5 Health
Standards and Quality
Assurance Services","90,987,595","69,374,267","21,613,328",76.2,374,0
,Subtotal,"520,986,520","188,709,836","332,276,684",36.2,374,0
"Department Lands, Housing, Physical Planning and Urban Development",,,,,,374,0
