Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,"Actual Payments
(Kshs)","Absorp-
tion (%)"
,,A,B,C=A-B,D=B/A*100,263,0,,
Grand Total,,"8,945,318,521","5,629,582,850","2,455,420,767",62.9,263,0,,
COUNTY ASSEMBLY,,,,,,269,0,,
"Legislation and Representa-
tion",Legislation,"456,774,801.06",,"144,313,626.76",,269,0,"312,461,174.30",68.4
legislative Oversight,Oversight,"247,715,982.34",,"95,730,683.99",,269,0,"151,985,298.35",61.4
"General Admin, Planning
and Support",General Administration,"304,169,585.60",,"143,616,058.25",,269,0,"160,553,527.35",52.8
Development,,"68,000,000.00",,-,,269,0,,-
Total,,"1,076,660,369.00",,"451,660,369.00",,269,0,"625,000,000.00",58.1
DEPARTMENT: OFFICE OF THE GOVERNOR,,,,,,269,0,,
General Administration,General Administration,"234,665,560.00",,"51,076,698.25",,269,0,"183,588,861.75",78.2
"Governor Press/Communi-
cation and Events","Governor Press/Communi-
cation and Events","28,620,000.00",,"15,984,610.00",,269,0,"12,635,390.00",44.2
Efficiency Monitoring,Efficiency Monitoring,"13,077,280.00",,"4,866,692.00",,269,0,"8,210,588.00",62.8
Research and Strategy,Research and Strategy,"13,350,000.00",,"8,442,350.00",,269,0,"4,907,650.00",36.8
"Disaster Management, Res-
cue & Emergency Services","Disaster Management, Res-
cue & Emergency Services","18,866,780.50",,"13,813,080.50",,269,0,"5,053,700.00",26.8
"External Linkages & Partner-
ship","External Linkages & Partner-
ship","18,700,000.00",,"5,373,246.00",,269,0,"13,326,754.00",71.3
'County Secretary,County Secretary,"13,118,766.46",,"5,439,176.46",,269,0,"7,679,590.00",58.5
Total,,"340,398,386.96",,"104,995,853.21",,269,0,"235,402,533.75",69.2
DEPARTMENT: FINANCE ECONOMIC PLANNING & ICT,,,,,,269,0,,
General Administration,Administration,"165,784,741.00",,"24,227,920.38",,269,0,"141,556,820.62",85.4
Deputy Governors Office,Office Affairs,"18,540,000.00",,"2,967,109.00",,269,0,"15,572,891.00",84
Procurement,Procurement,"11,070,000.00",,"3,490,613.00",,269,0,"7,579,387.00",68.5
Internal Audit,Internal Audit,"10,215,000.00",,"3,831,119.00",,269,0,"6,383,881.00",62.5
Budget and Policy,Budget and Policy,"25,951,707.90",,"6,700,987.90",,269,0,"19,250,720.00",74.2
Accounts,Accounts,"88,778,396.11",,"42,744,269.31",,269,0,"46,034,126.80",51.9
"Semi-Autonomous Agencies:
Investment Corporation","Meru Investment Corpora-
tion","84,803,972.00",,"42,702,732.75",,269,0,"42,101,239.25",49.7
Microfinance Corporation,"Meru Micro-Finance Corpo-
ration","81,230,864.00",,"27,230,864.00",,269,0,"54,000,000.00",66.5
Revenue Board,Meru Revenue Board,"332,144,000.00",,"67,747,088.29",,269,0,"264,396,911.71",79.6
ICT Development,ICT Development,"36,170,000.00",,"28,767,145.90",,269,0,"7,402,854.10",20.5
"Economic Planning and Co-
ordination Services","Economic Planning and Co-
ordination Services","10,494,200.00",,"3,413,890.00",,269,0,"7,080,310.00",67.47
Fleet Management,Fleet Management,"166,743,760.00",,"103,630,797.57",,269,0,"63,112,962.43",37.85
Total,,"1,031,926,641.01",,"357,454,537.10",,269,0,"674,472,103.91",65.36
"DEPARTMENT: AGRICULTURE, LIVESTOCK DEVELOPMENT AND FISHIERIES",,,,,,269,0,,
General Administration,General Administration,"805,165,554.98",,"559,768,104.38",,269,0,"245,397,450.60",30.48
Livestock,Livestock,"21,050,566.70",,"19,130,516.70",,269,0,"1,920,050.00",9.12
Fisheries,Fisheries,"6,792,500.00",,"5,554,150.00",,269,0,"1,238,350.00",18.23
Agricultural Services,Agricultural Services,"28,436,425.60",,"16,656,042.00",,269,0,"11,780,383.60",41.43
Animal Disease Management,Animal Disease Management,"3,040,000.00",,"2,713,000.00",,269,0,"327,000.00",10.76
"Agricultural Training Centre
(ATC)","Agricultural Training Centre
(ATC)","43,948,485.80",,"23,037,191.80",,269,0,"20,911,294.00",47.58
"Agricultural Mechanization
Services (AMS)","Agricultural Mechanization
Services (AMS)","38,104,411.00",,"38,104,411.00",,269,0,,0.00
Total,,"946,537,944.08",,"664,963,415.88",,269,0,"281,574,528.20",29.75
DEPARTMENT: WATER & IRRIGATION,,,,,,269,0,,
General Administration,Administration Services,"645,134,808.00",,"529,728,516.00",,269,0,"115,406,292.00",17.89
Total,,"645,134,808.00",,"529,728,516.00",,270,0,"115,406,292.00",17.89
"DEPARTMENT: EDUCATION, TECHNOLOGY, GENDER & SOCIAL DEVEL-
OPMENT",,,,,,270,0,,
General Administration,General Administration,"724,887,948.00",,"39,007,512.45",,270,0,"685,880,435.55",94.62
"Early Childhood Develop-
ment Education (ECDE)","Early Childhood Develop-
ment Education (ECDE)","202,171,921.00",,"175,416,752.00",,270,0,"26,755,169.00",13.23
"'Technical and Vocation Ed-
ucation","'Technical and Vocation Ed-
ucation","61,887,374.00",,"61,164,374.00",,270,0,"723,000.00",1.17
"'Gender Mainstreaming and
Social Services","'Gender Mainstreaming and
Social Services","57,131,600.00",,"43,809,700.00",,270,0,"13,321,900.00",23.32
PWD Empowerment,PWD Empowerment,"5,000,000.00",,"5,000,000.00",,270,0,,0.00
Total,,"1,051,078,843.00",,"324,398,338.45",,270,0,"726,680,504.55",69.14
"DEPARTMENT: HEALTH
SERVICES",,,,,,270,0,,
General Administration,General Administration,"2,587,582,239.00",,"279,287,821.18",,270,0,"2,308,294,417.82",89.21
Curative Health,Curative Health,"735,705,226.70",,"504,466,420.70",,270,0,"231,238,806.00",31.43
"Preventive and Promotive
Health","Preventive and Promotive
Health","205,175,614.36",,"181,741,110.36",,270,0,"23,434,504.00",11.42
Total,,"3,528,463,080.06",,"965,495,352.24",,270,0,"2,562,967,727.82",72.64
"DEPARTMENT: LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT & PUBLIC WORKS",,,,,,270,0,,
General Administration,Ggeneral Administration,"66,218,847.00",,"3,517,315.55",,270,0,"62,701,531.45",94.69
Lands & Public Works,Lands & Public Works,"189,969,732.00",,"117,040,597.50",,270,0,"72,929,134.50",38.39
"Physical Planning, House &
Urban Development","Physical Planning, House &
Urban Development","418,448,362.05",,"389,562,283.05",,270,0,"28,886,079.00",6.90
Meru Municipality,Meru Municipality,"60,809,000.00",,"55,159,650.00",,270,0,"5,649,350.00",9.29
Total,,"735,445,941.05",,"565,279,846.10",,270,0,"170,166,094.95",23.14
DEPARTMENT: PUBLIC SERVICE ADMINISTRATION & LEGAL AFFAIRS,,,,,,270,0,,
General Administration,General Administration,"20,179,291.19",,"10,357,082.79",,270,0,"9,822,208.40",48.67
"Coordination of County
Government Functions Sub
County","Coordination of County
Government Functions Sub
County","21,801,708.23",,"12,132,908.23",,270,0,"9,668,800.00",44.35
"County Office Accommoda-
tion and Enforcement Ser-
vices","County Office Accommoda-
tion and Enforcement Ser-
vices","82,269,668.76",,"74,903,293.76",,270,0,"7,366,375.00",8.95
Human Resource,Human Resource,"794,216,132.05",,"122,754,713.05",,270,0,"671,461,419.00",84.54
Office of the County Attorney,"Office of the County Attor-
ney","73,891,658.00",,"46,289,003.35",,270,0,"27,602,654.65",37.36
"Towns Management & Ad-
ministration","Towns Management & Ad-
ministration","3,269,854.00",,"3,269,854.00",,270,0,,0.00
Total,,"995,628,312.23",,"269,706,855.18",,270,0,"725,921,457.05",72.91
"DEPARTMENT: 'ROADS, TRANSPORT& ENERGY",,,,,,270,0,,
"General Administra-
tion-Roads","General Administra-
tion-Roads","105,850,000.00",,"52,014,463.60",,270,0,"53,835,536.40",50.86
Energy,Energy,"50,595,163.90",,"28,493,660.05",,270,0,"22,101,503.85",43.68
Roads Transport,,"1,399,321,642.10",,"925,318,315.10",,270,0,"474,003,327.00",0.34
Total,,"1,555,766,806.00",,"1,005,826,438.75",,270,0,"549,940,367.25",35.35
"DEPARTMENT: 'TRADE, TOURISM & COOPERATIVES DEVELOPMENT",,,,,,270,0,,
Headquarters,Headquarters,"62,893,762.00",,"10,306,485.30",,270,0,"52,587,276.70",83.61
Co-operatives Development,Co-operatives Development,"37,800,000.00",,"32,585,440.00",,270,0,"5,214,560.00",13.80
Tourism Development,Tourism Development,"47,500,000.00",,"44,037,558.00",,270,0,"3,462,442.00",7.29
Trade Development,Trade Development,"140,958,097.00",,"134,877,542.00",,270,0,"6,080,555.00",4.31
Total,,"289,151,859.00",,"221,807,025.30",,270,0,"67,344,833.70",23.29
