Program,Description,"Final Budget
(Kshs.)","Actual Expendi-
ture (Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Agriculture,"Administration, planning support ser-
vices","24,193,636","7,780,756","16,412,880",32.2,397,0
,"Administration, planning support services","24,193,636","7,780,756","16,412,880",32.2,397,0
,Agricultural Development project,"555,424,314","103,164,667","452,259,647",18.6,397,0
,"Agricultural Mechanization Services (AMS
Garsen station)","18,284,500","6,454,653","11,829,847",35.3,397,0
,Minor/Village irrigation schemes,"47,000,000",-,"47,000,000",0.0,397,0
,"Agriculture Sector Development Support
Project (ASDSP)","88,523,658","70,922,481","17,601,177",80.1,397,0
,Agriculture Extension Services,"4,738,000","1,254,639","3,483,361",26.5,397,0
,Crop Development,"355,271,550","9,136,600","346,134,950",2.6,397,0
,"Agriculture Sector Development Support
Project (ASDSP)","40,286,606","14,965,394","25,321,212",37.2,397,0
,Food and Agriculture Organization,"1,320,000","430,900","889,100",32.6,397,0
,Veterinary Development,"51,736,818","7,726,623","44,010,196",14.9,397,0
,Veterinary extension services,"3,637,500","411,560","3,225,940",11.3,397,0
,Artificial insemination (Pilot scheme),"2,263,000","936,493","1,326,507",41.4,397,0
,"Buy Tsetse fly traps/Targets (Kipini,
Tarasaa)","2,836,872","1,600,250","1,236,622",56.4,397,0
,Conduct Disease Surveillance,"7,706,600","3,907,153","3,799,447",50.7,397,0
,,"33,260,846","608,167","32,652,679",1.8,397,0
,Leather Development Service,"2,032,000","263,000","1,769,000",12.9,397,0
,Livestock Development,"37,927,500","7,794,840","30,132,660",20.6,397,0
,Livestock production extension services,"3,042,500","385,800","2,656,700",12.7,397,0
,Livestock Research,"27,505,000","7,348,840","20,156,160",26.7,397,0
,Fodder production training,"980,000",-,"980,000",0.0,397,0
,Irrigation Fodder Production,"6,400,000","60,200","6,339,800",0.9,397,0
"Fisheries & Fish-
eries Develop-
ment",Fisheries Development,"34,076,043",-,"34,076,043",0.0,397,0
,Fisheries development,"34,076,043",-,"34,076,043",0.0,397,0
,Fisheries,"14,758,831","10,687,254","4,071,577",72.4,397,0
,"Empowerment of Women and Youth on
Fish Safety and Quality Assurance","2,090,000","34,500","2,055,500",1.7,397,0
,Construction of Ice Plant and Cold Storage,"12,668,831","10,652,754","2,016,077",84.1,397,0
"Lands & Physical
Planning",Land Policy and Planning,"149,238,120","18,853,883","130,384,237",12.6,397,0
,Physical Planning,"67,060,303","11,920,903","55,139,400",17.8,397,0
,Land Survey and Mapping,"61,177,817","2,642,680","58,535,137",4.3,397,0
,Land Administration,"21,000,000","4,290,300","16,709,700",20.4,397,0
"Roads & Public
Works",Infrastructure Development programme,"340,096,490","150,047,358","190,049,132",44.1,397,0
,Roads,"340,096,490","150,047,358","190,049,132",44.1,397,0
,"Administration, Planning and Support
Services","44,611,000","4,845,431","39,765,569",10.9,397,0
,"Administration, planning, Operation and
Maintenance","44,611,000","4,845,431","39,765,569",10.9,397,0
,County Headquarters,"242,695,000",-,"242,695,000",0.0,398,0
,County Roads Development,"26,000,196","4,457,450","21,542,746",17.1,398,0
,Routine Maintenance,"3,628,330","2,820,880","807,450",77.8,398,0
,Opening of New Roads,"3,877,733","1,050,470","2,827,263",27.1,398,0
,Grading and Murruming of County Roads,"16,645,000","183,000","16,462,000",1.1,398,0
,Tarmacking of County Roads,"1,849,133","403,100","1,446,033",21.8,398,0
