Sub- Programme,"Approved Budget
(Kshs)",Actual Payments (Kssh),Variance (Kshs.),Absorption (%),page_number,table_index
Default Value ( Non- Departmental),-,-,-,-,336,1
Economic Policy and County Planning,-,-,-,-,336,1
"General Administration, Planning and Support Services",-,-,-,-,336,1
Default - Non Programmatic,-,-,-,-,336,1
Environment Management and Protection,-,-,-,-,336,1
,-,-,-,-,336,1
Preventive &Promotive Health Services,-,-,-,-,336,1
"General Administration, Planning & Support Services",-,-,-,-,336,1
Revenue Management,-,-,-,-,336,1
"General Administration, Planning & Support Services",-,-,-,-,337,0
County Assembly Headquarters,"301,902,712","221,174,958","80,727,754",73.3,337,0
Legislation and Representation,"301,902,712","221,174,958","80,727,754",73.3,337,0
"General Administration, Planning and Support Services",-,-,-,-,337,0
Office of the Speaker,"13,460,000","12,727,160","732,840",94.6,337,0
Legislation and Representation,"13,460,000","12,727,160","732,840",94.6,337,0
County Assembly Administration,"325,118,836","291,269,404","33,849,432",89.6,337,0
"General Administration, Planning and Support Services","325,118,836","291,269,404","33,849,432",89.6,337,0
County Legislature,"8,700,000","7,329,355","1,370,645",84.2,337,0
Legislation and Representation,"8,700,000","7,329,355","1,370,645",84.2,337,0
Finance Management Services,"14,610,000","13,744,930","865,070",94.1,337,0
"General Administration, Planning and Support Services","14,610,000","13,744,930","865,070",94.1,337,0
Public Finance Management,-,-,-,-,337,0
Policy And Research,"6,600,544","4,970,770","1,629,774",75.3,337,0
Legislation and Representation,"6,600,544","4,970,770","1,629,774",75.3,337,0
Administrative Services,"71,916,800","68,221,525","3,695,275",94.9,337,0
"General Administration, Planning and Support Services","71,916,800","68,221,525","3,695,275",94.9,337,0
County Assembly Service Board,"22,000,000","19,533,150","2,466,850",88.8,337,0
Legislation and Representation,"22,000,000","19,533,150","2,466,850",88.8,337,0
Procedure And Committee Services,"75,895,108","75,895,108",-,100.0,337,0
"General Administration, Planning and Support Services","75,895,108","75,895,108",-,100.0,337,0
County Executive,"137,450,000","123,892,900","13,557,100",90.1,337,0
"General Administration, Planning and Support Services","137,450,000","123,892,900","13,557,100",90.1,337,0
,-,-,-,-,337,0
County Executive Administration,-,-,-,-,337,0
,-,-,-,-,337,0
"General Administration, Planning and Support Services",-,-,-,-,337,0
County Public Service Management,-,-,-,-,337,0
"General Administration, Planning and Support Services",-,-,-,-,337,0
Internal Audit,-,-,-,-,337,0
,-,-,-,-,337,0
Finance & Economic Planning,"20,623,554","17,468,887","3,154,667",84.7,337,0
Economic Policy and County Planning,"20,623,554","17,468,887","3,154,667",84.7,337,0
Public Finance Management,-,-,-,-,337,0
Procurement,"84,999,720","55,021,302","29,978,418",64.7,337,0
Public Finance Management,"84,999,720","55,021,302","29,978,418",64.7,337,0
Revenue Management Services,"208,715,451","162,045,782","46,669,669",77.6,337,0
Public Finance Management,"208,715,451","162,045,782","46,669,669",77.6,337,0
County Treasury,"550,098,744","342,207,461","207,891,283",62.2,337,0
Economic Policy and County Planning,"550,098,744","342,207,461","207,891,283",62.2,337,0
Public Finance Management,-,-,-,-,337,0
Accounting Services,"22,239,191","1,609,115","20,630,076",7.2,337,0
Public Finance Management,"22,239,191","1,609,115","20,630,076",7.2,337,0
"Budget Formulation, Coordination and Management","46,143,544","3,668,034","42,475,510",7.9,338,0
Public Finance Management,"46,143,544","3,668,034","42,475,510",7.9,338,0
Internal Audit,"47,501,395","1,204,000","46,297,395",2.5,338,0
Public Finance Management,"47,501,395","1,204,000","46,297,395",2.5,338,0
,"44,178,615","3,041,830","41,136,785",6.9,338,0
ICT Services,"44,178,615","3,041,830","41,136,785",6.9,338,0
Public Works And Infrastructure,"729,313,235","338,263,217","391,050,018",46.4,338,0
Roads Transport and Public Works,"729,313,235","338,263,217","391,050,018",46.4,338,0
ICT Services,-,-,-,-,338,0
Urban Mobility and Transport,-,-,-,-,338,0
Roads And Transport,"84,556,370","74,406,496","10,149,874",88.0,338,0
ICT Services,-,-,-,-,338,0
Roads Transport and Public Works,"84,556,370","74,406,496","10,149,874",88.0,338,0
,"483,781,527","32,000,000","451,781,527",6.6,338,0
Roads Transport and Public Works,"483,781,527","32,000,000","451,781,527",6.6,338,0
Education,"1,328,713,661","879,350,000","449,363,661",66.2,338,0
"Manpower Development, Employment and Productivity Man-
agement","1,328,713,661","879,350,000","449,363,661",66.2,338,0
Social Development and Children Services,-,-,-,-,338,0
General Administration and policy formulation,-,-,-,-,338,0
Gender and Youth Affairs,"78,858,815","64,402,148","14,456,667",81.7,338,0
Social Development and Children Services,"78,858,815","64,402,148","14,456,667",81.7,338,0
Vocational Education and Training,"85,864,723","923,200","84,941,523",1.1,338,0
Social Development and Children Services,"85,864,723","923,200","84,941,523",1.1,338,0
Sports,-,-,-,-,338,0
Social Development and Children Services,-,-,-,-,338,0
