Name of the Programme,Sub-Programme,"Approved Budget
(Kshs.)","Actual Expenditure
(Kshs.)",Variance (Kshs.),"Absorp-
tion (%)",page_number,table_index
Sub Total,,"770,986,575","189,198,293","581,788,282",24.5,91,0
HEALTH,,,,,,91,0
P1: Curative Health Services,SP1.1: Primary Health Care,"1,149,888,198","824,813,937","325,074,261",71.7,91,0
"P2: Preventive and Promotive
Health Services","SP2.1: Health Promotion &
Disease Control","473,285,649","339,487,439","133,798,210",71.7,91,0
"P3: General Administra-
tion Planning and Support
Services","SP3.1: General Administra-
tion services","373,454,244","267,878,448","105,575,797",71.7,91,0
Sub Total,,"1,996,628,091","1,432,179,823","564,448,268",71.7,91,0
EMBU LEVEL 5 HOSPITAL,,,,,,91,0
P1: Curative Health Services,SP1.1: Primary Health Care,"167,360,411","94,727,422","72,632,989",56.6,91,0
"P2: Preventive and Promotive
Health Services","SP2.1: Health Promotion &
Disease Control","46,894,578","26,542,732","20,351,846",56.6,91,0
"P3: General Administra-
tion Planning and Support
Services","SP3.1: General Administra-
tion services","34,458,885","19,504,023","14,954,862",56.6,91,0
Sub Total,,"248,713,874","140,774,177","107,939,697",56.6,91,0
"INFRASTRUCTURE, PUBLIC WORKS AND HOUS-
ING.",,,,,,91,0
"P1: General Administra-
tion Planning and Support
Services","SP1.1: General Administra-
tion Services","133,927,706","42,742,026","91,185,681",31.9,91,0
P2: Roads Transport,"SP2.1: Road Infrastructure
and Public Works","1,004,457,797","320,565,193","683,892,604",31.9,91,0
P3: Energy and housing,SP3.1: Energy and Housing,"200,891,559","64,113,039","136,778,521",31.9,91,0
Sub Total,,"1,339,277,063","427,420,257","911,856,806",31.9,91,0
"EDUCATION, SCIENCE AND TECHNOLOGY",,,,,,91,0
"P1: General Administra-
tion, Planning and Support
Services","SP1.1:General Administra-
tion and Support Services","212,558,633","109,405,966","103,152,667",51.5,91,0
"P2:Quality Assurance and
Standards","SP2.1: Quality Assurance
and standards","106,279,316","54,702,983","51,576,334",51.5,91,0
"P3: ECDE and Tertiary Edu-
cation (Polytechnics)","SP3.1: ECDE and Tertiary
Education (Polytechnics)","212,558,633","109,405,966","103,152,667",51.5,91,0
Sub Total,,"531,396,582","273,514,914","257,881,668",51.5,91,0
"LANDS,PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,91,0
"P1: Physical Planning and
Urban Development","SP1.1: Physical Planning
Services","11,499,570","3,298,547","8,201,023",28.7,91,0
,"SP1.2: Establishment and
Promotion of Land Policy","16,099,397","4,617,966","11,481,431",28.7,91,0
,"SP1.3: Environmental con-
servation","11,499,570","3,298,547","8,201,023",28.7,91,0
"P2: General Administra-
tion, Planning and Support
Services","SP2.1 General Administra-
tion and Support Services","22,999,139","6,597,094","16,402,045",28.7,91,0
"P3: Water Supply and sewer-
age Services","SP3.1: Domestic water sup-
ply","103,496,128","29,686,925","73,809,203",28.7,91,0
P4:Irrigation and civil works,"SP4.1: Irrigation and civil
works","64,397,591","18,471,864","45,925,727",28.7,91,0
"EMBU MUNICIPAL
BOARD",,,,,,91,0
