Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"3011 The Execu
tive","- Governor's Affairs & Advisory
Services","116,594,492","25,292,825","91,301,667",21.7,288,1
,"Deputy Governor's Affairs & Ex-
ternal Relations","51,274,828","8,340,654","42,934,174",16.3,288,1
,"Cabinet Affairs, Policy Research
and Legal Services","57,875,327","58,906,845","-1,031,518",101.8,288,1
,MV 2035 & E-Government,"37,000,000","982,759","36,017,241",2.7,288,1
,Strategic Delivery Unit,"17,716,961","3,934,706","13,782,255",22.2,288,1
"3013 County Pub
lic Service Board","-
Administration Unit","87,901,639","49,531,471","38,370,168",56.3,288,1
"3014 Finance and
Economic Plan
ning",- Administration Unit,"1,860,879,147","962,685,388","898,193,759",51.7,288,1
,Accounting Unit,"52,650,000","48,686,150","3,963,850",92.5,289,0
,Planning and Monitoring Unit,"58,010,653","29,601,896","28,408,757",51.0,289,0
"3015 Energy,
Environment &
Waste Manage-
ment","Administration, Planning and
Support Services","533,352,194","371,836,892","161,515,302",69.7,289,0
,Waste Management,"93,327,252","28,353,499","64,973,753",30.4,289,0
,"Environmental Compliance and
Monitoring","126,960,000","5,505,500","121,454,500",4.3,289,0
,Climate Change,"55,239,000","1,147,000","54,092,000",2.1,289,0
,Energy,"75,239,000",0,"75,239,000",0.0,289,0
"3016 Education,
Information Tech-
nology & MV 2035","General Administration, Plan-
ning and Support Services","234,218,416","187,367,420","46,850,996",80.0,289,0
,Education headquarters,"59,211,170",0,"59,211,170",0.0,289,0
,Childcare,"8,500,000",0,"8,500,000",0.0,289,0
,Elimu Fund,"161,890,000",0,"161,890,000",0.0,289,0
,"Information Technology Head-
quarters","48,659,356",0,"48,659,356",0.0,289,0
"3017 Health Ser-
vices",Administration Unit,"2,900,061,316","2,836,067,642","63,993,674",97.8,289,0
,"Curative/Clinical Health Ser-
vices","58,249,239",,"58,249,239",0.0,289,0
,"Preventive and Promotive Ser-
vices Unit","222,031,161","127,098,217","94,932,944",57.2,289,0
,Special Programs,"48,123,140",,"48,123,140",0.0,289,0
"3018 Water, San-
itation & Natural
Resources",Administration unit,"852,059,919","23,123,594","828,936,325",2.7,289,0
,"Sanitation/Sewerage Services
Headquarters","37,750,000",,"37,750,000",0.0,289,0
,Water Supply Headquarters,"30,450,000",,"30,450,000",0.0,289,0
,Natural Resources,"50,230,000",,"50,230,000",0.0,289,0
"3019 Youth, Gen-
der, Sports and
Cultural Affairs",Administration Unit,"322,701,716","222,127,699","100,574,017",68.8,289,0
,Youth Empowerment,"95,480,000","11,581,644","83,898,356",12.1,289,0
,"Gender Affairs and Disability
Mainstreaming","35,000,000","12,036,590","22,963,410",34.4,289,0
,Sports development,0,,0,0.0,289,0
,Cultural Affairs,"110,000,000","16,782,170","93,217,830",15.3,289,0
,"Public Recreation and Entertain-
ment","30,900,000","11,076,574","19,823,426",35.8,289,0
"3020 Trade, Tour-
ism & Investment",Administration Unit,"321,970,982","232,226,878","89,744,104",72.1,289,0
,Trade Development,"100,787,810","16,606,615","84,181,195",16.5,289,0
,Development of Tourism,"10,159,449","3,452,056","6,707,393",34.0,289,0
,"Investment Promotion and
Products Headquarters","33,080,000","18,190,759","14,889,241",55.0,289,0
,"Development of County Indus-
trial Parks","12,000,000","11,108,103","891,897",92.6,289,0
,"Ease of Doing Business-Head-
quarters","23,105,082",0,"23,105,082",0.0,289,0
