Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
"Sub-programme
10","Co-operative Audit Support
Services","3,916,000","272,440","3,643,560",7.0,237,0
TOTAL,,"919,883,182","279,517,234","640,365,948",30.4,237,0
FINANCE AND ECONOMIC PLANNING,,,,,,237,0
"Sub-programme
1",Revenue Management,"63,169,417","15,717,056","47,452,361",24.9,237,0
"Sub-programme
2","Budget formulation, Coordi-
nation and Implementation
Section","77,961,479","13,144,800","64,816,679",16.9,237,0
"Sub-programme
3","Supply Chain Management
Section","9,387,354","2,094,398","7,292,956",22.3,237,0
"Sub-programme
4",Accounts Services,"214,415,542","8,143,278","206,272,264",3.8,237,0
"Sub-programme
5",Audit Section,"14,187,779","4,720,350","9,467,429",33.3,237,0
"Sub-programme
6","Human Resource Manage-
ment and Support Services","399,893,211","319,373,208","80,520,003",79.9,237,0
"Sub-programme
7","Economic Planning and Sta-
tistical Services","22,525,974","4,833,538","17,692,436",21.5,237,0
"Sub-programme
8","External Resource Mobiliza-
tion","950,000","34,224","915,776",3.6,237,0
TOTAL,,"802,490,756","368,060,852","434,429,904",45.9,237,0
"PUBLIC SERVICE, QUALITY MANAGEMENT AND ICT",,,,,,237,0
"Sub-programme
1","General Administration and
support services","691,335,292","224,637,851","466,697,441",32.5,237,0
"Sub-programme
2",Quality Management,"235,000","159,960","75,040",68.1,237,0
"Sub-programme
3","Training, Research and Devel-
opment","72,980,121","1,081,040","71,899,081",1.5,237,0
"Sub-programme
4","ICT General Administration
and support services","6,855,000","398,620","6,456,380",5.8,237,0
"Sub-programme
5",ICT Infrastructure,"4,747,000",-,"4,747,000",-,237,0
"Sub-programme
6",Closed Circuit Television,"8,629,343",-,"8,629,343",-,237,0
TOTAL,,"784,781,756","226,277,471","558,504,285",28.8,237,0
"TOURISM, CULTURE,YOUTH AND SPORTS",,,,,,237,0
"Sub-programme
1","General administrative and
Support Services","95,546,573","87,454,711","8,091,862",91.5,238,0
"Sub-programme
2",Heritage & Culture,"1,740,919","36,400","1,704,519",2.1,238,0
"Sub-programme
3",Liquor Management,"807,867",-,"807,867",-,238,0
"Sub-programme
4","Tourism Development and
Marketing","8,157,888",-,"8,157,888",-,238,0
"Sub-programme
5","Management of Recreational
Services","2,158,750",-,"2,158,750",-,238,0
"Sub-programme
6",Machawood,"3,196,115","231,000","2,965,115",7.2,238,0
"Sub-programme
7",County Image Directorate,"3,166,000","39,199","3,126,801",1.2,238,0
"Sub-programme
8",Youth Development,"2,495,799","635,240","1,860,559",25.5,238,0
"Sub-programme
9",Stadium Management,"73,307,031","22,004,033","51,302,998",30.0,238,0
"Sub-programme
10",Youth Empowerment,"6,864,765","170,000","6,694,765",2.5,238,0
"Sub-programme
11",Sports Promotion,"7,920,000","2,865,014","5,054,986",36.2,238,0
TOTAL,,"205,361,707","113,435,597","91,926,110",55.2,238,0
"TRADE, INDUSTRIALIZATION AND INNOVATION",,,,,,238,0
"Sub-programme
1","Headquarter Administration
Services","73,672,498","10,341,617","63,330,881",14.0,238,0
"Sub-programme
2",Trade Development,"227,543,727","172,436,255","55,107,472",75.8,238,0
"Sub-programme
3","Business and Enterprise De-
velopment","13,070,150","2,397,954","10,672,196",18.3,238,0
"Sub-programme
4","Industrialization and Innova-
tion","35,362,745","12,683,795","22,678,950",35.9,238,0
"Sub-programme
5","Investment Facilitation and
Support","3,098,000","80,000","3,018,000",2.6,238,0
"Sub-programme
6",Hygiene and Sanitation,"4,785,000","1,038,276","3,746,724",21.7,238,0
"Sub-programme
7",Legal Services,"45,007,076","16,130,810","28,876,266",35.8,238,0
TOTAL,,"402,539,196","215,108,707","187,430,489",53.4,238,0
"EDUCATION, YOUTH AND SOCIAL WELFARE",,,,,,238,0
"Sub-programme
1","Headquarter Administrative
services","562,327,309","237,362,540","324,964,769",42.2,238,0
"Sub-programme
2",Gender and Social Services,"18,819,436","5,488,218","13,331,218",29.2,238,0
TOTAL,,"581,146,745","242,850,758","338,295,987",41.8,238,0
"ENERGY, LANDS, HOUSING AND URBAN DEVELOPMENT",,,,,,238,0
"Sub-programme
1","Headquarter Administrative
services","71,807,195","2,414,240","69,392,955",3.4,238,0
"Sub-programme
2",County Electrification,"91,883,648","30,956,915","60,926,733",33.7,238,0
"Sub-programme
3","Housing and Urban Develop-
ment","716,500,000","592,275","715,907,725",0.1,238,0
"Sub-programme
4",Machakos Municipality,"8,000,000","813,000","7,187,000",10.2,238,0
"Sub-programme
5",Mavoko Municipality,"8,000,000","6,981,380","1,018,620",87.3,238,0
