Programme,Sub- Programme,"Approved revised
Budget (Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
County Assembly,Office of the speaker,"6,355,200","1,131,500","5,223,700",17.80,182,0
,"Representation, legislative
and oversight services","232,407,914","139,644,036","92,763,878",60.10,182,0
,"County assembly service
board","862,822,468","500,596,879","362,225,589",58.00,182,0
,Sub total,"1,101,585,582","641,372,415","460,213,167",58.20,182,0
County Executive,"Administration, planning
and support services","376,287,952","205,303,098","170,984,854",54.60,182,0
,"Office of the county secre-
tary","21,890,000","10,000,379","11,889,621",45.70,182,0
,Legal services,"7,320,000","3,980,622","3,339,378",54.40,182,0
,communication services,"24,570,000","14,515,207","10,054,793",59.10,182,0
,Special programmes,"7,950,000","5,314,805","2,635,195",66.90,182,0
,public private partnership,"6,900,000","2,583,110","4,316,890",37.40,182,0
,Advisory services,"6,750,000","2,576,812","4,173,188",38.20,182,0
,Chief of staff,"4,700,000","2,888,400","1,811,600",61.50,182,0
,County public service Board,"39,970,000","17,217,869","22,752,131",43.10,182,0
,Sub total,"496,337,952","264,380,302","231,957,650",53.30,182,0
"Administration, co-
operate services and
Stakeholder manage-
ment","Administration, planning
and support services","472,385,448","298,680,357","173,705,091",63.20,182,0
,Devolved units services,"62,843,694","9,924,302","52,919,392",15.80,182,0
,"Human Resource develop-
ment","10,050,000","1,877,500","8,172,500",18.70,182,0
,Enforcement services,"8,800,000","3,647,700","5,152,300",41.50,182,0
,Stakeholder management,"50,309,602","4,691,000","45,618,602",9.30,182,0
,"Public participation and civ-
ic Education","6,300,000","2,812,000","3,488,000",44.60,182,0
,Disaster management,"12,626,255","5,303,922","7,322,333",42.00,182,0
,Fleet Management,"7,000,000","3,790,648","3,209,352",54.20,182,0
,Sub total,"630,314,999","330,727,429","299,587,570",52.50,182,0
"Finance & Economic
planning","Administration, coordina-
tion and support services","1,051,044,503","635,827,176","415,217,327",60.50,182,0
,"Public financial manage-
ment services","79,825,000","37,339,519","42,485,481",46.80,182,0
,County planning services,"252,835,594","108,349,800","144,485,794",42.90,182,0
,Sub total,"1,383,705,097","781,516,495","602,188,602",56.50,182,0
"Agriculture, Live-
stock, Veterinary &
Fisheries","Administrative and support
services","475,889,510","106,995,390","106,995,390",22.50,183,0
,"Crop development and value
addition","395,303,675","287,203,315","287,203,315",72.70,183,0
,Livestock development,"60,590,000","40,826,750","40,826,750",67.40,183,0
,veterinary services,"276,888,980","259,176,114","259,176,114",93.60,183,0
,"Co-operative development
and management","3,100,000","1,412,900","1,412,900",45.60,183,0
,Fisheries development,"51,751,910","21,401,935","21,401,935",41.40,183,0
,"Kisii agricultural training
center","27,184,180","4,474,718","4,474,718",16.50,183,0
,Sub total,"1,290,708,255","721,491,122","721,491,122",55.90,183,0
"Energy, Environment
And Natural Resourc-
es","Administration and plan-
ning services","58,166,331","30,378,208","27,788,123",52.20,183,0
,"Water and sanitation ser-
vices","317,222,867","123,142,995","194,079,872",38.80,183,0
,environment management,"13,500,000","2,698,000","10,802,000",20.00,183,0
,Energy services,"5,841,809","438,250","5,403,559",7.50,183,0
,Sub total,"394,731,007","156,657,453","238,073,554",39.70,183,0
"Education, Youth Af-
fairs & Social Devel-
opment","General administration and
planning services","485,517,045","312,757,137","172,759,908",64.40,183,0
,"Early childhood develop-
ment education","86,707,636","2,409,687","84,297,949",2.80,183,0
,Vocational training,"67,179,898","19,305,505","47,874,393",28.70,183,0
,Sub total,"639,404,579","334,472,329","304,932,250",52.30,183,0
"County Health Ser-
vices",Medical services,"3,920,271,432","2,230,553,870","1,689,717,562",56.90,183,0
,Public health,"45,060,000","6,278,310","38,781,690",13.90,183,0
,Sub total,"3,965,331,432","2,236,832,180","1,728,499,252",56.40,183,0
"Lands, Physical Plan-
ning and Urban De-
velopment","administration, planning
and support services","168,375,000","91,080,942","77,294,058",54.10,183,0
,Land use services,"36,799,078","18,152,251","18,646,827",49.30,183,0
,Urban development,"96,931,284","21,206,183","75,725,101",21.90,183,0
,Sub total,"302,105,362","130,439,376","171,665,986",43.20,183,0
"Roads, public works,
Transport and Hous-
ing","General administration and
planning services","104,470,000","63,489,317","40,980,683",60.80,183,0
,Roads development,"1,172,884,248","474,154,922","698,729,326",40.40,183,0
,Public works,"217,146,474","77,825,567","139,320,907",35.80,183,0
,Housing services,"15,000,000",-,"15,000,000",0.00,183,0
,Sub total,"1,509,500,722","615,469,806","894,030,916",40.80,183,0
