Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,260,1
A. County Assembly of Marsabit,,,,,,260,1
"1: General Adminis-
tration Support Ser-
vices","SP 1.1 salaries and allowances for em-
ployees and MCAs","224,678,668","121,451,721","103,226,947",46.0,260,1
,"SP 1.2 Hospitality, Catering services, do-
nations and gifts, boards, committees,
conferences and seminars","51,400,000","22,443,400","28,956,600",56.0,260,1
Total Expenditure For Programme 1,,"276,078,668","143,895,121","132,183,547",100,260,1
"Programme 2: Legisla-
ture And Oversight","SP 2.1 Domestic and foreign accommo-
dation, air travel and daily subsistence
allowance","103,257,475","61,384,184","41,873,291",41.0,260,1
,"SP 2.2 ICT, Hansard and Communica-
tion equipment","10,500,000","3,232,000","7,268,000",69.0,260,1
,SP 2.3 Mortgage & Car Loans and tax,"46,987,786",,"46,987,786",100.0,260,1
,"SP 2.4 Staff Trainings and Development
and Tuitions","34,950,000","23,637,760","11,312,240",32.0,260,1
,SP 2.5 Public Participation,-,-,-,-,260,1
Total Expenditure For Programme 2,,"195,695,261","88,253,944","107,441,317",100,260,1
"Programme 3: County
Assembly Infrastruc-
ture Improvement",SP 3.11 Equipping of library,-,-,-,-,260,1
,SP 3.12 Maintenance of motor vehicle,"9,000,000","7,558,549","1,441,451",16.0,260,1
,"SP 3.13 Purchase of furniture and gener-
al equipment","7,366,678","750,000","6,616,678",90.0,260,1
,"SP 3.14 Construction of County Assem-
bly Headquarters and modern chambers,
purchase of land for speaker's residence,
construction and equipping of ward of-
fices","110,250,000",-,"110,250,000",100.0,260,1
,SP 3.15 Improvement of ICT services,-,-,-,-,260,1
,"SP 3.16 Maintenance of plants, machin-
ery & other assets","10,016,760","303,548","9,713,212",97.0,260,1
,,A,B,C=A-B,D=B/A*100,261,0
,"SP 3.17 Electricity, water and sewerage
and other utility charges","13,428,878","6,369,500","7,059,378",53.0,261,0
,"SP 3.18 Printing, advertisement and in-
formation supplies and services","43,321,371","29,871,085","13,450,286",31.0,261,0
,"SP 3.19 Rental of approved assets and
hire of motor vehicles","13,200,000","375,000","12,825,000",97.0,261,0
,"SP 3.20 Insurance cost for group person-
nel, building, motor vehicle and medical
cover","28,937,645","23,519,306","5,418,339",19.0,261,0
,"SP 3.21 Purchase of computers, printers
and general office supplies and accesso-
ries and sanitary cleaning materials","37,500,000","23,226,860","14,273,140",38.0,261,0
,"SP 3.22 Fuel, oil, lubricants and tyres","9,000,000","4,061,543","4,938,457",55.0,261,0
,"SP 3.23 Bank service commission and
charges, legal fees, management fees and
contracted professional charges and oth-
er operating expenses","21,500,000","4,506,485","16,993,515",79.0,261,0
,SP 3.24 Ward office,"28,400,000","18,913,324","9,486,676",33.0,261,0
,"SP 3.25 Uniform, Specialized materials
and supplies","11,000,000","6,940,000","4,060,000",37.0,261,0
,"-SP 3.26 Membership fees and dues and
subscription for international organisa-
tion","5,500,000","750,000","4,750,000",86.0,261,0
,SP 3.28 Refurbishment of buildings,"4,000,000","3,996,800","3,200",-,261,0
,SP 3.29 Gratuity/pension,"33,217,735","4,471,150","28,746,585",87.0,261,0
,SP 3.30 Purchase of motor vehicle,"12,000,000",,"12,000,000",100.0,261,0
,"SP 3.31 Research, Feasibility Studies,
Project and Preparation and Design,
Projects",-,-,-,-,261,0
,Total expenditure for Programme 3,"397,639,067","135,613,150","262,025,917",,261,0
Sub -Total,,"869,412,996","367,762,215","501,650,781",,261,0
County Executive Services,,,,,,261,0
"Physical Planning and
Development",Urban Development Services,"72,900,000","47,395,911","25,504,089",65.0,261,0
,Lands and Physical Planning Services,"76,900,000","46,196,428","30,703,572",60.0,261,0
,"General administration planning and
Support Services","123,637,768","92,330,315","31,307,453",75.0,261,0
,Sub total,"273,437,768","185,922,654","87,515,114",68.0,261,0
Education,"General Administration, Planning and
Support Services","329,673,491","271,912,841","57,760,650",82.0,261,0
,Pre – Primary Education,"121,400,000","9,806,700","111,593,300",8.0,261,0
,Youth Development,"109,950,000","54,829,400","55,120,600",50.0,261,0
,Vocational Education and Training,"7,000,000","891,800","6,108,200",13.0,261,0
,Sports,"61,200,000","8,071,900","53,128,100",13.0,261,0
,Sub total,"629,223,491","345,512,641","283,710,850",55.0,261,0
Executive Services,"General Administration, Planning and
Support Services","1,085,000,000","818,966,285","266,033,715",75.0,261,0
,Management of County Affairs,-,-,-,-,261,0
,Public Sector Advisory Services,-,-,-,-,261,0
,Inter/Intra Governmental,-,-,-,-,261,0
,County Legal Services,-,-,-,-,261,0
,Sub total,"1,085,000,000","818,966,285","266,033,715",0.8,261,0
,,A,B,C=A-B,D=B/A*100,262,0
"Administration and
ICT","General administration planning and
Support Services","306,400,000","196,184,330","110,215,670",0.6,262,0
,ICT infrastructure,"3,500,000","200,000","3,300,000",0.1,262,0
,"Coordination of functions of devolved
Units",-,-,-,-,262,0
,Public Participation and Civic Education,-,-,-,-,262,0
,Sub total,"309,900,000","196,384,330","113,515,670",63.0,262,0
"Agriculture and Live-
stock Development","General Administration, Planning and
Support Services","189,029,716","81,716,872","107,312,844",43.0,262,0
,"Livestock Resources Management and
Development",-,"67,449,342","- 67,449,342",-,262,0
,Fisheries Development and Management,"56,750,000","14,879,766","41,870,234",26.0,262,0
,Crop Development and Management,"46,713,970",-,"46,713,970",,262,0
,Sub total,"292,493,686","164,045,980","128,447,706",56.0,262,0
Health Services,Curative Health Services,"180,815,000","126,703,050","54,111,950",70.0,262,0
,"General Administration, Planning and
Support Services","1,655,019,330","1,399,579,427","255,439,903",85.0,262,0
,Maternal and child health,"10,000,000","10,000,000",-,100.0,262,0
,Sub total,"1,845,834,330","1,536,282,477","309,551,853",83.0,262,0
"County Public Service
Board","General administration planning and
Support Services","95,868,570","47,783,269","48,085,301",50.0,262,0
,"Human Resource Management and De-
velopment","7,000,000",,"7,000,000",-,262,0
,Sub total,"102,868,570","47,783,269","55,085,301",46.0,262,0
"Culture and Social Ser-
vices",Youth Development,"9,000,000","7,854,100","1,145,900",,262,0
,Culture Services,"23,300,000","13,850,200","9,449,800",,262,0
,Social Services,"41,400,000","2,000,000","39,400,000",-,262,0
,"General administration, planning and
support services","82,770,872","46,721,250","36,049,622",56.0,262,0
,Sub total,"156,470,872","70,425,550","86,045,322",45.0,262,0
"Finance and Economic
Planning","General administration planning and
Support Services","2,028,019,640","1,410,644,044","617,375,596",70.0,262,0
,Public Finance Management,"19,300,000","18,611,200","688,800",,262,0
,"Economic and financial policy Formu-
lation","14,000,000","13,965,500","34,500",100.0,262,0
,Sub total,"2,061,319,640","1,443,220,744","618,098,896",0.7,262,0
"Roads, Housing and
Public Works","Road Transport Infrastructure Develop-
ment","465,300,000","72,039,508","393,260,492",0.2,262,0
,Housing Development,"42,900,758","26,042,062","16,858,696",,262,0
,"General administration planning and
Support Services","46,489,380","31,519,714","14,969,666",0.7,262,0
,Sub total,"554,690,138","129,601,284","425,088,854",0.2,262,0
"Trade, Industry & En-
terprise Development","General administration planning and
Support Services","102,850,000","76,132,113","26,717,887",0.7,262,0
,Trade and Industrial Development,-,-,-,,262,0
,Enterprise Development,"2,000,000","1,700,000","300,000",0.9,262,0
,Sub total,"104,850,000","77,832,113","27,017,887",0.7,262,0
,Water Resources Management,"505,500,000","130,259,443","54,624,099",0.3,262,0
,"General administration planning and
Support Services","93,147,470","74,194,573","209,600",0.8,262,0
,"Natural Resources Conservation and
Management","61,169,560","41,389,292","475,900",0.7,262,0
