col_0,Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
Subtotal,,"168,605,247","93,542,545","75,062,701",55.5,347,0
010600,Housing improvement development,"54,187,416","922,500","53,264,916",1.7,347,0
Subtotal,,"54,187,416","922, 500","53,264,916",1.7,347,0
"Department of roads, transport and public works",,,,,,347,0
010100,"Policy planning, general administration and sup-
port services","8,500,000","8,495,000","500, 000",99.9,347,0
020100,General administration and support services,"112,861,008","75,314,926","37,546,081",66.7,347,0
Subtotal,,"121,361,008","83,809,926","37,551,081",69.1,347,0
020200,Roads development and management,"263,900,044","124,828,612","139,071,431",47.3,347,0
Subtotal,,"263,900,044","124,828,612","139,071,431",47.3,347,0
020200,Roads development and management,"450, 000","352,280","97,720",78.3,347,0
Subtotal,,"450, 000","352,280","97,720",78.3,347,0
"Department of trade, tourism, industrialisation and co – operative development",,,,,,347,0
030100,"Policy planning, general administration and sup-
port services","34,481,800","25,277,680","9,413,793",73.3,347,0
030300,Tourism development and promotion,"896, 000","686,326","209,674",79.0,347,0
,Subtotal,"35,377,800","25,964,006","9,204,119",73.4,347,0
030200,"Trade, cooperative, investment development pro-
motion","57,927,337","24,071,954","33,855,383",41.6,347,0
Subtotal,,"457,927,337","24,071,954","33,855.383",41.6,347,0
"Department of youths, sports, gender, culture social services",,,,,,347,0
070100,General administration and support services,"51,889,578","38,260,954","13,628,583",73.7,347,0
,Subtotal,"51,889,578","38,260,954","13,628,583",73.7,347,0
090200,Promotion and management of sports,"4, 725, 000",591.600,"4,133,400",12.5,347,0
Subtotal,,"4, 725, 000","591,600","4,133,400",12.5,347,0
090200,Promotion and management of sports,"54,394, 800","22,744,851","31,649,948",41.8,347,0
Subtotal,,"54,394,800","22,744,851","31,649,948",41.8,347,0
Department of County public service board,,,,,,347,0
070100,General administration and support services,"5, 394,500","2,693,600","2,687,900",49.3,347,0
100100,"Policy planning, general administration and sup-
port services","60, 731, 790","42,614,769","18,117,020",70.2,347,0
Subtotal,,"66, 113, 290","45,308,369","20,804,920",69.0,347,0
Department of public service management,,,,,,347,0
010100,"Policy planning, general administration and sup-
port services","347,035,806","278,153,148","68,882,657",80.2,347,0
