Department/Programme / Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
Governor's Office,"170,099,629","105,178,166","64,921,463",61.8%,441,0
Administration,"120,215,739","81,739,220","38,476,520",68.0%,441,0
Administration and Support Services,"120,215,739","81,739,220","38,476,520",68.0%,441,0
Inter-Governmental Committee,"10,000,000","9,472,394","527,606",94.7%,441,0
Administration and Support Services,"10,000,000","9,472,394","527,606",94.7%,441,0
Administration and Support Services,"35,383,890","9,466,603","25,917,288",26.8%,441,0
Administration and Support Services,"35,383,890","9,466,603","25,917,288",26.8%,441,0
Administration and Support Services,"4,500,000","4,499,950",50,100.0%,441,0
Administration and Support Services,"4,500,000","4,499,950",50,100.0%,441,0
,,,,,441,0
Finance and Economic Planning,"469,899,364","276,024,123","193,875,241",58.7%,441,0
Administration,"363,349,364","195,680,183","167,669,181",53.9%,441,0
Public Finance Management,"363,349,364","195,680,183","167,669,181",53.9%,441,0
Revenue Section,"58,400,000","47,686,102","10,713,898",81.7%,441,0
Public Finance Management,"58,400,000","47,686,102","10,713,898",81.7%,441,0
Accounts Section,"29,350,000","25,104,775","4,245,225",85.5%,441,0
Public Finance Management,"29,350,000","25,104,775","4,245,225",85.5%,441,0
Procurement and Supplies Section,"3,800,000","2,899,950","900,050",76.3%,441,0
Public Finance Management,"3,800,000","2,899,950","900,050",76.3%,441,0
Internal Audit Section,"15,000,000","4,653,113","10,346,887",31.0%,441,0
Public Finance Management,"15,000,000","4,653,113","10,346,887",31.0%,441,0
,,,,,441,0
Public Service Management,"979,579,744","477,374,249","502,205,495",48.7%,441,0
Administration,"874,248,773","423,074,988","451,173,785",48.4%,441,0
Administration and Support Services,"860,392,466","423,074,988","437,317,478",49.2%,441,0
Human Resource Management and Development,"2,000,000",-,"2,000,000",0.0%,441,0
County Governance Support Services,"11,856,307",-,"11,856,307",0.0%,442,0
Communication Section,"22,962,800","3,116,080","19,846,720",13.6%,442,0
Administration and Support Services,"22,962,800","3,116,080","19,846,720",13.6%,442,0
Legal Section,"69,246,731","48,683,838","20,562,893",70.3%,442,0
Administration and Support Services,"69,246,731","48,683,838","20,562,893",70.3%,442,0
Registry Section,"405,000","60,000","345,000",14.8%,442,0
Administration and Support Services,"405,000","60,000","345,000",14.8%,442,0
Human Resource Section,"12,716,440","2,439,343","10,277,097",19.2%,442,0
Administration and Support Services,"12,716,440","2,439,343","10,277,097",19.2%,442,0
,,,,,442,0
ICT and E-Government,"116,418,194","24,663,001","91,755,193",21.2%,442,0
