Department/Programme / Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
Administration- ICT and E-Government,"116,418,194","24,663,001","91,755,193",21.2%,442,0
ICT Infrastructure Development,"47,669,254","6,980,000","40,689,254",14.6%,442,0
Administrative support services,"68,748,940","17,683,001","51,065,939",25.7%,442,0
,,,,,442,0
"Roads, Transport and Infrastructure","1,662,714,760","587,226,838","1,075,487,922",35.3%,442,0
Administration,"212,267,230","134,947,987","77,319,243",63.6%,442,0
Roads Infrastructure Development,"212,267,230","134,947,987","77,319,243",63.6%,442,0
Roads Department,"1,301,971,663","425,044,340","876,927,323",32.6%,442,0
Roads Infrastructure Development,"1,301,971,663","425,044,340","876,927,323",32.6%,442,0
Public Works Department,"12,964,000","953,441","12,010,559",7.4%,442,0
Roads Infrastructure Development,"2,964,000","953,441","2,010,559",32.2%,442,0
Administration Support Services,"10,000,000",-,"10,000,000",0.0%,442,0
Transport Department,"22,750,000","7,228,345","15,521,655",31.8%,442,0
Disaster Management,"22,750,000","7,228,345","15,521,655",31.8%,442,0
,"112,761,867","19,052,725","93,709,142",16.9%,442,0
Street Lighting Services,"112,761,867","19,052,725","93,709,142",16.9%,442,0
,,,,,442,0
"Lands, Housing and Physical Planning","418,849,742","97,487,590","321,362,152",23.3%,442,0
Administration,"211,316,547","42,904,296","168,412,251",20.3%,442,0
Land Policy and Management,"211,316,547","42,904,296","168,412,251",20.3%,442,0
Physical Planning Section,"172,487,579","54,583,294","117,904,285",31.6%,442,0
Crop Development and Management,"125,365,285","48,461,000","76,904,285",38.7%,442,0
Land Policy and Management,"47,122,294","6,122,294","41,000,000",13.0%,442,0
Survey Section,"11,183,664",-,"11,183,664",0.0%,442,0
Land Policy and Management,"11,183,664",-,"11,183,664",0.0%,442,0
Housing Section,"23,861,952",-,"23,861,952",0.0%,442,0
Land Policy and Management,"23,861,952",,"23,861,952",0.0%,442,0
,,,,,442,0
"Water, Environment, Energy and Natural resourc-
es","929,538,657","298,649,567","630,889,090",32.1%,442,0
Administration,"222,886,256","131,734,173","91,152,083",59.1%,442,0
Water Supply Services,"222,886,256","131,734,173","91,152,083",59.1%,442,0
Environment Section,"66,578,500","2,716,730","63,861,770",4.1%,442,0
Rural Electrification,"7,128,500","1,965,000","5,163,500",27.6%,442,0
Environmental Management and Protection,"59,450,000","751,730","58,698,270",1.3%,442,0
Water Section,"624,073,901","164,198,664","459,875,237",26.3%,442,0
Water Supply Services,"624,073,901","164,198,664","459,875,237",26.3%,442,0
Energy Section,"16,000,000",-,"16,000,000",0.0%,442,0
Tourism Development and Marketing,"16,000,000",-,"16,000,000",0.0%,443,0
,,,,,443,0
Health Services,"2,798,020,115","1,533,165,538","1,264,854,577",54.8%,443,0
Administration,"2,559,041,110","1,414,683,492","1,144,357,618",55.3%,443,0
Curative Health Services,"438,836,534","255,868,680","182,967,855",58.3%,443,0
Health Infrastructure,"48,013,947",-,"48,013,947",0.0%,443,0
Clinical Services,"96,307,773",-,"96,307,773",0.0%,443,0
Administration and Support Services,"1,975,882,856","1,158,814,813","817,068,044",58.6%,443,0
Clinical Services,"233,979,005","116,098,246","117,880,759",49.6%,443,0
Clinical Services,"233,979,005","116,098,246","117,880,759",49.6%,443,0
Prevention and Health Promotion,"5,000,000","2,383,800","2,616,200",47.7%,443,0
Public Health Services,"5,000,000","2,383,800.00","2,616,200",47.7%,443,0
,,,,,443,0
"Agriculture, Livestock and Fisheries","816,556,892","158,454,040","658,102,852",19.4%,443,0
Administration-,"254,969,699","126,055,959","128,913,740",49.4%,443,0
Crop Development And Management,"9,600,000",-,"9,600,000",0.0%,443,0
Administration and Support Services,"245,369,699","126,055,959","119,313,740",51.4%,443,0
Livestock,"5,000,000",-,"5,000,000",0.0%,443,0
Crop Development And Management,"5,000,000",-,"5,000,000",0.0%,443,0
Agriculture,"511,684,490","31,057,049","480,627,441",6.1%,443,0
Livestock Resource Management And Development,"2,500,000","1,361,920","1,138,080",54.5%,443,0
Crop Development And Management,"509,184,490","29,695,129","479,489,361",5.8%,443,0
Chebororwa Training Center,"10,940,423","216,390","10,724,033",2.0%,443,0
Agricultural Training Services - Chebororwa,"10,940,423","216,390","10,724,033",2.0%,443,0
Agricultural Machinery Service,"33,962,280","1,124,642","32,837,638",3.3%,443,0
Agricultural Mechanization Services,"33,962,280","1,124,642","32,837,638",3.3%,443,0
,,,,,443,0
"Trade, Cooperatives, Tourism and Wildlife","319,694,974","136,387,473","183,307,501",42.7%,443,0
Administration-,"103,575,353","78,296,807","25,278,546",75.6%,443,0
Administration And Support Services,"103,575,353","78,296,807","25,278,546",75.6%,443,0
Trade Department,"216,119,621","58,090,666","158,028,955",26.9%,443,0
Trade Development and Investment,"144,721,138","50,560,192","94,160,946",34.9%,443,0
Market Services,"71,398,483","7,530,474","63,868,009",10.5%,443,0
,,,,,443,0
"Education, Social Cultural, Youth and Sports","700,098,622","503,713,112","196,385,510",71.9%,443,0
Administration,"282,527,039","148,040,641","134,486,398",52.4%,443,0
Administration and Support Services,"274,527,039","140,040,641","134,486,398",51.0%,443,0
Basic Education,"8,000,000","8,000,000",-,100.0%,444,0
Education Department,"367,884,868","337,404,696","30,480,172",91.7%,444,0
Basic Education,"356,884,868","337,404,696","19,480,172",94.5%,444,0
Early Childhood Education and Training,"11,000,000",-,"11,000,000",0.0%,444,0
Department of Culture,"44,186,715","15,472,680","28,714,035",35.0%,444,0
Administration and Support Services,"32,000,000","15,472,680","16,527,320",48.4%,444,0
Community development services,"12,186,715",-,"12,186,715",0.0%,444,0
,"5,500,000","2,795,095","2,704,905",50.8%,444,0
Social Development Services,"5,500,000","2,795,095","2,704,905",50.8%,444,0
,,,,,444,0
County Public Service Board,"66,049,506","30,345,015","35,704,491",45.9%,444,0
Headquarters,"66,049,506","30,345,015","35,704,491",45.9%,444,0
Administration and Support Services,"66,049,506","30,345,015","35,704,491",45.9%,444,0
,,,,,444,0
County Assembly,"1,026,425,298","670,179,827","356,245,471",65.3%,444,0
Headquarters,"1,026,425,298","670,179,827","356,245,471",65.3%,444,0
County Planning and Economic Policy Management,"1,026,425,298","670,179,827","356,245,471",65.3%,444,0
,,,,,444,0
Budget and Economic Planning,"195,549,887","107,250,506","88,299,381",54.8%,444,0
,"110,563,087","51,362,206","59,200,881",46.5%,444,0
County Planning and Economic Policy Management,"110,563,087","51,362,206","59,200,881",46.5%,444,0
,"12,288,145","10,406,000","1,882,145",84.7%,444,0
County Planning and Economic Policy Management,"12,288,145","10,406,000","1,882,145",84.7%,444,0
,"40,548,655","30,961,580","9,587,075",76.4%,444,0
County Planning and Economic Policy Management,"40,548,655","30,961,580","9,587,075",76.4%,444,0
,"32,150,000","14,520,720","17,629,280",45.2%,444,0
County Planning and Economic Policy Management,"32,150,000","14,520,720","17,629,280",45.2%,444,0
,,,,,444,0
Devolution and Public Administration,"424,936,276","95,387,882","329,548,394",22.4%,444,0
,"424,936,276","95,387,882","329,548,394",22.4%,444,0
Administration Support Services,"180,836,544","76,832,218","104,004,326",42.5%,444,0
Administration and Support Services,"244,099,732","18,555,664","225,544,068",7.6%,444,0
,,,,,444,0
Youth and Sports Development,"453,364,198","247,566,848","205,797,350",54.6%,444,0
Administration,"178,053,283","88,848,068","89,205,215",49.9%,444,0
Administration and Support Services,"177,953,283","88,848,068","89,105,215",49.9%,444,0
"Management and Development of Sports and Sports
Facilities","100,000",-,"100,000",0.0%,444,0
,"146,011,263","104,306,985","41,704,279",71.4%,444,0
Administration and Support Services,"93,611,263","54,907,485","38,703,778",58.7%,444,0
Youth Training and Development,"52,400,000","49,399,500","3,000,500",94.3%,444,0
,"129,299,652","54,411,796","74,887,856",42.1%,444,0
Tourism Development and Marketing,"55,000,000","18,710,581","36,289,420",34.0%,444,0
Administration and Support Services,"45,023,638","35,243,115","9,780,523",78.3%,444,0
"Management and Development of Sports and Sports
Facilities","29,276,014","458,100","28,817,914",1.6%,444,0
,,,,,444,0
Cooperatives And Enterprise Development,"174,015,073","34,041,194","139,973,879",19.6%,444,0
Administration,"54,115,073","19,904,014","34,211,059",36.8%,444,0
Weights and Measurements,"49,535,077","19,904,014","29,631,063",40.2%,444,0
Cooperatives Development and Marketing,"4,579,996",-,"4,579,996",0.0%,444,0
,"119,900,000","14,137,180","105,762,820",11.8%,444,0
Weights and Measurements,"119,900,000","14,137,180","105,762,820",11.8%,444,0
,,,,,444,0
