Programme,Sub-Programme (SP),Approved Estimates,col_3,"Actual Expenditure as of
30th June 2023",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"P16 Crop Develop-
ment & Manage-
ment","SP 3.1 Promotion of
Agro-Processing and
Value Addition Tech-
nologies",-,"60,880,117","195,000","60,379,987",-,99.2,330,0
,"SP 3.2 Irrigated Farm-
ing",-,"10,000,000",-,"7,851,075",-,78.5,330,0
"P16 Crop De-
velopment and
Management",SUM,-,"70,880,117.00",-,"68,231,061.70",-,96.3,330,0
"P6 Administra-
tion, Planning and
Monitoring and
Evaluation","SP6.1 Directorate of
Agriculture andExten-
sion Services","94,392,844","18,000,000","90,721,229","14,937,346",96.1,83.0,330,0
"P8 Co-manage-
ment","SP 8.1: Cooperative
Development - ASD-
SPII Grant","543,280","51,581,716","425,600","38,395,118",78.3,74.4,330,0
"Value Addition
and Marketing","SP5.1 Provision of Re-
lief seeds to vulnerable
farmers",,"30,000,000",,"29,999,526.85",-,100.0,330,0
"Agriculture and
Irrigation and
Co-operative
Development",Sub Total,"98,145,636","187,021,579","93,411,155","166,558,348",95.2,89.1,330,0
Department Land and Physical Planning,,,,,,,,330,0
"Programme 1:
Administration,
planning and sup-
port services",SP 1.1: Headquarters,"27,721,092",-,"24,458,314",-,88.2,-,330,0
"P2: Land Manage-
ment","SP 2.1: Consultancy
services for Planning
and Surveying",-,"56,109,907",-,"26,303,279",-,46.9,330,0
,"SP 2.2: Land Adjudica-
tion and Regularisation",-,"10,000,000",-,"3,955,962",-,39.6,330,0
,"SP 2.3: Planning and
Surveying",-,"10,500,000",-,"3,915,992",-,37.3,330,0
,"SP 2.4: RTK Machine
and Handheld GPS
gadgets",-,"3,200,000",-,"3,086,500",-,96.5,330,0
,SP 2.5: Spatial planning,-,"14,300,000",-,,-,-,330,0
,SUM,-,"94,109,907",-,"37,261,733",-,39.6,330,0
"Land and Physical
Planning",Sub Total,"27,721,092","94,109,907","24,458,314","37,261,733",88.2,39.6,330,0
Department of Education and Vocation Training,,,,,,,,330,0
,,Rec,Dev,Rec,Dev,Rec,Dev,331,0
"0501003210
Programme 1:
Administration,
planning and sup-
port services",SP 1.1: Headquarters,"143,218,320",-,"141,646,615",-,98.9,-,331,0
"0502003210 Pro-
gramme 2: Educa-
tion and Training
Programme","SP 2.1: Promotion
of Early Childhood
Education","120,260,000","51,472,760","119,997,978","14,936,061",99.8,29.0,331,0
,"SP 2.2: Village Poly-
technics",,"45,000,000",,"36,000,000",-,80.0,331,0
,SUM,"120,260,000","96,472,760","119,997,978","50,936,061",99.8,52.8,331,0
