Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 30th
June 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",85,0
"Department of Agriculture, Livestock, Fisheries, Climate Change, blue economy and Agribusiness",,,,,,,,85,0
"CP 1: General
Administration and
support services","CSP 1.1:
Administrative
support service",-,-,-,-,98.5,-,85,0
"CP 2: Land Use
and management","CSP 2.1: Agri-
cultural Mecha-
nization",-,"14,582,112",-,-,-,-,85,0
"CP 3: Crop
Production and
management","CSP 3.1 Input
support services",-,"4,397,440",-,-,-,-,85,0
,"CSP 3.2: Crop
development",-,"10,400,000",-,"4,292,868",-,41.3,85,0
,"CSP 3.3: Crop
protection",-,"7,198,880",-,"1,150,000",-,16.0,85,0
,"CSP 4.2: Agri-
cultural Train-
ing Services",-,"74,309,217",-,"37,119,731",-,50.0,85,0
"CP 5: Kenya
Climate SMART
Agriculture
program","CSP 5.1: Kenya
Climate SMART",-,"654,710,461",-,"283,798,546",-,43.3,85,0
"CP 6: Agribusiness
and Agricultural
Value Chain
Development","CSP 6.1: Value
addition",-,"73,000,000",-,-,-,-,85,0
"CP 7: Agricultural
Financial and
Investment services","CSP 7.1: Agri-
culture develop-
ment fund",-,"5,000,000",-,"5,000,000",-,100.0,85,0
"CP 8: Fisheries
andAquaculture
Resource
Development","CSP 8.1:
Aquaculture
development",-,"17,241,598",-,"6,326,843",-,36.7,85,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expendi-
ture","Devel-
opment
Expendi-
ture",86,0
,"CSP 8.2: Fish-
eries training
infrastructure
development",-,"20,999,935",-,"9,496,230",-,45.2,86,0
"CP 9: Livestock
Production
Development","CSP 9.1: Live-
stock Produc-
tion Improve-
ment",-,"5,058,555",-,"2,500,000",-,49.4,86,0
"CP 10: Veterinary
health services","CSP 10.1:
Veterinary
Disease Control",-,"25,971,303",-,"22,864,369",-,88.0,86,0
,"CSP 10.2: AI
services",-,"3,823,600",-,"1,414,886",-,37.0,86,0
,"CSP 10.3: Meat
Inspection
Services",-,"8,799,886",-,0.00,-,-,86,0
,"CSP 10.4: Veter-
inary Extension",-,"2,000,000",-,"1,506,300",-,75.3,86,0
