Department,Programme,Sub-Programme,"Approved
Estimates","Actual
Expenditure as of
30th June 2023","Absorption
Rate (%)",page_number,table_index
Governor's Office,"General
administration
support services","Employee Support
Services","193,995,119","190,049,367",98.0,702,1
,,,,,,702,1
Finance,Financial Services,Financial Services,"368,331,698","360,333,052",97.8,702,1
,,,,,,703,0
"Public Service
Management","General
administration
support services","Administrative
support services","759,498,091","755,636,251",99.5,703,0
,"Records management
services",Registry Services,"455,000","150,600",33.1,703,0
,,Library Services,"63,959,031","42,069,661",65.8,703,0
,,,,,,703,0
"ICT, E-Government
andInnovation",ICT services,ICT Services,"153,788,125","103,964,523",67.6,703,0
,,,,,,703,0
"Roads, Transport
and Public Works","General
administration
support services","Administrative
support services","700,377,950","568,346,430",81.1,703,0
,"Road &Transport
Infrastructure
Development","Roads Infrastructure
Services","727,795,569","583,023,365",80.1,703,0
,Energy Services,Lighting services,"15,515,975","3,987,001",25.7,703,0
,Public Works Services,"Public Works
Services","12,283,519","11,888,214",96.8,703,0
,"Fire & Emergency
Services","Fire andEmergency
Services","28,154,662","26,757,000",95.0,703,0
,,,,,,703,0
Lands andHousing,"Land Management
and Administration","Administrative
support services","31,298,861","27,459,481",87.7,703,0
,,,,,,703,0
"Water, Environment,
Natural Resources,
Tourism andWildlife
Management","Water & Sanitation
Development","Water Development
Services","218,419,040","176,802,537",80.9,703,0
,,,,,,703,0
Clinical Services,"Curative
andRehabilitative
Services","County Referral
Health Services","2,355,279,034","2,176,773,292",92.4,703,0
,,"Health transport
services","239,343,021","231,370,851",96.7,703,0
,,,,,,703,0
"Agriculture
andAgribusiness","Crop Development
and Management","Post-Harvest
Management
Services","244,284,918","239,428,830",98.0,704,0
,,"Crop Pest
andDisease
Control Services",-,-,0.0,704,0
,,Crop Diversification,"13,989,525","13,387,925",95.7,704,0
,,"Climate Smart
Agriculture
(World Bank)","232,594,340","227,553,335",97.8,704,0
,"Agricultural
training services",ATC Services,"16,724,064","13,564,817",81.1,704,0
,,,,,,704,0
"Trade, Industry,
Investment and
Tourism","Trade Development
andPromotion","Market
Infrastructure
Development
Services","189,252,390","181,266,122",95.8,704,0
,"Industrial
development,
investments
andInternational Trade",LandBanking,"113,412,040","57,505,515",50.7,704,0
,,,,,,704,0
"Education
andVocational
Training",ECD Education,"Administrative
Support Services","681,526,208","619,394,083",90.9,704,0
,"Social Development
Services","Community
Development
Services","20,850,000","19,500,000",93.5,704,0
,"Development &
Promotion of Culture",Cultural Services,"127,927,062","127,927,062",100.0,704,0
,"Education bursaries
andscholarship
services","Bursary &
Scholarship","141,500,000","141,500,000",100.0,704,0
,,,,,,704,0
"County Public
Service Board","General
administration,
planning andsupport
services","Administrative
Support Services","73,364,719","72,140,544",98.3,704,0
,,,,,,704,0
County Assembly,"General
administration,
planning andsupport
services","Administrative
Support Services","1,214,536,574","941,994,160",77.6,705,0
,,,,,,705,0
Economic Planning,"Economic Planning
Services",Planning Services,"73,028,872","72,292,283",99.0,705,0
,,M&E Services,"29,929,680","29,215,896",97.6,705,0
,,Statistical Services,"46,556,277","41,747,016",89.7,705,0
,,,,,,705,0
"Devolution and Public
Administration","General
administration
support services","Employee support
services","376,729,388","333,788,790",88.6,705,0
,,"Field Administrative
Services","10,000,000","7,835,732",78.4,705,0
,,,,,,705,0
"Youth andSports
Development","Youth Training
andEmpowerment","Administrative
Support Services","4,447,250","1,089,160",24.5,705,0
,,"Youth Support
Services","87,141,038","69,134,708",79.3,705,0
,Sports Development,Sports Development,"169,620,748","169,269,118",99.8,705,0
,,,,,,705,0
"Co-operatives
andEnterprise
Development","General
Administrative
Support Services","Administrative
support services","40,000,000","40,000,000",100.0,705,0
,"Co-operative
Development Services","Co-operative
Development
and Management
Services","83,854,855","81,531,597",97.2,705,0
,,,,,,705,0
"Livestock Development
andFisheries",Veterinary Services,Animal Breeding,"107,920,564","104,086,587",96.4,705,0
,Livestock Production,"Livestock
Production Services","97,247,180","93,505,101",96.2,705,0
,Fisheries Production,"Fisheries Production
Services","3,700,000","3,699,800",100.0,705,0
,,,,,,705,0
"Physical Planning and
Urban Development","Physical Planning
Services","Physical Planning
Services","19,639,895","19,072,351",97.1,705,0
,,,,,,705,0
Eldoret Municipality,"General
administration
support services","Administration
support services","430,500,308","405,853,187",94.3,705,0
,,,,,,705,0
"Promotive
andPreventive Heath","General
administration
support services","General
administration
support services","28,566,000","25,733,292",90.1,706,0
,,,,,,706,0
"Energy, Environment,
Climate Change and
Natural Resources","General
administration
support services","General
administration
support services","96,711,480","64,915,372",67.1,706,0
,"Environment and
Natural Resources","Environment and
Natural Resources",,,,706,0
,"Climate Change
Mitigation","Climate Change
Mitigation",,,,706,0
,,,,,,706,0
"Partnership, Liason
andLinkages","General
administration
support services","General
administration
support services","15,800,000","14,785,510",93.6,706,0
,,,,,,706,0
"Gender, Protection
and Culture","General
administration
support services","General
administration
support services","100,563,350","81,555,962",81.1,706,0
,,,,,,706,0
"Housing and Urban
Development","General
administration
support services","General
administration
support services","213,306,059","169,750,006",79.6,706,0
,Urban Development,Urban Development,"124,834,460","85,898,844",68.8,706,0
,,,,,,706,0
"Lands andPhysical
Planning","General
administration
support services","General
administration
support services","193,223,588","161,325,545",83.5,706,0
,Survey Section,Survey Section,"43,000,000",-,0.0,706,0
,,,,,,706,0
"Water, Irrigation
andSanitation","General
administration
support services","General
administration
support services","349,890,305","305,039,308",87.2,706,0
,Water Section,Water Section,"138,990,737","85,536,411",61.5,706,0
Total,,,"11,823,658,569","10,380,435,592",87.8,706,0
