Programme,Sub Programme,"Approved Estimates
(Kshs.)",col_3,"Expenditure
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
"Programme 1:
Administration,
planning and sup-
port services","SP 1.1 Administra-
tion services","162,731,279","339,893,300","82,679,419","218,913,265",50.8,64.4,472,0
,"SP 1.2 Personnel
services","542,219,961",-,"509,853,490",-,94.0,-,472,0
,"SP 1.3 financial
services","100,000",-,-,-,-,-,472,0
"Programme 2;
Public Finance
Management","SP 2.1 Budget
formulation
co-ordination And
Management","143,136,327",-,"132,859,611",-,92.8,-,472,0
,"SP 2.2Resources
mobilization","74,135,615",-,"53,263,693",-,71.8,-,472,0
,"SP 2.3 internal
audit","31,541,286","10,000,000","26,298,787",-,83.4,-,472,0
,"SP 2.4 procure-
ment","16,496,467",-,"8,986,182",-,54.5,-,472,0
,"SP 2.5 public
finance and ac-
counting","25,991,207",-,"16,237,288",-,62.5,-,472,0
,"SP 2.6 Debt man-
agement","6,740,093","430,194,476","4,894,358","372,838,076",72.6,86.7,472,0
,"SP 2.7 external
resources mobili-
sation","11,226,488",-,"7,018,453",-,62.5,-,472,0
"Programme 3: Eco-
nomic andfinancial
policy formulation
And Management","SP 3.1 Fiscal
planning","47,087,851",-,"35,268,286",-,74.9,-,472,0
,"SP 3.2 monitoring
and Evaluation /
statistical data
management","9,712,617",-,"5,586,569",-,57.5,-,472,0
,"SP 3.3 KDSP pro-
gramme","16,502,008","122,172,729","16,502,008","17,572,368",100.0,14.4,472,0
,Sub Total,"1,087,621,199","902,260,505","899,448,144","609,323,709",82.7,67.5,472,0
Department of Nakuru City Board,,,,,,,,472,0
Programme 1,"SP 1.1 Administra-
tion and Planning","21,014,897",-,"12,049,384",-,57.3,-,472,0
,"SP 1.2 personnel
services","13,392,333",-,"11,523,132",-,86.0,-,472,0
,"SP 1.3 financial
services","600,000",-,"556,700",-,92.8,-,472,0
Programme 2,"SP 2.1 Infrastruc-
ture development
and Urban",-,"92,259,202",-,"23,320,737",-,25.3,472,0
,"SP 2.2 Nakuru
City Environments
Management","1,712,512",-,"1,318,495",-,77.0,-,472,0
,"SP 2.3 Trade
markets and Invest-
ments","950,016",-,"669,794",-,70.5,-,472,0
,"SP 2.4 Nakuru City
Social Services","1,231,845",-,"891,101",-,72.3,-,472,0
,Sub Total,"38,901,603","92,259,202","27,008,607","23,320,737",69.4,25.3,472,0
"Department of Youth, Gender, Sports And Social Services",,,,,,,,472,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,473,0
"Programme 1:
Administration,
planning and sup-
port services","SP 1.1 Adminis-
tration","44,980,317","950,077,302","37,701,922",-,83.8,-,473,0
,"SP 1.2 Personnel
services","107,438,027",-,"82,127,913",-,76.4,-,473,0
,"SP 1.3 financial
services","4,115,313",-,"677,500",-,16.5,-,473,0
"Programme 2
Development of
social-cultural
diversity, economic
empowerment and
Responsible gaming","SP 2.1; Cultural
and development
activities",-,"10,000,000",-,"4,189,467",-,41.9,473,0
,"SP 2.2 promotion
of responsible
gaming","1,905,000",-,"1,905,000",-,100.0,-,473,0
,"SP 2.3; Gender de-
velopment activities",-,"14,576,719",-,-,-,-,473,0
,"SP 2.4 social devel-
opment activities",-,"12,478,750",-,-,-,-,473,0
,"SP 2.5 social-cul-
tural development",-,"12,000,000",-,"1,200,000",-,10.0,473,0
"Programme 3
Management and
development of
sports, recreation
and Sports facilities","SP 3.1 development
of sports infrastruc-
ture",-,"36,823,107",-,"28,396,435",-,77.1,473,0
,"SP 3.2 Sporting
tournament","6,377,500",-,"5,192,700",-,81.4,-,473,0
,"SP 3.3 Sports
funding","41,220,000",-,"30,543,832",-,74.1,-,473,0
"Programme 4:
Youth empower-
ment andpartici-
pation","SP 4.1 youth
empowerment
andparticipation","25,313,532",-,"13,692,882",-,54.1,-,473,0
,"SP 4.2 Youth devel-
opment",-,"5,000,000",-,-,-,-,473,0
,Sub Total,"231,349,688","185,955,878","171,841,749","44,585,902",74.3,24.0,473,0
Department of Water Environment Energy And Natural Resources,,,,,,,,473,0
"Programme 1
Administration","SP 1.1 Administra-
tion services","25,732,792","4,679,516","15,155,046",-,58.9,-,473,0
,"SP 1.2 Human
resources","255,466,421",-,"240,214,647",-,94.0,-,473,0
,"SP 1.3 Finance
services",-,-,-,-,-,-,473,0
"Programme 2 water
andsewage manage-
ment","SP 2.1 provision of
water","10,600,000","944,122,539","2,712,035","302,933,172",25.6,32.1,473,0
,SP 2.2 provision,-,-,-,-,-,-,473,0
"Programme 3
environment man-
agement","SP 3.1 Pollution
control","30,656,501","5,968,376","8,401,637","111,000",27.4,1.9,473,0
,"SP 3.2 Solid Waste
Management",-,-,-,-,-,-,473,0
,"SP 3.3 Greening
andbeautification","9,654,935","38,086,110","2,873,799",-,29.8,-,473,0
"Programme 4
County energy,
planning, regula-
tion, operation and
development","SP 4.1 County
energy planning
regulate operation
and development",-,-,-,-,-,-,473,0
,Sub Total,"332,090,649","992,856,541","269,357,162","303,044,171",81.1,30.5,473,0
office of The Governor And Deputy Governor,,,,,,,,473,0
,,Recurrent,Development,Recurrent,Development,Rec,Dev,474,0
"Programme 1 Ad-
ministration, plan-
ning and support","SP;1.1 Administra-
tion and Planning","93,739,544","281,667,114","41,919,656","195,596,425",44.7,69.4,474,0
,"SP 1.2 Personnel
services","100,523,424",-,"55,598,487",-,55.3,-,474,0
"Programme 2 man-
agement of county
affairs","SP 2.1 county exec-
utive services","17,300,000",-,"11,657,637",-,67.4,-,474,0
,"SP 2.2 Policy direc-
tion and Coordi-
nation","81,100,000",-,"70,000,000",-,86.3,-,474,0
