"Programme
Sub-Programme",col_1,Approved Estimates,col_3,Actual Expenditure as of 30th June 2023,col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",582,1
County Assembly,,,,,,,,582,1
,Legislation,"460,850,962",-,"448,569,949.95",-,94.0,-,582,1
,Oversight,"40,000,000",-,"39,432,925",-,97.2,-,582,1
,"Staff Management
andDevelopment","407,417,918","411,888,752","391,076,521.05","163,398,230",99.9,39.7,582,1
,Sub Total,"908,268,880","411,888,752","879,079,396","163,398,230",96.8,39.7,582,1
Governance and Administration,,,,,,,,582,1
,"General Ad-
ministration,
Planning and
Support Services","269,345,963","10,500,000","262,912,423","1,468,136.80",97.6,14.0,582,1
,"The Office of
the Governor","141,882,762",-,"121,900,510",-,85.9,-,582,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",583,0
,"County Public
Service Board","61,401,031",-,"60,534,364.80",-,98.6,-,583,0
,"Fire Fighting
andDisaster
Management","6,567,848",-,"3,491,226",-,53.2,-,583,0
,"Sub County
Administration","97,557,046",-,"95,547,642.25",-,97.9,-,583,0
,"Human Resource
Management","30,294,879",-,"29,055,692",-,95.9,-,583,0
,Sub Total,"607,049,529.00","10,500,000.00","573,441,857.95","1,468,136.80",94.5,14.0,583,0
Finance and Economic Planning,,,,,,,,583,0
,Financial Services,"14,678,965",-,"11,213,605.60",-,76.4,-,583,0
,"Administration,
Planning, Revenue
and accounting","823,523,661","2,000,000","688,364,517.95",-,83.6,-,583,0
,Procurement,"5,454,630",-,"4,863,757",-,89.2,-,583,0
,Budget Services,"44,535,007",-,"43,734,764",-,98.2,-,583,0
,Internal Audit,"9,839,329",-,"8,637,560",-,87.8,-,583,0
,"Economic
Planning","78,276,045",-,"67,902,470.85",-,86.7,-,583,0
,Sub Total,"976,307,637.00","2,000,000.00","824,716,675.40",-,84.5,-,583,0
"Agriculture, Food, Livestock andFisheries",,,,,,,,583,0
,Administration,"92,400,304","23,707,290","91,427,070.80","15,886,151.20",98.9,67.0,583,0
,"Veterinary
Services","21,297,256","5,063,261","21,465,263","1,780,617.40",100.8,35.2,583,0
,Crop Management,"152,500,084","251,755,301","150,717,943.55","217,135,170.20",98.8,86.2,583,0
,"Fisheries De-
velopment and
Management","18,365,662","47,199,142","17,689,450","34,542,131.70",96.3,73.2,583,0
,Sub Total,"284,563,306.00","327,724,994.00","281,299,727.35","269,344,070.50",98.9,82.2,583,0
"Water, Irrigation, Environment and Natural Resources",,,,,,,,583,0
,Administration,"39,850,652",-,"38,283,898.95",-,96.1,-,583,0
,Water Services,"26,630,000","310,767,514","25,723,665.15","268,534,375.65",96.6,86.4,583,0
,Forestry,"25,770,000",-,"2,793,902.60",-,10.8,-,583,0
,Sub Total,"92,250,652.00","310,767,514.00","66,801,466.70","268,534,375.65",72.4,86.4,583,0
