col_0,Approved Estimates,col_2,Actual Expenditure,col_4,Absorption Rate,col_6,page_number,table_index
Name of the Programme,"Recurrent Esti-
mates (Kshs.)","Development
Estimates
(Kshs.)","Recurrent
Expenditure
(Kshs.)","Development
Expenditure
(Kshs.)",Recurrent,Development,295,1
3061,,,,,,,295,1
Name of the Programme,"Recurrent Esti-
mates (Kshs.)","Development
Estimates
(Kshs.)","Recurrent
Expenditure
(Kshs.)","Development
Expenditure
(Kshs.)",Recurrent,Development,296,0
"Budget formulation, coor-
dination And Management
(0703023060)","155,177,006",,"155,152,657",,100,-,296,0
"General Administration
(0704043060)","817,088,749","48,278,490","806,962,535","16,166,800",99,33.49,296,0
"Revenue Collection Manage-
ment (0710013060)","66,674,373","12,800,000","65,541,236",-,98,-,296,0
"Public Finance and account-
ing Services (0711013060)","20,117,297",-,"19,417,277",-,97,-,296,0
"Procurement Services
(0711023060)","14,066,000",-,"13,153,059",-,94,-,296,0
"Risk Assurance Services
(0711033060)","27,921,325",-,"17,356,128",-,62,-,296,0
"Personal Services
(0704013060)","257,983,665",-,"257,983,651",-,100,-,296,0
Total,"1,359,028,415","61,078,490","1,335,566,542","16,166,800",98,26.47,296,0
3062,,,,,-,-,296,0
"General administration
and support services
{0102053060}","151,986,063","572,555,860","146,052,899","257,650,946",96,45.00,296,0
"Crop production & food
security {0107013060}","2,581,000","43,101,018","2,105,643","33,362,350",82,77.41,296,0
"Dairy andmeat production
{0108013060}","1,904,483","22,200,000","1,627,100","14,165,250",85,63.81,296,0
"Fish production manage-
ment {0109013060}","2,304,096","28,687,050","1,270,064","15,997,442",55,55.77,296,0
"Livestock disease control
{0108033060}","6,170,000","60,020,000","2,998,950","26,667,275",49,44.43,296,0
"Farmlandutilization, mech-
anization & crop storage
{0107033060}","20,708,860","12,000,000","17,848,181","5,000,000",86,41.67,296,0
"Agricultural extension,
research and Training.
{0107023060}","1,800,000","2,000,000","751,030","1,994,911",42,99.75,296,0
Total,"187,454,502","740,563,928","172,653,867","354,838,174",92,47.91,296,0
3063,,,,,-,-,296,0
"General administration
and Support services
(0102053060)","34,433,880","91,155,218","31,481,639","25,358,380",91,27.82,296,0
"Personnel Services
(0102063060)","26,941,639",-,"26,932,708",-,100,-,296,0
"Urban development support
services (102073060)","11,426,233",-,"9,179,784",-,80,-,296,0
Name of the Programme,"Recurrent Esti-
mates (Kshs.)","Development
Estimates
(Kshs.)","Recurrent
Expenditure
(Kshs.)","Development
Expenditure
(Kshs.)",Recurrent,Development,297,0
"Physical development plans
(0104013060)","5,820,000","29,500,000","5,599,525","4,489,200",96,15.22,297,0
"Establishment of squat-
ter settlement schemes
(0105013060)","4,600,000","22,300,000","4,574,150","2,047,500",99,9.18,297,0
"School greening initiative
(0106013060)","25,500,000",-,"23,980,587",-,94,-,297,0
"County Environmen-
tal Awareness Initiative
(0106023060)","1,100,000",-,"1,070,500",-,97,-,297,0
"Empowering communities in
extractive (0901023060)","100,000",-,"98,400",-,98,-,297,0
Total,"109,921,752","142,955,218","102,917,293","31,895,080",94,22.31,297,0
3064,,,,,,,297,0
"401053060 Public health
Hygiene","5,170,657",-,"2,278,331",-,44,-,297,0
"401023060 Maternal new-
born and Child health","22,171,888",-,"22,000,000",-,99,-,297,0
"402023060 Operational
Rural Health Facilities","12,405,000",-,"7,704,000",-,62,-,297,0
"402043060 Medical Health
Drugs","369,297,735",-,"366,609,600",,99,-,297,0
"403013060 General Admin-
istration","100,194,205","520,428,269","88,182,409","313,950,304",88,60.33,297,0
"403053060 Personnel Ser-
vices","1,632,418,480",-,"1,632,418,446",-,100,-,297,0
"405013060 Msambweni
Hospital","73,608,525","48,727,777","63,201,371","9,812,749",86,20.14,297,0
406013060 Kinango Hospital,"28,528,000","35,120,000","23,542,009","5,120,000",83,14.58,297,0
407013060 Kwale Hospital,"23,789,558","22,627,715","21,522,872","11,044,155",90,48.81,297,0
"408013060 Tiwi Rural
Health Facility","6,890,000",-,"4,121,079",-,60,-,297,0
"409013060 Samburu Hos-
pital","29,576,150",-,"26,659,761",-,90,-,297,0
"410013060 Lunga lunga
Hospital","17,745,000","16,629,510","15,423,653","2,207,898",87,13.28,297,0
"412013060 Rural Health
Facilities","78,377,837","134,213,102","72,782,649","118,207,351",93,88.07,297,0
"413013060 Diani Health
Centre","2,115,000",-,"1,281,893",-,61,-,297,0
Total,"2,402,288,035","777,746,373","2,347,728,073","460,342,457",98,59.19,297,0
3065,,,,-,-,-,297,0
Audit Services (0704013060),"253,729,890",-,"241,652,210",-,95,-,297,0
Name of the Programme,"Recurrent Esti-
mates (Kshs.)","Development
Estimates
(Kshs.)","Recurrent
Expenditure
(Kshs.)","Development
Expenditure
(Kshs.)",Recurrent,Development,298,0
"General Administration
and Support Services
(0704043060)","205,177,501","278,280,662","173,498,984","255,970,676",85,91.98,298,0
"Oversight and Legislation of
county affairs","416,953,019","15,000,000","381,019,410",-,91,-,298,0
"General Administration and
Support Services",-,-,-,-,-,-,298,0
Total,"875,860,410","293,280,662","796,170,604","255,970,676",91,87.28,298,0
3066,,,,,,,298,0
"Administration services
(0305023060)","14,336,778","91,159,518","6,415,748","73,416,951",45,80.54,298,0
"Trade Development andIn-
vestment (0301013060)","6,349,500","1,114,246","5,536,980","1,111,000",87,99.71,298,0
"Construction of new mar-
kets (0306023060)","2,863,069","41,760,331","2,394,211","12,630,046",84,30.24,298,0
"Weights & Measures
(0301043060)","2,372,000","1,012,951","2,003,087","1,012,784",84,99.98,298,0
"Availing Affordable credit
to entrepreneurs for wealth
creation (301023060)",-,-,-,-,-,-,298,0
"Personnel Services
(0305013060)","33,412,879",-,"32,441,130",-,97,-,298,0
"Cooperative Development
(0302023060)","3,602,000","5,087,050","2,244,303","3,021,550",62,59.40,298,0
"Industry & Enterprise Devel-
opment (0307013060)","1,068,607","23,201,327","506,290","17,707,481",47,76.32,298,0
Total,"64,004,833","163,335,423","51,541,749","108,899,812",81,66.67,298,0
3067,,,,,,,298,0
"Community Development
(0903003067)","8,700,000","35,031,911","7,216,404","21,993,544",83,62.78,298,0
"Community Development
(0903003067)","5,000,000",-,"3,783,035",-,76,-,298,0
"Community Development
(0903003067)","5,300,000",-,"3,551,157",-,67,-,298,0
,"19,000,000","35,031,911","14,550,596","21,993,544",77,62.78,298,0
"Culture andHeritage
(0904003067)","11,046,035",-,"9,189,077",-,83,-,298,0
"Culture andHeritage
(0904003067)","10,230,000",-,"7,819,308",-,76,-,298,0
,"21,276,035",-,"17,008,385",-,80,-,298,0
"Sports and Youth Develop-
ment (0905003067)","11,233,199",-,"10,107,114",-,90,-,298,0
Name of the Programme,"Recurrent Esti-
mates (Kshs.)","Development
Estimates
(Kshs.)","Recurrent
Expenditure
(Kshs.)","Development
Expenditure
(Kshs.)",Recurrent,Development,299,0
"Sports and Youth Develop-
ment (0905003067)","12,500,000",-,"10,500,544",-,84,-,299,0
"Sports and Youth Develop-
ment (0905003067)",-,"69,429,962",-,"40,866,697",-,58.86,299,0
,"23,733,199","69,429,962","20,607,659","40,866,697",87,58.86,299,0
"Administration
(0906003067)","30,395,347",-,"29,976,202",-,99,-,299,0
"Administration
(0906003067)","20,670,000","20,642,773","15,195,281","12,427,934",74,60.20,299,0
,"51,065,347","20,642,773","45,171,483","12,427,934",88,60.20,299,0
Total,"115,074,581","125,104,646","97,338,122","75,288,175",85,60.18,299,0
3068,,,,,,,299,0
"General Administration
704043060","65,036,879","38,021,795","63,110,022","12,476,421",97,32.81,299,0
Audit Services704013060,"97,721,870",-,"97,125,646",-,99,-,299,0
"Legal Advisory Ser-
vices707013060","10,450,720",-,"10,367,670",-,99,-,299,0
"Media and Communication
Services 707033060","8,708,521",-,"8,629,729",-,99,-,299,0
Total,"181,917,990","38,021,795","179,233,067","12,476,421",99,32.81,299,0
3069,,,,,,,299,0
"Personnel Services
(0502023060)","551,824,287",-,"551,143,965",-,100,-,299,0
"Scholarship andBursary
(0504013060)","420,000,000",-,"420,000,000",-,100,-,299,0
"Administration Plan-
ning support service
(0502013060)","13,437,131","291,155,238","7,351,797","199,622,316",55,68.56,299,0
"Infrastructure devel-
opment (0503023060)
AND(0501043060)",-,"354,187,143",-,"233,405,376",-,65.90,299,0
"Youth Training Development
(0503013060)","17,167,523",-,"9,085,222",-,53,-,299,0
"Early Childhood Develop-
ment (0501013060)","65,185,000",-,"46,558,844",-,71,-,299,0
Total,"1,067,613,941","645,342,381","1,034,139,828","433,027,692",97,67.10,299,0
3070,,,,,,,299,0
"Construction and Main-
tenance of water pipeline
supply systems",-,"85,136,442",-,"61,805,814",-,72.60,299,0
Name of the Programme,"Recurrent Esti-
mates (Kshs.)","Development
Estimates
(Kshs.)","Recurrent
Expenditure
(Kshs.)","Development
Expenditure
(Kshs.)",Recurrent,Development,300,0
"1001033060-Development
of Borehole water supply
system",-,"96,825,844",-,"49,797,656",-,51.43,300,0
"1001043060-Development/
Construction of surface
water supply systems",-,"224,968,611",-,"94,294,158",-,41.91,300,0
"1001063060-Community
Water Project",,"40,516,685",-,"35,873,037",-,88.54,300,0
"1002013060-Personnel
Services","37,170,794",-,"34,727,280",-,93,-,300,0
"1002023060-Administration
Services","75,139,807","692,231,596","73,397,010","618,987,693",98,89.42,300,0
Total,"112,310,601","1,139,679,178","108,124,290","860,758,358",96,75.53,300,0
3071,,,,,,,300,0
"Personnel Services
305013060","54,688,253",-,"53,487,252",-,98,-,300,0
"Administration Planning
support service 305023060","105,557,932","290,114,130","80,906,386","132,427,045",77,45.65,300,0
"Rehabilitation of Roads
Drainage & Bridges
202013060",-,"229,548,207",-,"124,970,585",-,54.44,300,0
"Installation of street Lighting
Facilities 203013060",-,"51,387,050",-,"26,443,208",-,51.46,300,0
Total,"160,246,185","571,049,387","134,393,638","283,840,838",84,49.71,300,0
3072,,,,,,,300,0
"Personnel services
{0305013060}","23,530,782","16,865,831","22,066,426",-,94,-,300,0
"Administration services
{0305023060}","22,101,748","11,516,957","21,284,656","7,315,816",96,63.52,300,0
"Local area network instal-
lation and ICT support
{0308013060}","5,796,000","23,407,265","4,673,801","10,257,010",81,43.82,300,0
"Tourism Promotion
{0304013060}","4,280,465",-,"3,635,923","3,336,395",85,-,300,0
TOTALS,"55,708,995","51,790,053","51,660,806","20,909,221",93,40.37,300,0
3073,,,,,,,300,0
"Human Resource Planning
(706013060)","52,691,541",-,"45,122,149",-,86,-,300,0
TOTAL,"52,691,541",-,"45,122,149",-,86,-,300,0
3074,,,,,,,300,0
