Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th June
2023
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,Sub Total,"2,636,998,186","413,385,028","2,577,555,161","309,279,275",98,75,727,0
"Department: Roads, Transport, Public Works
and Housing",,,,,,,,727,0
"County Roads and Transport
management","Construction of
County Roads","11,592,000","20,000,000","9,877,372",-,85%,-,727,0
,"Maintenance and
Rehabilitation of
County Roads","119,802,936","146,800,000","117,759,866","83,825,492",98,57,727,0
,"county Transport
Services","35,400,000","9,000,000","31,722,521","5,499,999",90,61,727,0
Public Work Services,"Public Work Ser-
vices","5,155,900","190,000,000","3,614,162","189,437,840",70,100,727,0
,Total,"171,950,836","365,800,000","162,973,921","278,763,332",95,76,727,0
"Department: Water Ser-
vices",,,,,,,,727,0
Water Services,"Water Supplies
Overhaul and
Maintenance Ser-
vices","290,185,919","349,000,000","284,897,606","340,866,580.00",98,98,727,0
,"Infrastructure de-
velopment services",-,"113,500,000",-,"89,152,285.15",,79,727,0
,Total,"290,185,919","462,500,000","284,897,606","430,018,865",98,93,727,0
"Department: Energy, En-
vironment and Climate
Change",,,,,,,,727,0
"Energy development ser-
vices","Energy develop-
ment services","1,624,800","169,200,000","696,000","142,258,756",43,84,727,0
,,Rec,Dev,Rec,Dev,Rec,Dev,728,0
"Environmental Conserva-
tion Services","Environmental
Conservation Ser-
vices","2,357,600","121,000,000","1,466,400","98,406,490",62,81,728,0
"Natural Resource Manage-
ment","Natural Resource
Management","5,275,800","6,000,000","3,356,700",-,64,-,728,0
"General Administration and
Support Services","General Admin-
istration and Sup-
port Services","71,768,288",,"63,284,422",-,88,-,728,0
,Total,"81,026,488","296,200,000","68,803,522","240,665,246",85,81,728,0
"Department: Public Ser-
vice, Special Programs and
County Administration",,,,,,,,728,0
"Human Resources Manage-
ment and decentralised ser-
vices","Human Resources
Management and
decentralised ser-
vices","358,814,480",-,"345,761,292",-,96,-,728,0
"Service Delivery and Perfor-
mance Management","Service Delivery
and Performance
Management","6,758,400",-,"6,280,225",-,93,-,728,0
"Decentralised unit and Town
admin","Decentralised unit
and Town admin","28,708,400",-,"18,315,753",-,64,-,728,0
Special Programs,"Disaster Manage-
ment & Humani-
tarian Coordina-
tion","543,459,800",-,"539,048,431",-,99,-,728,0
,"Conflict, Preven-
tion, Management
and Resolution","24,199,901",-,"12,970,660",-,54,-,728,0
,"Intergovernmental
Relations","6,236,624",-,"4,912,600",-,79,-,728,0
,"Public Participa-
tion Services","5,602,000","7,000,000","1,587,500",-,28,-,728,0
,"Governance and
Ethics","9,353,600",,"7,268,135",,78,-,728,0
,Total,"983,133,205","7,000,000","936,144,596",-,95,-,728,0
"Sports promotion and devel-
opment","Sub-programme:
Sports promotion
and development","8,184,400","26,000,000","7,081,995",-,87,-,728,0
"Programme 2: Early Child-
hood Education Develop-
ment Services","Sub-programme:
Early Childhood
Education Devel-
opment Services","164,909,950","77,374,000","162,639,199","52,088,822",99,67,728,0
"Programme 3: Culture, Heri-
tage and Library Services","Sub-programme:
Promotion of Cul-
ture and Heritage
Services","13,456,600",-,"9,839,600",-,73,-,728,0
"Programme 4: Gender and
Social Services","Sub-programme:
Gender & Social
Services","138,892,700","1,200,000","93,078,180","1,200,000",67,100,728,0
"Programme 5 Vocational
Training Services","Sub-programme:
Infrastructural de-
velopment","18,685,000","14,470,000","16,239,500","14,384,817",87,99,728,0
,,Rec,Dev,Rec,Dev,Rec,Dev,729,0
"Programme 6: General Ad-
ministration, Planning and
Support Services","Sub-programme:
Planning and Sup-
port Services","416,815,245",-,"408,171,012",-,98%,-,729,0
,Sub Total,"760,943,895","119,044,000","697,049,486","67,673,639",92,57,729,0
"ICT, Trade, Industrialization, Co-operative De-
velopment",,,,,,,,729,0
"Programme 1: Trade Ser-
vices","Sub-programme:
Business Support
& Investment Ser-
vices","2,404,140.00",211000000,"1,507,900.00","4,979,102.00",63,2,729,0
"Programme 2: Co-operatives
Services","Sub-Programme:
Capacity Building
Services",3683120,"8,600,000","2,124,850.00","4,184,000.00",58,49,729,0
"Programme 3: ICT Infra-
structure Services","Sub-programme:
ICT Infrastructure
Improvement &
Enhancement Ser-
vices","9,308,400","9,000,000","5,753,430.00","8,987,237.10",62,100,729,0
"Programme 4: Industrialisa-
tion and Investment Services","Sub-Programme:
Investment and In-
dustry Services","2,839,080",-,"1,433,600.00",-,50,-,729,0
"Programme 5: General Ad-
ministration, Planning and
Support Services","Sub-programme:
General adminis-
tration, Planning
and Support Ser-
vices","164,773,720",-,"155,483,722.35",-,94,-,729,0
,Sub Total,"183,008,460","228,600,000","166,303,502","18,150,339",91,8,729,0
Lands and Spatial Planning,,,,,,,,729,0
"Land Policy and Physical
Planning","Sub-programme:
Urban Physical
Planning Services","4,128,600","101,417,588","3,375,144.00","97,000,000.00",82,96,729,0
,"Sub-Programme:
County Survey and
Policy Services",-,-,-,-,-,-,729,0
"General Administrative and
Support Services","Sub-programme:
General Adminis-
trative and Support
Services","41,512,139",,"30,501,690.45",-,73,-,729,0
,Sub Total,"45,640,739.00","101,417,588.00","33,876,834.45","97,000,000.00",74,96,729,0
WAJWASCO,,,,,,,,729,0
WAJWASCO,"Sub-programme:
WAJWASCO","151,333,546.00","520,000,000.00","136,993,102","513,747,937",91,99,729,0
,Sub Total,"151,333,546","520,000,000","136,993,102","513,747,937",91,99,729,0
"County Public Service
Board",,,,,,,,729,0
"County Public Service Board
Services","Sub-programme:
Coordination and
Supervisory","83,812,668",-,"67,063,609",-,80,-,729,0
,Sub Total,"83,812,668",-,"67,063,609",-,80,-,729,0
Municipality,,,,,,,,729,0
