"User Depart-
ment",Programme,"Sub-Pro-
gramme","Approved Estimates
(Kshs.)
Rec Dev",col_4,"Actual Expenditure as of 30th
June 2023
(Kshs.)",col_6,"Absorption
Rate (%)",col_8,page_number,table_index,"Approved Estimates
(Kshs.)"
,,,,Dev,Rec,Dev,Rec,Dev,100,1,
,,,,,,,,,100,1,
"Agriculture
and Irrigation","General admin-
istration and
support services","General ad-
ministration
and support
services","99,199,387","541,430,254","83,870,731","329,789,302",84.5,60.9,100,1,
,,,,,,,,,100,1,
"Livestock
Production,
Fisheries and
Co-operative
Development","General admin-
istration and
support services","General ad-
ministration
and support
services","95,356,098",-,"67,947,723",-,71.3,-,100,1,
,,,,,,,,,100,1,
,,,,Dev,Rec,Dev,Rec,Dev,101,0,Rec
"Trade, Tourism,
Co-operative
Development
and Energy","General admin-
istration and
support services","General ad-
ministration
and support
services",,"20,124,819","34,865,608","10,808,194",90.4,53.7,101,0,"38,552,344"
,,,,,,,,,101,0,
"Roads, Public
Works and
Transport","General admin-
istration and
support services","General ad-
ministration
and support
services",,"544,781,857","109,562,445","501,589,908",96.6,92.1,101,0,"113,407,201"
,Public Works,Public works,,"2,800,000","1,692,210","2,800,000",98.4,100.0,101,0,"1,720,000"
,Energy,Energy,,"5,751,927","6,997,794","1,513,587",100.0,26.3,101,0,"7,000,000"
,,,,,,,,,101,0,
"Youth, Sports,
Culture and
gender","General admin-
istration and
support services","General ad-
ministration
and support
services",,"82,624,640","60,178,703","46,521,739",96.2,56.3,101,0,"62,586,817"
,,,,,,,,,101,0,
"ICT and Public
Service",ICT Services,ICT Services,,"27,959,148","239,467,585","9,246,486",97.5,33.1,101,0,"245,668,514"
,,,,,,,,,101,0,
"Education,
Science and
Technology","General admin-
istration and
support services","General ad-
ministration
and support
services",,"1,218,544","197,450,618","1,218,544",78.5,100.0,101,0,"251,460,844"
,"Technical and
Vocational
Education
and Training
(TVET)","Technical and
Vocational
Education
and Training
(TVET)",,"57,792,515","272,543","43,481,320",100.0,75.2,101,0,"272,543"
,"Pre-Primary
Education","Pre-Primary
Education",,"178,616,554","16,200,711","96,802,932",100.0,54.2,101,0,"16,200,711"
,,,,,,,,,101,0,
Health,"Health Promo-
tion","General ad-
ministration
and support
services",,"452,627,160","1,700,309,971","139,327,448",96.8,30.8,101,0,"1,756,342,428"
,,,,,,,,,101,0,
"Water, Envi-
ronment and
Climate Change
Management","General admin-
istration and
support services","General ad-
ministration
and support
services",,"257,592,762","2,249,937","159,691,249",97.6,62.0,101,0,"2,305,442"
,,,,,,,,,101,0,
"Lands, Physical
Planning,
Housing, Urban
Development","General admin-
istration and
support services","General ad-
ministration
and support
services",,"89,077,879","70,899,281","45,360,476",92.0,50.9,101,0,"77,059,204"
