Programme,"Sub-Pro-
gramme","Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
June 2023 (Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",208,0
County Assembly,,,,,,,,208,0
"Legislation and
oversight","Legislation
and oversight","850,458,900",-,"646,028,621",-,76.0,-,208,0
,Sub Total,"850,458,900",-,"646,028,621",-,76.0,-,208,0
"General
Administra-
tion Planning
and Support
Services","General
Administra-
tion Planning
and Support
Services","511,218,882","100,000,000","402,449,586",-,78.7,-,208,0
,Sub Total,"511,218,882","100,000,000","402,449,586",-,78.7,-,208,0
"Representation
services","Representa-
tion services","166,335,048",-,"137,897,870",-,82.9,-,208,0
,Sub Total,"166,335,048",-,"137,897,870",-,82.9,-,208,0
Sub Total,,"1,528,012,830","100,000,000","1,186,376,078",-,77.6,-,208,0
County Executive,,,,,,,,208,0
,"General Ad-
ministration
and Support
Services","283,967,488",-,"197,944,694",-,69.7,-,208,0
,"Representa-
tion Services","57,613,503",-,"51,331,900",-,89.1,-,208,0
,Sub Total,"341,580,991",-,"249,276,594",-,73.0,-,208,0
County Public Service Board,,,,,,,,208,0
"Leadership &
Administra-
tion of Human
Resources &
Development in
County Public
Service","Human Re-
source devel-
opment and
management
services","78,096,211",-,"46,921,998",-,60.1,-,208,0
,,"78,096,211",-,"46,921,998",-,60.1,-,208,0
,Sub Total,,,,,,,208,0
"Finance, Economic Planning
and ICT",,,,,,,,208,0
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",209,0
"Public Finance
Management
and Econom-
ic Policy &
Strategy","Financial
Management
Services","226,708,702",-,"214,218,499",-,94.5,-,209,0
,"Economic
Planning
services","16,000,000",-,"14,263,282",-,89.1,-,209,0
,"General Ad-
ministration
and support
services","1,859,287,326","58,762,592","1,476,937,709",-,79.4,-,209,0
,ICT services,-,"100,000,000",-,"14,800,000",-,14.8,209,0
,Sub Total,"2,101,996,028","158,762,592","1,705,419,491","14,800,000",81.1,9.3,209,0
"Administration and Public
Service",,,,,,,,209,0
"General
Administra-
tion Planning
and Support
services","General
Administra-
tion Planning
and Support
services","823,466,812","31,000,000","669,433,967","8,107,832",81.3,26.2,209,0
,Sub Total,"823,466,812","31,000,000","669,433,967","8,107,832",81.3,26.2,209,0
"Admin & co-
ord of County
affairs, HR dev
Mngt, Capacity
Building","Human
Resource
Management
& Develop-
ment","12,521,529",-,"7,703,920",-,61.5,-,209,0
,Sub Total,"12,521,529",-,"7,703,920",-,61.5,-,209,0
,Sub Total,"835,988,341","31,000,000","677,137,887","8,107,832",81.0,26.2,209,0
"Agriculture, Crop Production
and Irrigation",,,,,,,,209,0
"Crop develop-
ment, Irrigation
and Marketing
Services","Administra-
tion services","453,291,686",-,"413,696,273",-,91.3,-,209,0
,"Land and
Crop manage-
ment",-,"70,000,000",-,"61,215,000",-,87.5,209,0
,"Upgrading
Waruhiu ATC",-,"40,000,000",-,-,-,-,209,0
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",210,0
,"Irrigation
development
and manage-
ment",-,"10,000,000",-,-,-,-,210,0
,"Revitalisation
of Agricultural
Mechaniza-
tion Services",-,"15,000,000",-,-,-,-,210,0
,"Agricul-
tural input
andFinancing
services",-,"43,731,519",-,"80,585,550",-,184.3,210,0
,"Value addition
and market
development",-,"40,601,873",-,"19,136,800",-,47.1,210,0
,Capital grants,-,"402,992,370",-,"353,655,922",-,87.8,210,0
,"Additional
allocations",-,"46,331,333",-,"42,255,564",-,91.2,210,0
,Pending bills,-,"66,870,811",-,"33,416,240",-,50.0,210,0
,Sub Total,-,"735,527,906",-,"590,265,076",-,80.3,210,0
"Livestock and
Fisheries De-
velopment and
management","Livestock
diseases
management
andcontrol",-,"15,000,000",-,-,-,-,210,0
,"Food safety
andanimal
product devel-
opment",-,"5,000,000",-,-,-,-,210,0
,"Livestock pro-
duction and
management",-,"32,000,000",-,-,-,-,210,0
,"Livestock
products value
addition and
marketing.",-,"48,000,000",-,"20,454,400",-,42.6,210,0
,"Aquaculture
and market
development",-,"5,000,000",-,-,-,-,210,0
,Sub Total,,"105,000,000",,"20,454,400",-,19.5,210,0
"Fisheries de-
velopment and
management","Management
and devel-
opment of
capture an-
drecreational
fisheries",-,"15,000,000",-,-,-,-,210,0
,,-,"15,000,000",-,-,-,-,210,0
,Sub Total,"453,291,686","855,527,906","413,696,273","610,719,476",91.3,71.4,210,0
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",211,0
"Water, Environment and Natu-
ral Resources",,,,,,,,211,0
"Administra-
tion, Planning
& Support
Services","Administra-
tion, Planning
& Support
Services","373,523,466",-,"338,900,933",-,90.7,-,211,0
"Water Resourc-
es Management
& Sanitation
Services","Water Re-
source Man-
agement and
Sanitation",-,"191,000,000",-,"73,463,672",-,38.5,211,0
"Natural Re-
sources, Forest
Conservation
and manage-
ment","Natural Re-
sources, Forest
Conservation
and manage-
ment",-,"15,000,000",-,"195,000",-,1.3,211,0
"Environmental
Management
andCompliance","Environment
andSolid
Waste Man-
agement",-,"94,580,000",-,-,-,-,211,0
"Climate Change
Mitigation &
Adaptation","Climate
Change
Mitigation &
Adaptation",-,"10,000,000",-,-,-,-,211,0
,Sub Total,"373,523,466","310,580,000","338,900,933","73,658,672",90.7,23.7,211,0
Health Services,,,,,,,,211,0
Health Services,"Curative
Services","947,406,903","621,636,481","154,644,147","81,373,948",16.3,13.1,211,0
,"Preventive and
Promotive","51,438,832",-,"37,865,356",-,73.6,-,211,0
,"Pharmaceu-
ticals","146,000,000",-,"49,082,345",-,33.6,-,211,0
,"Administra-
tion and Sup-
port Services","4,226,712,107",-,"4,120,446,016",-,97.5,-,211,0
,Sub Total,"5,371,557,842","621,636,481","4,362,037,864","81,373,948",81.2,13.1,211,0
"Education, Culture and Social
Services",,,,,,,,211,0
"Pre-primary
Edu, Promotion
of Culture and
Social Services","Pre-primary
education
and Youth
polytechnics
services","273,000,000","268,007,975","213,075,790","66,470,344",78.0,24.8,211,0
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expendi-
ture","Develop-
ment Ex-
penditure",212,0
,"Culture and
Social Services","20,500,000",-,"10,006,790",-,48.8,-,212,0
,"General ad-
ministration
and support
services","777,702,219",-,"748,536,709",-,96.2,-,212,0
,Sub Total,"1,071,202,219","268,007,975","971,619,289","66,470,344",90.7,24.8,212,0
Youth and Sports,,,,,,,,212,0
"Youth Af-
fairs, Sports
andCommuni-
cation",,,,,,,,212,0
,"Promotion
and devel-
opment of
sports; Youth
services","120,480,194",-,"92,634,453",-,76.9,-,212,0
,"Communica-
tion","6,096,320",,"607,120",-,10.0,-,212,0
,"Youth and
Sports Ad-
ministration",-,"175,538,853",-,-,-,-,212,0
,Sub Total,"126,576,514","175,538,853","93,241,573",-,73.7,-,212,0
"Lands, Physical Planning and
Housing",,,,,,,,212,0
"Land manage-
ment and physi-
cal Planning","Land man-
agement
and physical
Planning","201,697,046","138,000,000","179,846,893",-,89.2,-,212,0
,"Housing De-
velopment",-,"96,126,308",-,"42,692,993",-,44.4,212,0
"Municipal
Administration
& Urban Devel-
opment","Municipal
Administra-
tion & Urban
Development","50,438,564","7,167,356","26,367,861","7,167,354",52.3,100.0,212,0
,Sub Total,"252,135,610","241,293,664","206,214,754","49,860,347",81.8,20.7,212,0
"Trade, Tourism, Industry and
Co-operative",,,,,,,,212,0
