Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
June 2023
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,Subtotal,"58,712,200","491,350,000","51,295,655","408,141,405",87.4,83.1,60,0
,,,,,,,,60,0
"Trade, Energy, Tourism and Industry",,,,,,,,60,0
"Trade, Energy,
Tourism and
Industry",Administration,"16,239,882",,"12,224,170",-,75.3,-,60,0
,Trade Development,-,"20,000,000",-,"981,595",-,4.9,60,0
,Energy Development,-,"16,500,000",-,"13,017,245",-,78.9,60,0
,Tourism Development,-,"10,000,000",-,"8,353,456",-,83.5,60,0
,Industry,-,"9,000,000",-,"6,850,956",-,76.1,60,0
,Subtotal,"16,239,882","55,500,000","12,224,170","29,203,252",75.3,52.6,60,0
,,,,,,,,60,0
The County Assembly,,,,,,,,60,0
"County Assem-
bly","General Administration,
Human Resources and ad-
ministrative Services","385,267,897","250,000,000","385,256,497","231,920,039",100.0,92.8,60,0
,Legislative Services,"413,654,793",-,"412,418,552",-,99.7,-,60,0
,"Oversight and Representa-
tion","46,277,158",-,"46,277,158",-,100.0,-,60,0
,Subtotal,"845,199,848","250,000,000","843,952,207","231,920,039",99.9,92.8,60,0
,,,,,,,,60,0
Grand Total,,"5,848,155,018","2,439,183,482","5,530,225,768","1,533,347,795",94.6,62.9,60,0
