Programme,Sub- Programme,"Approved Estimates
(Kshs)","Actual Expenditure
as of 30th June 2023
(Kshs)",Variance,"Absorption
rate (%)",page_number,table_index
"Department of Agriculture, Livestock, Fisheries andFood Security",,,,,,141,1
"Policy Planning, Gener-
al Administration and
Support Services","Policy and Planning
Services
General Adminis-
tration and Support
Services
Sub total",-,-,-,-,141,1
,,"197,611,284","197,097,135","514,149",99.7,141,1
,,"197,611,284","197,097,135","514,149",99.7,141,1
"Crop, Land and Agri-
business Development
Services","Crop Development
Services
Agribusiness Develop-
ment Services
Land Development
Services
National Agricul-
ture Rural Inclusive
Growth
Agriculture Sector
Development Support
Programme
National Value Chain
Project
Sub total","5,670,300",-,"5,670,300",-,141,1
,,"16,422,080","10,422,080","6,000,000",63.5,141,1
,,-,-,-,-,141,1
,,"293,257,837","278,403,674","14,854,163",94.9,141,1
,,"54,014,863","35,170,300","18,844,563",65.1,141,1
,,"75,000,000","67,200,151","7,799,849",89.6,141,1
,,"444,365,080","391,196,205","53,168,875",88.0,141,1
"Food Security Enhance-
ment Services","Farm Input Access
Services","42,372,030","21,387,197","20,984,833",50.5,142,0
,"Sub Sector Infrastruc-
ture Development
Services","4,562,717","2,670,300","1,892,417",58.5,142,0
,Sub total,"46,934,747","24,057,497","22,877,250",51.3,142,0
"Fisheries Resources
Development Services",Capture Fisheries,-,-,-,-,142,0
,"Farmed Fish Produc-
tion",-,-,-,-,142,0
,Sub total,-,-,-,-,142,0
"Livestock Development
Programme","Livestock Improve-
ment and Develop-
ment",-,-,-,-,142,0
,"Livestock Products
Value Addition and
marketing","200,000",-,"200,000",-,142,0
,"Livestock Health and-
Disease Management",-,-,-,-,142,0
,Sub total,"200,000",-,"200,000",-,142,0
,"Cooperative Manage-
ment services",-,-,-,-,142,0
,"Cooperative Develop-
ment services",-,-,-,-,142,0
,Sub total,-,-,-,-,142,0
,Grand Total,"689,111,111","612,500,987","76,610,124",88.9,142,0
"Department of Gender Equality and Inclusivity Youth, sports, Talent Development, Cultural Heritage and Social Services",,,,,,142,0
"Policy, Planning and-
General Administration
services","General Adminis-
tration and Support
Services","51,440,370","51,290,466","149,904",99.7,142,0
,"Policy and Planning
Services","3,000,000","2,500,000","500,000",83.3,142,0
,Sub total,"54,440,370","53,790,466","649,904",98.8,142,0
"Cultural and Creative
Sector Development
Services","Creative Economy
Development Services",-,,-,-,142,0
