Dept./Program,Sub-Program,"Revised Estimates FY 2022/23 II
(Kshs.)",col_3,Actual Expenditure (Kshs.),col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,"Garage/Transporta-
tion","1,026,369","13,000,000","870,742",,-,-,457,0
Institutional Buildings Maintenance,,"1,026,369","1,137,186,753","27,435","927,334,931",3,82,457,0
,Building Works,"1,026,369","10,186,753","27,435",,3,0,457,0
,"Road Maintenance
Levy",,"1,127,000,000",-,"927,334,931",-,82,457,0
"Total - Public Works, Transport &
Infrastructure",,"936,483,271","2,381,689,726","795,161,362","1,421,634,427",85,60,457,0
"Education, Youth Affairs, Sports, Culture & Social Services",,,,,,,,457,0
"General administration, planning and
support services",,"1,950,506,909",-,"1,815,715,602",-,93,-,457,0
,"General Adminis-
tration & Support
Services","1,950,506,909",-,"1,815,715,602",-,93,-,457,0
Education services,,"114,840,912","250,455,437","112,844,314","41,735,841",98,17,457,0
,"Quality Assurance
and Co-curriculum","252,400",-,"190,017",,75,-,457,0
,"Early Childhood De-
velopment Centres","111,472,000","224,339,460","111,328,774","41,735,841",100,19,457,0
,"Technical and Voca-
tional Training","3,116,512","26,115,977","1,325,524",,43,0,457,0
Social Services,,"240,446,452","340,229,806","198,135,027","72,055,819",82%,21%,457,0
,"General Adminis-
tration & Support
Services","192,059,375",-,"160,108,519",-,83%,-,457,0
,"Gender and Commu-
nity Empowerment","396,918",-,"8,584",-,2%,-,457,0
,"Development and
promotion of sports","37,886,881","279,249,447","31,638,675","64,996,982",84,23,457,0
,"Youth Empowerment
and Promotion","2,824,675","40,083,839","1,864,970","7,058,837",66,18,457,0
,"Social welfare and
care for the Aged","3,415,884","10,896,520","2,437,536",-,71,-,457,0
,,Rec,Dev,Rec,Dev,Rec,Dev,458,0
,"Promotion of Library
and Information
Services","335,770",-,"9,126",-,3,-,458,0
,"Rescue and Rehabil-
itation of Children
Services","3,526,949","10,000,000","2,067,618",-,59,-,458,0
"Total - Education, Youth Affairs,
Sports, Culture & Social Services",,"2,305,794,273","590,685,243","2,126,694,943","113,791,660",92,19,458,0
"Trade, Commerce, Tourism & Cooperatives",,,,,,,,458,0
"General Administration Planning and
Support Services",,"407,011,299",-,"396,024,705",-,97,-,458,0
,"General Adminis-
tration Planning and
Support Services","407,011,299",-,"396,024,705",-,97,-,458,0
"Co-operative Development and Audit
Services",,"4,881,879",-,"2,418,833","77,596,706",50,-,458,0
,"Cooperative Develop-
ment Services","3,026,570",-,"2,090,942",-,69,-,458,0
,"Cooperative Audit
Services","1,855,309",-,"327,891",-,18,-,458,0
Tourism Promotion and Marketing,,"60,699,680",-,-,-,-,-,458,0
,Tourism Development,"60,699,680",-,"47,565,817",-,78,-,458,0
"Trade development and Market Ser-
vices",,"103,847,701","226,000,000","84,992,473",-,-,34,458,0
,Trade Development,"90,987,883","21,500,000","78,240,341",-,86,-,458,0
,Market Services,"4,304,622","166,000,000","2,165,323","77,596,706",50,47,458,0
,"Weights & Measures
Services","2,989,832","30,000,000","394,721",-,13%,-,458,0
,"Trade Licensing
Services",-,"8,500,000","1,104,800",-,-,-,458,0
,"Betting & Gaming
Services","5,565,364",,"3,087",-,55,-,458,0
"Total - Trade, Commerce, Tourism &
Cooperatives",,"576,440,559","226,000,000","531,001,829","77,596,706",92,34,458,0
Public Service Management,,,,,,,,458,0
"General Administration Planning and
Support Services",,"537,826,679",-,"471,040,184",-,88,-,458,0
,"General Adminis-
tration Planning and
Support Services","537,826,679",-,-,-,88,-,458,0
Public Service Transformation,,"1,422,170,727","12,000,000","1,423,354,568",-,-,-,458,0
,"Human Resource
Management","1,338,823,610","7,000,000",-,-,102,-,458,0
,,Rec,Dev,Rec,Dev,Rec,Dev,459,0
,"Human Resource
Development","83,347,117","5,000,000",-,-,62,-,459,0
"Performance Management and Public
Service Delivery",,"13,819,590","2,600,000","2,617,044",-,-,-,459,0
,"Performance Con-
tracting management","10,406,814","2,600,000",-,-,8,-,459,0
,"Governance Monitor-
ing and Evaluation","1,865,466",-,-,-,69,-,459,0
,"Quality Management
Systems and ISO
certification","1,547,310",-,-,-,30,-,459,0
Total - Public Service Management,,"1,973,816,996","14,600,000","1,897,011,796",-,96,30,459,0
"Agriculture, Livestock Development, Fisheries & Forestry",,,,,,,,459,0
"General Administration Planning and
Support Services",,"175,811,228",-,"174,467,685",-,99,-,459,0
,"Administration,
Planning & Support
Services",-,-,-,-,99,-,459,0
"Urban Agriculture Promotion &
Regulation",,"36,618,117","9,000,000","67,196,960",-,-,-,459,0
,"Crop Development
and Management","2,623,906","9,000,000",-,-,-,-,459,0
,"Fisheries Develop-
ment and manage-
ment","1,641,630",-,-,-,27,-,459,0
,"Livestock Resources
management and
development","2,562,039",-,"1,357,773",-,53,-,459,0
,"Agricultural Develop-
ment Support Project","29,790,542",-,"63,833,491",-,214,-,459,0
"Animal Health, Safety and Quality
Assurance",,"2,999,054",-,"977,828",,-,-,459,0
,"Animal Research,
Diseases, Pest Control
& Quality Assurance","2,999,054",-,"977,828",-,33-,-,459,0
Afforestation,,,-,"55,000",-,-,-,459,0
,Forestry Services,-,-,"55,000 -",-,-,-,459,0
Food Systems and Surveillance,,"2,998,590",,-,,45,-,459,0
,"Food Systems and
Surveillance Services","2,998,590",-,"1,339,507",-,45-,-,459,0
,,Rec,Dev,Rec,Dev,Rec,Dev,460,0
"Total - Agriculture, Livestock Develop-
ment, Fisheries & Forestry",,"218,426,989","9,000,000","244,036,980",-,-,-,460,0
"Enviroment, Water, Energy & Natural Resources",,,,,,,,460,0
"General Administration & Support
Services",,"485,624,036",-,-,-,-,-,460,0
,Headquarters,"485,624,036",-,-,-,77,-,460,0
Solid waste management,,"1,037,798,757","1,214,498,519","467,228,252","245,012,653",45,20,460,0
,"Solid Waste Manage-
ment Section","1,037,798,757","1,214,498,519","467,228,252","245,012,653",45,20,460,0
"Beautification, Recreation and Green-
ing Services",,"3,447,300","35,000,000","3,360,984","15,000,000",97,43,460,0
,"Parks & Open Spaces
Section","3,447,300","35,000,000","3,360,984","15,000,000",97,43,460,0
"Environment planning Management
Services",,"23,447,300","5,000,000","32,092,766",-,137,-,460,0
,"Environmental Mon-
itoring Compliance &
Enforcement","23,447,300","5,000,000",-,-,-,-,460,0
Energy & Natural resources,,"6,594,180",-,"27,729,175","5,000,000",421,-,460,0
,"Energy & Natural
resources department","6,594,180",-,"5,000,000",421%,-,-,460,0
Forestry Services,,"3,835,552",-,"103,634",-,3,-,460,0
,Forestry Department,"3,835,552",-,-,3%,-,-,460,0
"Total - Enviroment, Water,Energy &
Natural Resources",,"1,560,747,124","1,254,498,519","906,810,703","265,012,653",58,21,460,0
Urban Renewal And Housing,,,,,,,,460,0
Urban Renewal,,"14,342,670","204,750,000","8,906,370","67,035,403",62,33,460,0
,Housing Development,"14,342,670","204,750,000","8,906,370","67,035,403",62,33,460,0
"Building services research and infor-
mation",,"3,133,486","5,000,000","512,464",-,16,-,460,0
,"Building Services
Department","3,133,486","5,000,000",-,-,-,-,460,0
"TOTAL - URBAN RENEWAL AND
HOUSING",,"17,476,156","209,750,000","9,418,833","67,035,403",54,32,460,0
"WARD DEVELOPMENT PRO-
GRAMMES",,,,,,,,460,0
Ward Development & Administration,,"93,267,787","1,692,500,000","76,716,282","1,341,646,437",82,79,460,0
Total - Ward Developemt Programs,,"93,267,787","1,692,500,000","76,716,282","1,347,646,437",82,79,460,0
