Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
June 2023",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,222,1
"Gender, Social Services and Youth Affairs",,,,,,,,222,1
"P.1: General Adminis-
tration, Planning and
Support services","SP1.1: General
Administration,
Planning and Sup-
port services","417,500",-,"499,944","279,200",119.7,-,222,1
,Sub Total,"417,500",-,"499,944",-,119.7,-,222,1
P2. Culture andArts,"SP 2.1 Heritage
Conservation
Programme","600,000",-,"524,757",-,87.5,-,222,1
,Sub Total,"600,000",-,"524,757",-,87.5,-,222,1
P 4: Social Protection,"SP 4.3 Social
Development
andChild Affairs",-,"65,688,618",-,"8,808,399",-,13.4,222,1
,Sub Total,-,"65,688,618",-,"8,808,399",-,13.4,222,1
"P 5. Sports and talent
Development","SP 5.1 Sports
Development","600,000","5,966,569","599,400",-,99.9,-,222,1
,Sub Total,"600,000","5,966,569","599,400",-,99.9,-,222,1
Grand Total,,"1,617,500","71,655,187","1,624,101",-,100.4,-,222,1
,,Rec,Dev,Rec,Dev,Rec,Dev,223,0
Agriculture,,,,,-,,,223,0
Programme 1,Sub-programme,"19,966,336",-,"19,458,182",-,97.5,-,223,0
,Sub Total,"19,966,336",-,"19,458,182",-,97.5,-,223,0
Grand Total,,"96,500",-,"96,000",-,99.5,-,223,0
Roads and Public Works,,,,,,,,223,0
,"Roads Construc-
tion","220,565,413",-,"203,376,711",-,92.2,-,223,0
,Access Roads,,"1,125,845,617",-,"998,683,908",-,88.7,223,0
Grand Total,,"220,565,413","1,125,845,617","203,376,711","998,683,908",92.2,88.7,223,0
Department Public Service Management,,,,,,,,223,0
"General Administra-
tion, Planning and
Support Services","Administration,
Planning and Sup-
port Services","4,699,111,114",-,"4,287,312,382",-,91.2,-,223,0
,Sub Total,"4,699,111,114",-,"4,287,312,382",-,91.2,-,223,0
Grand Total,,"4,699,111,114",-,"4,287,312,382",-,91.2,-,223,0
"Programme 1 : Gen-
eral Administration,
Planning and Support
Services","SP1.1: General ad-
ministration and
support services","44,698,442",-,"16,127,669",-,36.1,-,223,0
Livestock,,,,,,,,223,0
Programme 1,Sub-programme,"18,300,735","36,284,182","16,119,096","32,133,534",88.1,88.6,223,0
,Sub Total,"18,300,735","36,284,182",,,-,-,223,0
"Devolution Public
Service andDisaster
Management",-,-,-,-,-,-,-,223,0
"General
Administration,
Planning and
Support Services","Administration,
Planning and Sup-
port Services","16,261,449",-,"16,212,935",-,99.7,-,223,0
,Sub Total,"16,261,449",-,"16,212,935",-,99.7,-,223,0
Devolution Services,"Sub County and-
Ward Administra-
tion Services",-,"15,476,265",-,"4,159,860",-,26.9,223,0
,Civic Education,"1,264,680",-,"1,148,880",-,90.8,,223,0
,"S.P 2.3: Public
Participation",-,-,-,,,,223,0
,Sub Total,"1,264,680","15,476,265","1,148,880","4,159,860",90.8,26.9,223,0
Special Programme,"Special Pro-
gramme","13,418,002",-,"13,079,761",-,97.5,-,223,0
,"SP 2.1 Mitigating
Emergencies and-
Disasters","215,150,000",-,"214,952,360",-,99.9,-,223,0
,Sub Total,"228,568,002",-,"228,032,121",-,99.8,-,223,0
