Program,"Sub Pro-
gram",Description,Approved Estimates,col_4,"Actual Expenditure as of 30th
June 2023",col_6,Absorption Rate (%),col_8,page_number,table_index
,,,Recurrent,Development,Recurrent,Development,"Recur-
rent Ex-
pendi-
ture","Develop-
ment Ex-
penditure",260,0
"Trade, Energy and Industry-5080",,,"11,006,453","45,000,000","6,441,831","10,989,812",58.5,24.4,260,0
,205025060,,"304,468","45,000,000","304,468","10,989,812",100.0,24.4,260,0
,205045060,"Petroleum and
Electricity","10,701,985",-,"6,137,363",-,57.4,-,260,0
206005080,,,"2,107,311",-,"1,726,000",-,81.9,-,260,0
,206065060,Green Energy,"2,107,311",-,"1,726,000",-,81.9,-,260,0
301005080,,,"662,670",-,"662,670",-,100.0,-,260,0
,301025060,"Trade Support
Services","662,670",-,"662,670",-,100.0,-,260,0
302005080,,,"276,786",-,"48,114",-,17.4,-,260,0
,302015060,"Verification
and Calibra-
tion of Weigh-
ing Equipment","276,786",-,"48,114",-,17.4,-,260,0
305005080,,,-,-,-,-,,-,260,0
,305055060,"Co-operative
Governance",-,-,-,-,,-,260,0
306005080,,,"4,935,966","25,000,000","3,652,015",-,74.0,-,260,0
,306015060,"Business De-
velopment Ser-
vices","4,935,966","25,000,000","3,652,015",-,74.0,-,260,0
307005080,,,-,-,-,-,,-,260,0
,307015060,"Renovation
andoperation-
alization of
County Indus-
trial Develop-
ment Centres",-,-,-,-,,-,260,0
504005080,,,"100,000",-,-,-,-,-,260,0
,,,Recurrent,Development,Recurrent,Development,"Recur-
rent Ex-
pendi-
ture","Develop-
ment Ex-
penditure",261,0
,504055060,"Betting Con-
trol Services","100,000",-,-,-,-,-,261,0
508005080,,,"100,000",-,-,-,-,-,261,0
,508015060,"Alcoholic
Drinks","100,000",-,-,-,-,-,261,0
704005080,,,"83,480,633","47,004,061","80,833,831","9,394,690",96.8,20.0,261,0
,704015060,"General Ad-
ministration
and Support
services","83,480,633","47,004,061","80,833,831","9,394,690",96.8,20.0,261,0
,,Sub Total,"102,669,819","117,004,061","93,364,460","20,384,502",90.9,17.4,261,0
515005079,,,"16,913,000",-,"14,366,926",-,85.0,,261,0
"5079-Kisu-
mu - De-
partment
of Public
Adminis-
tration and
Devolution",515015060,"Primary Policy
and Legislation","16,913,000",-,"14,366,926",-,85.0,-,261,0
