Programme,"APPROVED
Budget estimates
(Kshs.)","Actual Expen-
diture
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
"SP 1 - (General Administration, Planning and Support
Services)","228,433,139","224,386,112","4,047,027",98.2,742,0
SP 2- (Human Resource),"1,944,000","1,763,741","180,259",90.7,742,0
SP 3- (Legal Services),"9,362,000","3,775,610","5,586,390",40.3,742,0
SP 4 - (Records Management),"1,144,000","1,031,757","112,243",90.2,742,0
SP 5- (Communication Services),"1,140,000","1,044,216","95,784",91.6,742,0
SP 6 - (ICT Infrastructure Connectivity),"2,716,422","2,422,911","293,511",89.2,742,0
SP 7 - (Field Administration),"15,167,680","14,203,833","963,847",93.6,742,0
SP 8-(Mortgage),"80,000,000","80,000,000",-,100.0,742,0
Development,"5,000,000","4,542,244","457,756",90.8,742,0
TOTAL,"344,907,241","333,170,424","11,736,817",96.6,742,0
Programme 13 -SPECIAL PROGRAMMES ANDDIRECTORATES,,,,,742,0
"SP 1 - (General Administration, Planning and Support
Services)","11,972,456","11,972,456",-,100.0,742,0
SP 5 - (Emergency anddisaster response),"45,050,000","40,330,940","4,719,060",89.5,742,0
SP 6 - (Peace building andreconciliation),"13,587,670","12,951,800","635,870",95.3,742,0
SP 7- (Resource mobilisation andCoordination),"4,030,000","3,487,800","542,200",86.5,742,0
SP 8(Gender andspecial needs),"10,640,000","10,175,830","464,170",95.6,742,0
Development,-,-,-,,742,0
TOTAL,"85,280,126","78,918,826","6,361,300",92.5,742,0
Programme 14 -COUNTY ASSEMBLY,,,,,742,0
"SP 1 - (General Administration, Planning and Support
Services)","418,340,858","405,390,229","12,950,629",96.9,742,0
SP 2 -(Legislation and Representation),"303,242,628","259,592,150","43,650,478",85.6,742,0
SP 3-(Staff Affairs and development),"56,103,800","55,177,369","926,431",98.3,742,0
Development,"100,000,000","46,697,389","53,302,611",46.7,742,0
TOTAL,"877,687,286","766,857,137","110,830,149",87.4,742,0
Grand Total,"7,664,537,189","7,120,819,325","543,717,864",92.9,742,0
