Programme,Sub- Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual Expen-
diture as of 30th
June 2023 (Kshs.)","Absorption
Rate (%)",page_number,table_index
"Agriculture, Livestock & Cooperative",,,,,70,1
"Programme 1: General Admin-
istration, Planning and Support
Services","SP 1.1 Administrative and Support Ser-
vices","165,343,868","156,019,245",94.4,70,1
,"SP 1.2 Human Resource Management and
Development.","339,747,840","326,446,946",96.1,70,1
"Programme 2: Land and Crop
Development and management",SP 2.2: Crop production andproductivity,"251,532,582","246,388,969",98.0,70,1
"Programme 3: Livestock
Development and management",SP 3.2 Value addition andprocessing,"66,300,000","64,675,905",97.6,70,1
,SP 3.4 Disease andVector Control,"7,000,000","7,000,000",100.0,70,1
,SP 3.5 Food Safety andQuality Control,"5,500,000","5,500,000",100.0,70,1
,SP 3.7 Veterinary Extension Services,"3,600,000","3,600,000",100.0,70,1
,"SP 3.8 Breeding andAI Subsidy Pro-
gramme","3,000,000","3,000,000",100.0,70,1
,Ward Based Projects,"5,820,000","5,820,000",100.0,70,1
"Programme 4: Fisheries
Development and management","SP 4.1 Fisheries Extension Service and
Training","3,000,000",-,-,70,1
,"SP 4.2 Fisheries Product Value-Chain
Development","3,500,000",-,-,70,1
"Programme 6: Institutional
Development and management","SP 6.2 Agricultural Enterprise Develop-
ment (ATC)","6,560,000",-,-,71,0
,SP 6.3 Infrastructural Development (ATC),"11,960,000","11,960,000",100.0,71,0
,SP 6.5 Tractor Hire Services,"5,000,000","5,000,000",100.0,71,0
,SP 6.8 Operational Development (CFF),"10,300,000","10,300,000",100.0,71,0
,NARIGP,"332,916,544","300,909,746",90.4,71,0
,Ward Based Projects,"11,058,000","11,058,000",100.0,71,0
Sub Total,,"1,232,138,834","1,157,678,811",94.0,71,0
Health and Sanitation,,,,,71,0
"Programme1: General Admin-
istration and Planning, and
Support Services","SP 1: Health Administration Planning and
Support services","412,857,131","82,225,178",19.9,71,0
,Human resources,"2,416,604,147","2,371,153,763",98.1,71,0
,SP3.Health Infrastructure,"191,976,917","155,419,477",81.0,71,0
"Programme 2: Preventive
Promotive and Rehabilitative",SP 2: Health Promotion services,"6,000,000",-,-,71,0
,SP 3: Disease surveillance,"2,746,938",-,-,71,0
,SP 4: Community health services,"78,072,000",-,-,71,0
,Capacity building of CHVs,"10,000,000",-,-,71,0
,Retooling of CHV Kits,"10,000,000",-,-,71,0
,HIV/AIDS awareness.,"300,000",-,-,71,0
Programme 3: Curative,SP 3: Routine Medical Services,"424,865,820","108,815,740",25.6,71,0
,SP 3: Blood Bank Services,"10,000,000",-,-,71,0
,Referral Strategy,"987,751",-,-,71,0
"Programme 5: Maternal
andChild Health",SP 5: Maternity Services,"52,969,787",-,-,71,0
,SP 5: Immunization Services,"1,500,000",-,-,71,0
Sanitation Management,Sanitation management,"8,000,916",-,-,71,0
Sub Total,,"3,626,881,407","2,717,614,158",74.9,71,0
Roads & Public Works,,,,,71,0
"Transport Infrastructure Devel-
opment and management","Transport infrastructure development and
management","964,151,137","869,883,846",90.2,71,0
"Public Safety and
Transport Operations",Public safety and Transport operations,"6,820,194",-,-,71,0
"Building Standards and
other Civil Works",Building standards and other civil works,"2,423,736","2,423,736",100.0,71,0
"General Administration,
Planning and Support Services","General administration, planning and
support services","163,963,788","162,713,341",99.2,71,0
Sub Total,,"1,137,358,855","1,035,020,923",91.0,71,0
Water & Tourism,,,,,71,0
"Programme 1: General Admin-
istration Planning and Support
Services",SP. Human Resources Management,"65,536,155","65,498,032",99.9,71,0
