Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual expenditure as of 30th June
2023",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,1003013710,"3,567,150.00","35,000,000.00","3,659,162.00","23,443,713.00",103%,67%,284,0
,1004013710,"1,194,864.00",-,"1,193,278.00",-,100%,-,284,0
"General Adminis-
tration and Plan-
ning",1001013710,"91,022,916.00",-,"91,039,712.00",-,100%,-,284,0
Mineral Resources,1003013710,"1,101,267.00",-,"1,099,800.00",-,100%,-,284,0
,1003023710,"4,188,497.00",-,"4,187,479.00",-,100%,-,284,0
,1003043710,"3,001,553.00","1,040,440.00","2,996,847.00","(364,340.00)",100%,-35%,284,0
,1007013710,"2,009,772.00",-,"2,008,440.00",-,100%,-,284,0
,1008013710,"3,114,507.00",-,"3,102,883.00",-,100%,-,284,0
Tourism,305013710,"427,088.00",-,"427,087.00",-,100%,-,284,0
,305033710,"1,272,037.00",-,"1,271,820.00",-,100%,-,284,0
,1003023710,"6,377,623.00",-,"6,377,406.00",-,100%,-,284,0
,Sub Total,"133,294,056.00","80,055,591.00","132,815,512.00","67,082,735.00",100%,84%,284,0
"3720-Kitui - Tourism, Sports and Culture",,,,,,,,284,0
Tourism,306013710,"7,730,000.00","4,500,000.00","7,416,368.00","4,397,318.00",96%,98%,284,0
,306023710,"2,747,231.00","49,006,816.00","2,657,213.00","24,047,224.00",97%,49%,284,0
"Gender, Culture
and Social Services
Headquarters",307013710,"4,604,097.00","30,008,786.00","3,733,653.00","14,534,358.00",81%,48%,284,0
,307023710,"9,929,780.00","3,800,000.00","8,016,708.00","1,886,692.00",81%,50%,284,0
,308013710,"3,008,461.00","23,000,000.00","2,915,991.00",,97%,0%,284,0
,308023710,"2,310,000.00",-,"2,298,751.00",-,100%,-,284,0
"General Adminis-
tration and Plan-
ning",301013710,"55,557,570.00",-,"53,667,494.00",-,97%,-,284,0
"Internet Connec-
tions",505013710,"7,995,000.00",-,"4,399,619.00",-,55%,-,284,0
,506013710,"10,955,528.00",-,"10,341,122.00",-,94%,-,284,0
