"Pro-
gramme",Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of
30th June 2023(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,"Water Catchment
andProtection
Services","5,340,132.00",-,"3,488,705",-,65,-,563,0
"Water and-
sanitation
infra-
structure",,"99,641,339.00",-,"82,163,468",-,82,-,563,0
,"Water andsani-
tation services","94,406,742.00",-,"78,579,208",-,83,-,563,0
,"Stormwater
management","5,234,597.00",-,"3,584,260",-,68,-,563,0
,Sub Total,"207,206,281.00","463,671,733","162,258,696","393,369,742",78,85,563,0
"4216-Samburu - Education, Youth Affairs andSports",,,,,,,,563,0
"General
Admin-
istration
Plan-
ning and
Support
Services",,-,-,-,-,-,-,563,0
,"Administration,
Planning and
Support Services",-,-,-,-,-,-,563,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",564,0
"General
Admin-
istration
Plan-
ning and
Support
Services",,"165,634,758.00",-,"161,061,165",-,97,,564,0
,"Bursary Manage-
ment Services",-,-,-,-,,,564,0
,"General Ad-
ministration
Planning and
Support Services","165,634,758.00",-,"161,061,165",-,97,,564,0
"Early
childhood
develop-
ment and
Education",,"349,058,839.00","121,870,132","348,265,270","121,857,798",100,100,564,0
,"Promotion of
Early Childhood
Education","349,058,839.00","121,870,132","348,265,270","121,857,798",100,100,564,0
,"Promotion
of youth em-
powerment",-,-,-,-,-,-,564,0
"Sports De-
velopment,
Training
andCom-
petition",,-,-,-,-,-,-,564,0
,"Sports Develop-
ment, Training
& Competition",-,-,-,-,-,-,564,0
"Youth
Training
andDevel-
opment",,"9,471,986.00","14,500,000","9,333,256","14,486,220",99,100,564,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recur-
rent
Expen-
diture","Devel-
opment
Expen-
diture",565,0
,"SP1 Revitaliza-
tion of Youth
Polytechnics","9,471,986.00","14,500,000","9,333,256","14,486,220",99,100,565,0
,Sub Total,"524,165,583.00","136,370,132","518,659,690","136,344,018",99,100,565,0
4217-Samburu - Health Services,,,,,,,,565,0
"General
Admin-
istration
Plan-
ning and
Support
Services",,-,-,-,-,-,-,565,0
,"Administration,
Planning and
Support Services",-,-,-,-,-,-,565,0
"Preven-
tive and
Promotive
Health
Services",,"296,893,897.00","14,000,000","294,242,741","5,978,400",99,43,565,0
