Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as
of 30th June 2023
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index
,ASDSP,"5,000,000","20,261,832","5,000,000",-,100.0,-,618,0
,FAO,"1,245,700",,"101,600",-,8.2,-,618,0
,NAVCDP,-,"70,000,000",-,"62,435,000",-,89.2,618,0
,Development,-,"55,000,000",-,"25,815,629",-,46.9,618,0
,Sub Total,"118,297,154","308,148,026","79,127,367","162,435,000",66.9,52.7,618,0
"General
Administration,
Planning and
Support Services","General
Administration,
Planning and
Support Services","1,887,000",-,"1,593,600",-,84.5,-,618,0
"Fisheries
Development","Empowerment
of women and
Youth on fish
safety andquality
assurance","1,520,000",-,"964,780",-,63.5,-,618,0
,"Construction
of ice plant
andcold storage","16,202,370",-,"8,597,336",-,53.1,-,618,0
,Development,-,"34,727,370",,"28,000,000",-,80.6,618,0
,Sub Total,"19,609,370","34,727,370","11,155,716","28,000,000",56.9,80.6,618,0
"General
Administration,
Planning and
Support Services","General
Administration,
Planning and
Support Services","4,102,872",-,"1,966,260",-,47.9,-,618,0
,,Rec,Dev,Rec,Dev,Rec,Dev,619,0
"Veterinary
Services",Extension services,"1,118,500",-,"942,542",-,84.3,-,619,0
,"Breed
improvement
andartificial
insemination","685,000",-,"649,300",-,94.8,-,619,0
,"Veterinary Public
Health/Abattoirs","1,182,846",-,"1,128,806",-,95.4,-,619,0
,"Leather
Development
Services","629,700",-,"397,800",-,63.2,-,619,0
Disease Control,"Control Tsetse fly
andLaboratory
Services","2,021,172",-,"1,973,100",-,97.6,-,619,0
,"Conduct disease
surveillance
andcarry out
timely vaccination","6,794,600",-,"6,030,800",-,88.8,-,619,0
,Sub Total,"16,534,690",-,"13,088,608",-,79.2,-,619,0
"General
Administration,
Planning and
Support Services","General
Administration,
Planning and
Support Services","4,589,975",-,"2,845,171",-,62.0,-,619,0
"Animal
Husbandry,
Livestock
Resource
Management
andDevelopment","Livestock
Extension Services","2,396,595",-,"1,721,850",-,71.8,-,619,0
,"Animal
Husbandry","1,805,000","42,970,291","1,107,600","40,815,629",61.4,95.0,619,0
,Sub Total,"8,791,570","42,970,291","5,674,621","40,815,629",64.5,95.0,619,0
,Grand Total,"163,232,784","385,845,687","109,046,312","231,250,629",66.8,59.9,619,0
"Gender, Social Service and
Youth Development",,,,,,,,619,0
,,Rec,Dev,Rec,Dev,Rec,Dev,620,0
Child Protection.,"Baseline Survey
for OVC","3,800,000",-,"1,460,500",-,38.4,-,620,0
,"Community
Awareness
creation on Child
Rights andChild
Protection","1,300,000",-,"306,400",-,23.6,-,620,0
,"Enhanced Child
Participation","700,000",-,"235,000",-,33.6,-,620,0
"Social
Development
andProtection.","Women
empowerment","1,800,000",-,"531,300",-,29.5,-,620,0
,"Gender and
Leadership","10,450,000",-,"10,136,000",-,97.0,-,620,0
,"Youth
Empowerment",-,"37,000,000",,"20,000,000",,54.1,620,0
"Sports Training
andCompetitions","county Sports
leagues","5,093,447",-,"2,200,870",-,43.2,,620,0
,"Sports equipment
andsupport","2,000,000",-,-,-,,,620,0
,Sub Total,"25,143,447","37,000,000","14,870,070","20,000,000",59.1,54.1,620,0
"Culture andart
development","Culture Promotion
andDevelopment","10,750,000",-,"5,025,095",-,46.7,-,620,0
,"Empowerment/
Capacity building
of cultural
practitioners","8,200,000",-,"2,403,055",-,29.3,-,620,0
,Sub Total,"18,950,000",-,"7,428,150",-,39.2,-,620,0
"General
administration,
support and
Planning","General
administration,
support and
Planning","8,590,000",-,"4,575,300",-,53.3,-,620,0
,Sub Total,"8,590,000",-,"4,575,300",-,53.3,-,620,0
,Grand Total,"52,683,447","37,000,000","26,873,520","20,000,000",51.0,54.1,620,0
"Education, Vocational
training andECDE",,,,,,,,620,0
,,Rec,Dev,Rec,Dev,Rec,Dev,621,0
"Early Child
care services","ECDE quality
education
standards service","2,350,000",-,"2,093,200",-,89.1,-,621,0
,"ECDE Access
andRetention
Services","21,115,000","15,000,000","14,716,600","8,928,211",69.7,59.5,621,0
,Sub Total,"23,465,000","15,000,000","16,809,800","8,928,211",71.6,59.5,621,0
"Vocational
Training Services","VTC quality
standards training
services","11,935,000",-,"10,161,399",-,85.1,-,621,0
,"Free VTC
education and
Training","5,656,327","50,000,000","5,656,327","15,066,958",100.0,30.1,621,0
,Sub Total,"17,591,327","50,000,000","15,817,726","15,066,958",89.9,30.1,621,0
"General
Administration,
Planning
andsupport
services","General
Administration,
Planning
andsupport
services","158,074,329",-,"156,124,550",-,98.8,-,621,0
,Sub Total,"158,074,329",-,"156,124,550",-,98.8,-,621,0
"VTC access
andretention
of training",Development,,"23,000,000",,"19,019,201",,82.7,621,0
,Development,,"15,000,000",,-,,,621,0
,Sub Total,-,"38,000,000",-,"19,019,201",,50.1,621,0
,Grand Total,"199,130,656","103,000,000","188,752,076","43,014,370",94.8,41.8,621,0
Health andSanitation,,,,,,,,621,0
"Curative
andRehabilitative",Medical Supplies,"142,650,000",-,"139,498,793",-,97.8,-,621,0
,Medical Services,"31,200,000","5,000,000","27,679,783",-,88.7,-,621,0
,"Ambulance
services","8,700,000",-,"8,341,220",-,95.9,-,621,0
"Preventive and
Promotive","Preventive and
Promotive","16,400,000",-,"12,411,178",-,75.7,-,621,0
,"Licensing
andcontrol of
undertaking","9,045,859",-,"8,840,310",-,97.7,-,621,0
,"Licensing
andcontrol of
undertaking","5,800,000",-,"1,276,860",-,22.0,-,621,0
,Sub Total,"213,795,859","5,000,000","198,048,144",-,92.6,-,621,0
,,Rec,Dev,Rec,Dev,Rec,Dev,622,0
"General
Administration,
Planning
andsupport
services","General
Administration,
Planning
andsupport
services","962,950,719","45,000,000","848,556,286","42,266,312",88.1,93.9,622,0
,"General
Administration,
Planning
andsupport
services","18,228,345",-,"2,142,160",-,11.8,-,622,0
,Development,-,"120,000,000",-,-,,-,622,0
,Sub Total,"981,179,064","165,000,000","850,698,446","42,266,312",86.7,25.6,622,0
,Grand Total,"1,194,974,923","170,000,000","1,048,746,590","42,266,312",87.8,24.9,622,0
Special Programme,,,,,,,,622,0
"Drought
management
(Preparedness,
Response,
Mitigation
andRecovery","Drought
contingency","1,500,000",-,"1,498,800",-,99.9,-,622,0
,"Disaster Risk
Management Fund","133,325,095",-,"133,324,540",-,100.0,-,622,0
"Social protection
andresponse to
other disasters","Food distribution
andrations","1,500,000",-,"1,478,300",-,98.6,-,622,0
,"Capacity building
to respond to
fire outbreaks
andother disasters","9,472,672",-,"6,466,300",-,68.3,-,622,0
,"Resettlement
of victims","1,000,000",-,-,-,,-,622,0
,Sub Total,"146,797,767",-,"142,767,940",-,97.3,-,622,0
"General
Administration,
Planning and
Support Services","General
Administration,
Planning and
Support Services",-,-,,-,,-,622,0
,Sub Total,-,-,-,-,,-,622,0
,Grand Total,"146,797,767",-,"142,767,940",-,97.3,-,622,0
Roads andpublic works,,,,,,,,622,0
,,Rec,Dev,Rec,Dev,Rec,Dev,623,0
"County Roads
Development","Monitoring and
Evaluation","3,468,069",-,"3,336,160",-,96.2,-,623,0
,"Routine
maintenance","3,464,700","71,250,000","1,662,200","32,912,725",48.0,46.2,623,0
,"Opening of
new roads","2,419,900","97,000,000","2,120,600","55,029,111",87.6,56.7,623,0
,"Grading,
Murmuring
andtarmacking","1,533,200",-,"1,533,200",-,100.0,-,623,0
,Sub Total,"10,885,869","168,250,000","8,652,160","87,941,836",79.5,52.3,623,0
"County Housing
Development and
Urbanisation","Housing
Development","13,108,730",-,"8,622,587",-,65.8,,623,0
,Urbanisation,"1,259,300","20,000,000","1,159,300",-,92.1,,623,0
,Sub Total,"14,368,030","20,000,000","9,781,887",-,68.1,,623,0
"Public works
and Services","Public works
and Services","38,340,139","154,000,000","35,068,760","120,000,000",91.5,77.9,623,0
,Sub Total,"38,340,139","154,000,000","35,068,760","120,000,000",91.5,77.9,623,0
"General
Administration
and Support
Services","General
Administration
and Support
Services","33,394,701",-,"30,701,608",-,91.9,-,623,0
,Sub Total,"33,394,701",-,"30,701,608",-,91.9,-,623,0
"county
Headquarters","County
Headquarters",-,"232,356",-,-,-,-,623,0
,"County
Headquarters",-,"113,000,000",-,"95,000,000",-,84.1,623,0
"Housing
Development",Urbanisation,-,"10,000,000",-,-,-,-,623,0
,Urbanisation,-,"10,000,000",-,-,-,-,623,0
,Sub Total,-,"133,232,356",-,"95,000,000",,71.3,623,0
,Grand Total,"96,988,739","475,482,356","84,204,415","302,941,836",86.8,63.7,623,0
"Water, Environment and
Natural Resources",,,,,,,,623,0
"Environment
Management","Environmental
Protection","45,552,415",-,"10,917,801",-,24.0,-,623,0
,"Environmental
Protection","9,863,077","50,000,000","8,681,850",-,88.0,-,623,0
,"Control of Air
Pollution","2,795,484",-,"2,087,200",-,74.7,-,623,0
,"Solid Waste
Management","11,098,615",-,"5,732,600",-,51.7,-,623,0
,,Rec,Dev,Rec,Dev,Rec,Dev,624,0
,Sub Total,"69,309,591",-,"27,419,451",-,39.6,-,624,0
"General
administration,
planning support","General
administration,
planning support","42,154,270",-,"22,831,448",-,54.2,-,624,0
,Sub Total,"42,154,270",-,"22,831,448",-,54.2,-,624,0
Water Services,"Water
Management
services","12,208,476",-,"7,076,191",-,58.0,-,624,0
,"Water Sanitation
& Hygiene","3,767,316","351,500,000","594,100","122,522,417",15.8,34.9,624,0
,"Storm Water
Management","3,010,744",-,"689,900",-,22.9,-,624,0
"Energy
Development",Energy,"1,970,640",-,"618,500",-,31.4,-,624,0
,Sub Total,"20,957,176","351,500,000","8,978,691","122,522,417",42.8,34.9,624,0
,Grand Total,"132,421,037","401,500,000","59,229,590","122,522,417",44.7,30.5,624,0
Public service and Administration,,,,,,,,624,0
"General
Administration,
support and
Planning","General
Administration,
support and
Planning","980,129,870",-,"807,319,027",-,82.4,-,624,0
"Human Resource
& Development","Performance
management
system","4,200,000",-,"2,572,894",-,61.3,-,624,0
,"Human resource
development","211,629,351",-,"201,486,500",-,95.2,-,624,0
"County
Administration",Administration,"37,100,000","30,000,000","35,687,760","11,081,511",96.2,36.9,624,0
,Enforcement,"4,500,000",-,"3,613,200",-,80.3,-,624,0
"Citizen
Participation","Citizen
Participation","6,100,000",-,"3,279,247",-,53.8,-,624,0
,Sub Total,"1,243,659,221","30,000,000","1,053,958,628","11,081,511",84.7,36.9,624,0
Programme 2,Sub-programme,-,"15,000,000",-,-,-,-,624,0
,Sub Total,-,"15,000,000",-,-,-,-,624,0
Grand Total,,"1,243,659,221","45,000,000","1,053,958,628","11,081,511",84.7,24.6,624,0
Lands andphysical planning,,,,,,,,624,0
"General
Administration,
Planning
andsupport
services","General
Administration,
Planning
andsupport
services","1,356,000",-,"207,469",-,15.3,-,624,0
