Programme,"Sub-Pro-
gramme",Approved Estimates (Kshs),col_3,"Actual Expenditure as of 30th
June 2023 (Kshs)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",128,0
"Agriculture, Livestock and Co-
operative",,,,,,,,128,0
Agriculture,"Administration
and Support
Service","103,051,581","149,506,739","98,000,000.00","75,000,000.00",95.10,50.16,128,0
,"Extension Ser-
vice andExhi-
bition","1,200,000",-,-,-,-,-,128,0
"Livestock
Production","Livestock Ad-
ministration","56,545,802","85,912,850","53,000,000.00","80,535,527.00",93.73,93.74,128,0
,"Livestock Pro-
duction","5,550,000",-,"4,000,000.00",-,72.07,-,128,0
,"Veterinary
Service","3,350,000","20,000,000","500,000.00","20,000,000.00",14.93,100.00,128,0
Fish Production,"Fisheries Ser-
vice","200,000",-,-,-,-,-,128,0
Cooperative,"Cooperative
Development","600,000",-,-,-,-,-,128,0
,Sub Total,"170,497,383","255,419,589","155,500,000","175,535,527",91.20,68.72,128,0
"Environment, Energy, Natural Resources andWildlife Manage-
ment",,,,,,,,128,0
"Environment
Service","Administration
and Support
Service","73,843,025","70,000,000","66,500,000.00",-,90.06,-,128,0
,"Environment
Management","1,100,000",-,-,-,-,-,128,0
,"Natural Re-
source","1,600,000",-,"900,000.00",-,56.25,-,128,0
"Energy De-
velopment
Program","Energy Devel-
opment","1,205,000",-,-,-,-,-,128,0
,Sub Total,"77,748,025","70,000,000","67,400,000",-,86.69,-,128,0
Road and Transport,,,,,,,,128,0
Road,"Administration
and Support
Service","37,906,400",-,"26,100,000.00",-,68.85,,128,0
,Road,"2,417,200","290,200,000",-,"115,162,469.00",-,39.68,128,0
,Sub Total,"40,323,600","290,200,000","26,100,000","115,162,469",64.73,39.68,128,0
"Trade, Tourism andEnterprise",,,,,,,,128,0
"Administration
and Support
Service","Administration
Support Service","70,747,996",-,"64,400,000.00",-,91.03,-,128,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",129,0
Trade,Trade,"2,400,000",-,"124,000.00",-,5.17,-,129,0
"Weight and-
Measure","Weight and-
Measure","1,350,000",-,-,-,-,-,129,0
Tourism,Tourism,"802,259",-,-,-,-,-,129,0
,Sub- Total,"75,300,255",-,"64,524,000",-,85.69,-,129,0
Health and Sanitation,,,,,,,,129,0
"Administration
and Support
Service","Administration
and Support
Service","2,238,700,869",-,"2,182,482,971.00",-,97.49,-,129,0
Curative Service,Curative,"133,507,400","171,000,000","120,831,013.00","92,455,536.00",90.51,54.07,129,0
"Preventive
Service","Health Promo-
tion andCam-
paign","274,000,000",-,"265,000,000.00",-,96.72,-,129,0
,Sub Total,"2,646,208,269","171,000,000","2,568,313,984","92,455,536",97.06,54.07,129,0
Education and Labour,,,,,,,,129,0
"Education
Service","Administration
and Support
Service","474,039,663",-,"466,400,000.00",-,98.39,,129,0
,ECD,"30,402,400","45,000,000","29,750,000.00","34,400,560.00",97.85,76.45,129,0
,"Vocational
Training","2,601,200","15,000,000","1,635,000.00",-,62.86,-,129,0
"Public Service
andHuman
Resource","Human Re-
source","98,991,483","10,000,000","92,284,000.00","10,000,000.00",93.22,100.00,129,0
,"ICT andLibrar-
ies","22,282,733",0,"19,800,000.00",-,88.86,-,129,0
,Sub Total,"628,317,479","70,000,000","609,869,000","44,400,560",97.06,63.43,129,0
County Assembly,,,,,,,,129,0
"Administration
and Support
Service","Administration
and Support
Service","853,384,051","133,300,704","818,474,699.00","83,475,542.00",95.91,62.62,129,0
,Sub Total,"853,384,051","133,300,704","818,474,699.00","83,475,542.00",95.91,62.62,129,0
County Executive,,,,,,,,129,0
"Executive
Service","Governors
Operation","100,949,050","10,000,000","82,597,035.00",-,81.82,-,129,0
,"Deputy Gover-
nors Operation","36,120,000",0,"29,140,000.00",-,80.68,-,129,0
,Street Lighting,"53,156,215","5,000,000.00","44,350,000.00",-,83.43,-,129,0
,"Operation
andSub-County
Administration","100,410,000","5,000,000.00","94,050,000.00",-,93.67,-,129,0
,"Intergov-
ernmental
andInstitutional
relation","18,592,430",-,"13,950,000.00",-,75.03,-,129,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",130,0
,"County Attor-
ney","18,000,000",-,"11,400,000.00",-,63.33,-,130,0
,Sub Total,"327,227,695","20,000,000","275,487,035",-,84.19,-,130,0
"Finance, Revenue, Economic Planning and County Affairs",,,,,,,,130,0
"Administration
and Support
Service","Administration
and Support
Service","677,832,068","662,000,000","644,878,478.00","622,540,000.00",95.14,94.04,130,0
,Special Program,"186,440,000",-,"170,124,806.00",-,91.25,-,130,0
"Public Finance
Management","Accounting
Service","3,713,739",-,"1,999,000.00",-,53.83,-,130,0
,"Budget Formu-
lation","11,780,000",-,"5,943,840.00",-,50.46,-,130,0
,Audit Service,"3,862,600",-,"980,000.00",-,25.37,-,130,0
,"Economic
Planning","46,086,000.00",-,"41,247,324.00",-,89.50,-,130,0
,"Revenue Man-
agement","153,227,781",-,"142,005,456.00",-,92.68,-,130,0
,"Supply Chain
Management","5,630,000",-,"1,054,500.00",-,18.73,-,130,0
"Donor Co-
ordination","Donor Coordi-
nation","16,780,548",-,"14,500,000.00",-,86.41,-,130,0
,Sub Total,"1,105,352,736","662,000,000","1,022,733,404","622,540,000",92.53,94.04,130,0
"Gender, Social Services andSport",,,,,,,,130,0
Culture Services,"Administration
and Support
Service","55,871,832","30,000,000","38,990,000.00",-,69.78,-,130,0
"Public Enter-
tainment","Social Protec-
tion","1,025,000","10,000,000",-,-,-,-,130,0
Cinema,"Cinema head-
quarter","3,763,600","10,000,000","1,520,000.00",-,40.39,-,130,0
,Sub Total,"60,660,432","50,000,000","40,510,000",-,66.78,-,130,0
Water and Irrigation,,,,,,,,130,0
"Administration
and Support
Service","Administration
and Support
Services","183,556,361",-,"155,020,000.00",-,84.45,-,130,0
,"Water In-
frastructure
Development",-,"716,000,000",,"231,100,000.00",-,32.28,130,0
"Irrigation
Services","Irrigation De-
velopment","3,800,000",-,"2,100,000.00",-,55.26,-,130,0
,Sub Total,"187,356,361","716,000,000","157,120,000","231,100,000.00",83.86,32.28,130,0
"Lands, Housing and Urban Planning",,,,,,,,130,0
