Programme,Sub Programme,"Approved Estimates
(Kshs.)
Rec Dev",col_3,"Actual Expenditure as of 30th
June 2023
(Kshs.)",col_5,"Absorption
Rate (%)",col_7,page_number,table_index,"Approved Estimates
(Kshs.)"
Gender & Social Services,,,,,,,,362,0,
"Programme 1:
General ad-
ministration &
planning","SP1. 1 General
administration &
planning",,-,"66,093,356",-,99,-,362,0,"66,810,744"
"Programme 2:
Gender & Social
Development","SP2. 1 Gender &
Social Develop-
ment",,"15,338,100","14,656,748","13,453,222",99,88,362,0,"14,815,835"
"Programme 3:
Youth Develop-
ment Support &
Empowerment","SP3. 1 Youth
Development",,"20,719,400","1,978,287","18,173,222",99,88,362,0,"1,999,760"
"Programme 2:
Sports Develop-
ment","SP4. 1 Sports
Development",,"54,639,508","1,483,894","47,924,936",99,88,362,0,"1,500,000"
Total Budget,,,"90,697,008","84,212,285","79,551,380",99,88,362,0,"85,126,339"
County Attorney,,,,,,,,362,0,
"Programme 1:
Legal & advisory
services","SP1. 1 Legal &
advisory services",,-,"13,475,016",-,93,-,362,0,"14,463,198"
Total Budget,,,-,"13,475,016",-,93,-,362,0,"14,463,198"
County Secretary,,,,,,,,362,0,
"Programme 1:
Leadership and
Coordination of
departments.","SP1. 1 Leadership
and Coordination
of departments.",,-,"482,994,376",-,99,-,362,0,"487,485,416"
Total Budget,,,-,"482,994,376",-,99,-,362,0,"487,485,416"
Governorship,,,,,,,,362,0,
"Programme 1:
General ad-
ministration &
planning","SP1. 1 General
administration &
planning",,-,"234,880,923",-,94,-,362,0,"251,098,282"
,,,Dev,Rec,Dev,Rec,Dev,363,0,Rec
Total Budget,,,-,"234,880,923",-,94,-,363,0,"251,098,282"
Devolution & Public Service,,,,,,,,363,0,
"Programme 1:
General ad-
ministration &
planning","SP1. 1 General
administration &
planning",,"4,251,693","272,662,307","2,034,973",100,48,363,0,"273,448,389"
"Programme 2:
Public Partici-
pation & Civic
Education","SP2. 1: Public
Participation &
Civic Education",,"7,299,197","16,862,500","7,299,196",94,100,363,0,"17,862,500"
"Programme 4:
Enforcement
andcompliance","SP4. 1 Enforce-
ment andcompli-
ance",,-,"3,004,420",-,91,-,363,0,"3,304,420"
Total Budget,,,"11,550,890","292,529,227","9,334,169",99,81,363,0,"294,615,309"
County Public Service Board,,,,,,,,363,0,
"Programme 1:
General Admin-
istration and
Planning","SP1.1: General
Administration
and Planning",,-,"71,568,575",-,97,-,363,0,"74,013,066"
Total Budget,,,-,"71,568,575",-,97,-,363,0,"74,013,066"
Finance & Socio-Economic Planning,,,,,,,,363,0,
"Programme 1:
General ad-
ministration &
planning","SP1. 1 General
administration &
planning",,"259,145,849","430,574,895","204,381,487",96,79,363,0,"446,574,895"
"Programme 2:
Public Financial
Management","SP2.1 Accounting
services",,-,"7,605,695",-,90,-,363,0,"8,425,441"
,"SP2.2; Budget
formulation,
coordination And
Management",,-,"40,468,995",-,94,-,363,0,"43,196,870"
,"SP2.3; Internal
audit services",,-,"4,020,000",-,89,-,363,0,"4,500,000"
,"SP2.4; Resource
mobilisation",,-,"47,563,130",-,92,-,363,0,"51,628,260"
,"SP2.5; Supply
chain manage-
ment services",,-,"5,776,136",-,82,-,363,0,"7,058,475"
,"SP2.6; Economic
planning",,-,"37,447,494",-,94,-,363,0,"40,049,473"
Total Budget,,,"259,145,849","573,456,344","204,381,487",95,79,363,0,"601,433,414"
County Assembly,,,,,,,,363,0,
"Legislation &
Oversight","Legislation &
Oversight",,"40,233,812","914,919,686","20,182,287",100,50,363,0,"915,541,316"
Grand Total,,,"3,278,755,329","7,310,284,497","2,471,753,880",98,75,363,0,"7,485,986,554"
