"Programme
Sub-Programme",col_1,Approved Estimates,col_3,"Actual Expenditure as of 30th June
2023",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",385,0
County Assembly,,,,,,,,385,0
"General
Admin-
istration
Support
Services","SP 1.1 salaries
and allowances
for employees
andMCAs","217,962,747.00",-,"217,962,747",-,100.0,-,385,0
,"SP 1.2 Employer
Contribution to
Pension","7,350,000.00",-,"7,350,000.00",-,100.0,-,385,0
,"SP 1.2 Hospi-
tality, Cater-
ing services,
donations and-
gifts, boards,
committees,
conference
andseminars","41,400,000.00",-,"34,857,715.00",-,,-,385,0
,"SP 1.3 Domestic
payables from
previous finan-
cial years","44,162,996.00",-,"44,162,996.00",-,100.0,-,385,0
"Legisla-
ture and
Over-
sight","SP2.1Domestic
andforeign
accommoda-
tion, air travels
anddaily subsis-
tence allowance","118,257,475.00",-,"118,257,475.00",-,100.0,-,385,0
,"SP2.2ICT,
Hansard and
Communica-
tion equipment","9,500,000.00",-,"9,500,000.00",-,100.0,-,385,0
,"SP2.3Mortgage
& Car Loansand
tax","164,208,000.00",-,"150,924,000.00",-,91.9,-,385,0
,"SP2.4Staff
Trainings and
Development
and Tuitions","39,945,818.00",-,"39,945,818.00",-,100.0,-,385,0
"County
As-
sembly
Infra-
struc-
ture Im-
prove-
ment","SP 3.12 Mainte-
nance of motor
vehicle","8,000,000.00",-,"8,000,000.00",-,100.0,-,385,0
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",386,0
,"SP 3.13 Pur-
chase of furni-
ture and general
equipment","1,500,000.00",-,"1,500,000.00",-,100.0,-,386,0
,"SP 3.14 Con-
struction of
County Assem-
bly Headquar-
ters andmodern
chambers,
purchase of
landfor speak-
er’s residence,
construction
andequipping of
ward offices",-,"343,305,435.00",-,"87,088,443.00",-,25.4,386,0
,"SP 3.15 Im-
provement of
ICT services","5,016,760.00",-,"5,016,760.00",-,100.0,-,386,0
,"SP 3.16 Mainte-
nance of plants,
machinery &
other assets","5,000,000.00",-,"5,000,000.00",-,100.0,-,386,0
,"SP 3.17 Elec-
tricity, water
andsewerage
and other utility
charges","13,428,878.00",-,"13,428,878.00",-,100.0,-,386,0
,"SP 3.18 Print-
ing, adver-
tisement and
information
supplies and
Services","34,199,509.00",-,"34,199,509.00",-,100.0,-,386,0
,"SP 3.19 Rental
of approved as-
sets and hire of
motor vehicles","2,200,000.00",-,"2,200,000.00",-,100.0,-,386,0
,"SP 3.20 Insur-
ance cost for
group personal,
building, motor
vehicle and
medical cover","31,664,801.00",-,"31,664,801.00",-,100.0,-,386,0
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",387,0
,"SP 3.21 Pur-
chase of com-
puters, printers
and general
office supplies
and accessories
and sanitary
cleaning mate-
rials","35,166,678.00",-,"35,166,678.00",-,100.0,-,387,0
,"SP 3.22 Fuel, oil,
lubricants and
tyres","17,000,000.00",,"17,000,000.00",,100.0,-,387,0
,"SP 3.23 Bank
service com-
mission and
charges, legal
fees, manage-
ment fees and
contracted
professional
charges and
other operating
expenses","12,390,795.00",-,"12,500,000.00",-,100.9,-,387,0
,"SP 3.24 Ward
office","32,000,000.00",-,"32,000,000.00",-,100.0,-,387,0
,"SP 3.25 Uni-
form, Special-
ised materials
and supplies","9,000,000.00",-,"9,000,000.00",-,100.0,,387,0
,"-SP 3.26 Mem-
bership fees
and dues and
subscription to
international
organisations","5,500,000.00",-,"5,500,000.00",-,100.0,-,387,0
,"SP 3.28 Refur-
bishment of
buildings","4,000,000.00",-,"4,000,000.00",-,100.0,-,387,0
,"SP 3.29 Gratu-
ity/pension","14,834,272.00",-,"14,834,272.00",-,100.0,-,387,0
,"SP 3.30 Pur-
chase of motor
vehicle","13,000,000.00",-,"13,000,000.00",-,100.0,-,387,0
,Sub Total,"886,688,729.00","343,305,435.00","866,971,649.00","87,088,443.00",97.8,25.4,387,0
Executive Services,,,,,,,,387,0
,,"Recurrent Ex-
penditure","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expendi-
ture","Devel-
opment
Expendi-
ture",388,0
"Exec-
utive
Services","General Ad-
ministration,
Planning and
Support Ser-
vices","553,500,000.00","140,000,000.00","546,289,187.54","138,415,340.00",98.7,98.9,388,0
,"Management of
County Affairs",-,"700,000,000.00",-,"627,422,629.00",-,89.6,388,0
,Sub Total,"553,500,000.00","840,000,000.00","546,289,187.54","765,837,969.00",98.7,91.2,388,0
Physical Planning and Development,,,,,,,,388,0
"Physical
Plan-
ning
and
Devel-
opment","Urban Develop-
ment Services",,"97,812,794.00",,"77,380,515.00",-,79.1,388,0
,"General
administra-
tion planning
and Support
Services","156,637,768.00",-,"155,426,904.89",-,99.2,-,388,0
,Sub Total,"156,637,768.00","97,812,794.00","155,426,904.89","77,380,515.00",99.2,79.1,388,0
"Education, Skills Development, Youth and Sports",,,,,,,,388,0
"Edu-
cation,
Skills
Devel-
opment,
Youth
and
Sports","General Ad-
ministration,
Planning and
Support Ser-
vices","428,713,481.00",-,"425,078,871.86",-,99.2,--,388,0
,"Youth Develop-
ment",-,"61,359,347.00",-,"29,466,645.00",-,48.0,388,0
,Sub Total,"428,713,481.00","61,359,347.00","425,078,871.86","29,466,645.00",99.2,48.0,388,0
Agriculture Livestock andfisheries,,,,,,,,388,0
"Agri-
culture
Live-
stock
and-
Fisher-
ies","General Ad-
ministration,
Planning and
Support Ser-
vices","111,831,802.00",-,"111,831,800.00",-,100.0,-,388,0
,"Livestock
Production and
Management","124,332,979.00",-,"124,328,900.00",-,100.0,-,388,0
,"Fisheries De-
velopment and
Management","32,513,971.00",-,"31,662,228.00",-,97.4,-,388,0
,"Crop Devel-
opment and
Management",-,"724,679,453.00",-,"411,141,417.00",-,56.7,388,0
,Sub Total,"268,678,752.00","724,679,453.00","267,822,928.00","411,141,417.00",99.7,56.7,388,0
Health Services,,,,,,,,388,0
