Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of
30th June 2023
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",346,0
"Sub-pro-
gramme 8","Capacity Building to
Co-operative Societies",-,"44,413,851",-,-,-,-,346,0
"Sub-pro-
gramme 7","Promotion of Co-op-
erative Marketing and
Value Chain","1,650,000","1,104,276","1,612,000","14,041,918",97.7,1271.59,346,0
"Sub-pro-
gramme 8","Co-operative Financial
Services","1,400,000",-,"1,400,000",-,100.0,-,346,0
"Sub-pro-
gramme 9","Promotion andGrowth
of Co-operative Soci-
eties","1,162,000",-,"730,224",-,62.8,-,346,0
"Sub-pro-
gramme 10","Co-operative Audit
Support Services","2,116,000",-,"896,210",-,42.4,-,346,0
TOTAL,,"312,568,368","420,675,866","221,555,493","198,977,853",70.9,-,346,0
Finance and Economic Planning,,,,,,,,346,0
"Sub-pro-
gramme 1",Revenue Management,"268,835,562","90,089,300","250,223,575","17,221,067",93.1,19.12,346,0
"Sub-pro-
gramme 2","Budget formulation,
Coordination and Im-
plementation Section","43,455,529","43,931,500","42,360,028","3,967,082",97.5,9.03,346,0
"Sub-pro-
gramme 3","Supply Chain Manage-
ment Section","9,741,708","800,000","8,928,257","771,071",91.6,96.38,346,0
"Sub-pro-
gramme 4",Accounts Services,"26,901,846","117,445,544","25,985,844","53,114,880",96.6,45.23,346,0
"Sub-pro-
gramme 5",Audit Section,"16,700,000","500,000","16,327,000","318,355",97.8,63.67,346,0
"Sub-pro-
gramme 6","Human Resource
Management and Sup-
port Services","151,101,508",-,"147,644,330",-,97.7,-,346,0
"Sub-pro-
gramme 7","Economic Planning
and Statistical Services","35,400,326","8,763,885","31,302,502",-,88.4,-,346,0
"Sub-pro-
gramme 8","External Resource Mo-
bilization","800,000",-,"750,000",-,93.8,-,346,0
TOTAL,,"552,936,479","261,530,229","523,521,536","75,392,455",94.7,28.83,346,0
"Public Service, Quality Management and Ict",,,,,,,,346,0
"Sub-pro-
gramme 1","General Administra-
tion and support ser-
vices","299,331,352","47,925,375","258,953,905","42,192,977",86.5,88.04,346,0
"Sub-pro-
gramme 2",Quality Management,"70,000",-,-,-,-,-,346,0
"Sub-pro-
gramme 3","Training, Research and
Development","7,519,500",-,"5,083,640",-,67.6,-,346,0
"Sub-pro-
gramme 4","ICT General Admin-
istration and support
services","51,615,218",-,"43,041,238",-,83.4,-,346,0
"Sub-pro-
gramme 5",ICT Infrastructure,"5,468,555","5,262,277","2,495,549",-,45.6,-,346,0
"Sub-pro-
gramme 6","Closed Circuit Televi-
sion","1,925,000",-,-,-,-,-,346,0
TOTAL,,"365,929,625","53,187,652","309,574,332","42,192,977",84.6,-,346,0
"Tourism, Culture, Youth and Sports",,,,,,,,346,0
"Sub-pro-
gramme 1","General administrative
and Support Services","101,958,883",-,"87,624,691",-,85.9,-,346,0
