Programme,Sub-Programme,Description,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expenditure
(Kshs.)",Variance (Kshs.),Absortion Rate,page_number,table_index
,,,A,B,C=A-B,D=B/A*100,373,0
"Agricultural and
Livestock Sector
Development","Administrative
Services","General Adminis-
tration, Planning
and Support
Services","135,157,471","133,228,478","1,928,993",98.6,373,0
,"Livestock manage-
ment","Livestock Resourc-
es Management
and Development","158,064,900","158,014,900","50,000",100.0,373,0
,Crop Management,"Crop Develop-
ment and Manage-
ment","463,645,783","370,963,967","92,681,816",80.0,373,0
,Flood control,"Irrigation
Infrustructure
Development","4,500,000","4,498,750","1,250",100.0,373,0
,,Sub Total,"761,368,154","666,706,095","94,662,059",87.6,373,0
"Trade, Indus-
tralization
andCooperative
Development","Administrative
Services","General adminis-
tration planning
and Support
Services","41,218,085","38,165,312","3,052,773",92.6,373,0
,"Market develop-
ment","Trade Devel-
opment and
Promotion","36,842,667","16,342,667","20,500,000",44.4,373,0
,,"Cooperative
Development","7,020,000","7,020,000",-,100.0,373,0
,,Sub Total,"85,080,752","61,527,979","23,552,773",72.3,373,0
"Gender Youth
and Social Ser-
vices","Administrative
Services","General adminis-
tration, planning
and support
services","34,868,581","34,358,657","509,925",98.5,373,0
,Youth Affairs,"Youth Develop-
ment","4,978,900","4,966,500","12,400",99.8,373,0
,"Gender and Social
Services",Social Services,"75,832,480","75,805,809","26,671",100.0,373,0
,Special Programme,"Special programs
& disaster man-
agement","520,000,000","519,998,750","1,250",100.0,373,0
,,Sub Total,"635,679,961","635,129,716","550,246",99.9,373,0
Education,"Administrative
Services","General Adminis-
tration, Planning
and Support
Services","774,224,398","773,099,360","1,125,038",99.9,373,0
,"Early Childhood
Development Edu-
cation (ECDE)","Early Childhood
Education","211,417,921","147,317,885","64,100,036",69.7,373,0
,,"Vocational Educa-
tion and Training",-,-,-,-,373,0
,,Sub Total,"985,642,319","920,417,245","65,225,074",93.4,373,0
,,,A,B,C=A-B,D=B/A*100,374,0
"Finance and
Planning Ser-
vices","Administrative
Services","General adminis-
tration planning
and Support
Services","376,504,748","376,233,725","271,023",99.9,374,0
,Financial Services,"Public Finance
Management","61,780,000","51,700,000","10,080,000",83.7,374,0
,Fiscal Planning,Fiscal Formulation,-,-,-,-,374,0
,,Sub Total,"438,284,748","427,933,725","10,351,023",97.6,374,0
Health Services,"Administrative
Services","General adminis-
tration planning
and Support
Services","1,773,676,734","1,682,085,221","91,591,513",94.8,374,0
,Medical Services,"Curative Health
Services","935,924,104","853,822,216","82,101,888",91.2,374,0
,"Public health and
sanitation","Promotive Health
Services","131,186,458","84,826,152","46,360,306",64.7,374,0
,,Sub Total,"2,840,787,296","2,620,733,589","220,053,707",92.3,374,0
"Physical Plan-
ning and Urban
Development","Administrative
Services","General adminis-
tration planning
and Support
Services","62,845,182","60,960,762","1,884,420",97.0,374,0
,"Lands survey and
Mapping","Lands and
Physical Planning
Services","14,528,615","14,512,483","16,132",99.9,374,0
,Housing,"Urban Develop-
ment Services","533,601,158","529,026,690","4,574,468",99.1,374,0
,,Sub Total,"610,974,955","604,499,935","6,475,020",98.9,374,0
"Office of the
Governor and the
Deputy Governor","Administrative
Services","General adminis-
tration planning
and Support
Services","461,069,123","452,928,615","8,140,507",98.2,374,0
,,Sub Total,"461,069,123","452,928,615","8,140,507",98.2,374,0
"County Public
Service Board","Administrative
Services","General adminis-
tration planning
and Support
Services","69,534,470","69,522,112","12,358",100.0,374,0
,,"Physical Infru-
structure","45,793,535","18,553,935","27,239,600",40.5,374,0
,,Sub Total,"115,328,005","88,076,047","27,251,958",76.4,374,0
"County Public
Service Manage-
ment","Administrative
Services","General adminis-
tration planning
and Support
Services","1,773,042,099","1,770,682,948","2,359,151",99.9,374,0
,"Physical Infru-
structure","Physical Infru-
structure Devel-
opment","17,800,000","17,800,000",-,100.0,374,0
,,Sub Total,"1,790,842,099","1,788,482,948","2,359,151",99.9,374,0
