Programme,"Sub-Pro-
gramme",Approved Estimates,col_3,"Actual Expenditure as of 30th
June 2023",col_5,Absorption Rate (%),col_7,page_number,table_index
"Preventive
Health Services","Non -Commu-
nicable Diseas-
es Control And
Prevention","3,000,000",-,"2,699,900",-,90.0,-,316,0
,"Public Health
Promotion
And Nutrition
Services","5,000,000",-,"4,142,704",-,82.9,-,316,0
,"TB/HIV/Aids
Prevention
And Control","15,000,000",-,"12,732,945",-,84.9,-,316,0
,Sub Total,"438,181,232","667,660,000","445,096,345","473,624,668",101.6,70.9,316,0
"Agriculture, Livestock and Fisheries",,,,,,,,316,0
Headquarters,"Headquarter
Administration
Services","23,708,016","23,000,000","21,502,964","11,175,879",90.7,48.6,316,0
,"Agriculture
Sector Exten-
sion Manage-
ment","17,399,539",-,"19,124,414",-,109.9,-,316,0
"Livestock
Production","Livestock
Resource De-
velopment And
Management",-,"2,200,000",-,"2,084,642",-,94.8,316,0
"Veterinary
Services","Animal Health
AndDisease
Management",-,"4,800,000",-,"3,473,000",-,72.4,316,0
"Fisheries Pro-
duction","Fisheries De-
velopment And
Management",-,"1,000,000",-,"1,000,000",-,100.0,316,0
,"Land and Crop
Productivity
Enhancement
And Manage-
ment","2,000,000","5,000,000",-,"4,984,607",-,99.7,316,0
,,Rec,Dev,Rec,Dev,Rec,Dev,317,0
,"Strategic
Food Security
Service",-,"8,687,846",-,"191,800",-,2.2,317,0
,"Climate
Change
Adaptation &
Mitigation",,"66,288,424",-,"66,288,424",-,100.0,317,0
,Sub Total,"43,107,555","110,976,270","40,627,378","89,198,352",94.2,80.4,317,0
"Lands, Infrastructure, Housing and Urban Development",,,,,,,,317,0
"General Ad-
ministration
And Planning
Services","Administration
Services","10,800,000",-,"10,036,662",-,92.9,-,317,0
"Land And
Housing Man-
agement","Housing Policy
Development","1,500,000",-,"1,475,228",-,98.3,-,317,0
"Public Works
Service Deliv-
ery Improve-
ment","County Build-
ing Construc-
tion Standard","1,000,000",-,"974,350",-,97.4,-,317,0
"Renewable /
Green Energy
Services","County
Renewable/
Green Energy
Services","1,036,268","5,000,000","948,351","5,000,000",91.5,100.0,317,0
"Roads Network
Improvement
Housing And
Urban Devel-
opment","Road Network
Improvement",,"230,066,862",-,"178,967,849",-,77.8,317,0
,Sub Total,"14,336,268","235,066,862","13,434,591","183,967,849",93.7,78.3,317,0
"Education, Sports, Youth and Social Services",,,,,,,,317,0
"Administration
And Planning
Services","Administration
Services","6,462,505.00",-,"5,921,303",-,91.6,-,317,0
,"Personnel
Services","1,873,900.00",-,"1,620,983",-,86.5,-,317,0
"Early Child-
hood Devel-
opment (ECD)
And Childcare
Facilities","Education Em-
powerment","50,000,000.00",-,"50,000,000",-,100.0,-,317,0
Social Services,"Strategic Part-
nership And
Collaboration","4,500,000.00",,"4,499,998",-,100.0,-,317,0
,,Rec,Dev,Rec,Dev,Rec,Dev,318,0
Social Services,"Social And
Cultural Devel-
opment",-,"28,000,000.00",-,"18,855,854",-,67.3,318,0
,"Sports Promo-
tion Services","23,403,136.00",-,"23,208,606",-,99.2,-,318,0
"Youth,
Polytechnics,
Vocational
Training","Talent De-
velopment
Services","1,000,000.00",-,-,-,-,-,318,0
,"Children Insti-
tutions Support
Program
(CEDC)","3,700,000.00",,"4,663,350",-,126.0,-,318,0
,"Youth De-
velopment
Empowerment
Services",-,"26,097.00",-,-,-,-,318,0
,"Youth
Polytechnic
Initiative",-,"8,000,000.00",-,"5,246,918",-,65.6,318,0
,"Vocational
Education And
Training","23,160,000.00","7,000,000.00","23,153,650","1,112,672",100.0,15.9,318,0
,Sub Total,"114,099,541","43,026,097","113,067,890","25,215,444",99.1,58.6,318,0
"Trade, Tourism and Co-operative Development",,,,,,,,318,0
"Administra-
tion, Planning
and Support
Services","Administration
Service","4,670,000",-,"4,543,763",-,97.3,-,318,0
,"Personnel
Services","2,700,000",-,"2,665,790",-,98.7,-,318,0
"Co-Operative
Development","Co-Operative
Development
and Promotion","2,515,450",-,"2,512,140",-,99.9,-,318,0
"Trade & Invest-
ments","Market
Infrastructure
Development/
Trade Promo-
tion Services","1,500,000","43,000,000","1,197,182","13,981,992",79.8,32.5,318,0
"Tourism De-
velopment and
Promotion","Tourism Pro-
motion And
Marketing","930,000","2,000,000","917,400",,98.6,-,318,0
,Sub Total,"12,315,450","45,000,000","11,836,275","13,981,992",96.1,31.1,318,0
"Water, Environment And Natural Resources",,,,,,,,318,0
"Water Devel-
opment","Rural Water
Supply And
sanitation",-,"20,500,000",-,"17,874,940",-,87.2,318,0
,,Rec,Dev,Rec,Dev,Rec,Dev,319,0
"General Ad-
ministration
And support
Services","Administrative
And Planning
Services","7,731,689",-,"6,108,893",-,79.0,-,319,0
,"Motor Vehicle
Maintenance
AndFuel Pro-
vision","5,887,900",-,"5,887,650",-,100.0,-,319,0
"Environment
And Natural
Resources","Solid Waste
Management",-,"13,500,000",-,"13,483,190",-,99.9,319,0
,"Human-Wild-
life Conflict
Prevention",-,"2,000,000",-,"2,000,000",-,100.0,319,0
,"Natural
Resources
Management",-,"2,000,000",-,"1,718,761",-,85.9,319,0
,"Climate
Change
Adaptation &
Mitigation",-,"23,000,000",-,"15,894,250",-,69.1,319,0
,"Integrated
Land Rehabili-
tation",-,"1,000,000",-,-,-,-,319,0
,Sub Total,"13,619,589","62,000,000","11,996,543","50,971,141",88.1,82.2,319,0
County Assembly of Laikipia,,,,,,,,319,0
"General
Administra-
tion Support
Services","General
Administra-
tion Support
Services","464,008,355",-,"458,709,334",,98.9,-,319,0
"Legislative And
Oversight","Legislative And
Oversight","198,860,723",-,"196,589,715",,98.9,-,319,0
"County
Assembly
Infrastructure
Improvement","County Assem-
bly Infrastruc-
ture Improve-
ment",,"103,000,000",,"32,162,073",-,31.2,319,0
,Sub Total,"662,869,078","103,000,000","655,299,049","32,162,073",98.9,31.2,319,0
Rumuruti Municipality,,,,,,,,319,0
"General Ad-
ministration
And Planning
Services","Administration
Services","2,000,000",,"2,000,000",,100.0,-,319,0
"Roads Network
Improvement
Housing And
Urban Devel-
opment","Road Network
Improvement",,"7,323,059",,"4,983,144",-,68.0,319,0
