Program,Sub Program,Description,"Final Budget
(Kshs.)","Actual Expenditure
(Kshs.)","Absorption rate
(%)",page_number,table_index
,716014810,"Alcohol andDrug Rehabilitation
Program","7,665,660","5,759,242",75.1,182,0
718004810,,Investment promotion,"20,765,013","20,265,013",97.6,182,0
,718014810,Investment promotion,"20,765,013","20,265,013",97.6,182,0
901004810,,"Administration, Planning and
Support services","35,476,992","30,487,933",85.9,182,0
,901014810,Administrative Services,"35,476,992","30,487,933",85.9,182,0
902004810,,Culture andArts Development,"7,685,228","3,395,689",44.2,182,0
,902014810,Culture andHeritage Conservation,"7,685,228","3,395,689",44.2,182,0
903004810,,"Management and Development of
Sports and Sports Facilities","35,376,048","19,880,965",56.2,182,0
,903024810,"Promotion and Development of
Sports andTalent","35,376,048","19,880,965",56.2,182,0
904004810,,"Youth & Gender Development
andPromotion Services","87,148,228","75,741,822",86.9,182,0
,904014810,"Youth, Disability and gender Em-
powerment andMainstreaming","87,148,228","75,741,822",86.9,182,0
906004810,,"Social Development andPromo-
tions","22,288,042","18,963,426",85.1,182,0
,906014810,"Social Development and Social
Protection","14,123,818","13,130,759",93.0,182,0
,906024810,Child Welfare Services,"8,164,224","5,832,668",71.4,182,0
908004810,,Development of Library Services,"1,400,854","1,111,824",79.4,182,0
,908014810,Library services,"1,400,854","1,111,824",79.4,182,0
1005004810,,Natural Resource Management,"10,203,050","7,753,388",76.0,182,0
,1005014810,Afforestation andRe-afforestation,"6,466,956","5,746,288",88.9,182,0
,1005024810,"Protection of natural resources and
Environmental processes","3,736,094","2,007,100",53.7,182,0
1006004810,,Water and Sanitation Services,"16,394,514","11,995,580",73.2,182,0
,1006014810,"Water Resource Supply and man-
agement","16,394,514","11,995,580",73.2,182,0
1007004810,,Environmental conservation,"17,210,067","10,001,501",58.1,183,0
,1007014810,Environmental Protection,"17,210,067","10,001,501",58.1,183,0
,,Grand Total,"11,338,338,440","10,477,290,252",92.4,183,0
DEVELOPMENT EXPENDITURE BUDGET,,,,,,183,0
101004810,,Livestock Development,"140,337,320","44,685,375",31.8,183,0
,101014810,Dairy Development,"88,210,000","48,878,155",55.4,183,0
,101024810,Poultry Development,"9,600,000","4,860,000",50.6,183,0
,101034810,"Livestock disease andpest preven-
tion","22,590,000","- 11,400,000",- 50.5,183,0
,101044810,"Livestock Market Infrastructure
Improvement","19,937,320","2,347,220",11.8,183,0
102004810,,"Fish Farming Productivity Pro-
gramme","46,080,000","17,720,522",38.5,183,0
,102024810,Promotion of Fish Farming,"46,080,000","17,720,522",38.5,183,0
103004810,,"Crop Production and management
Services","985,666,992","917,239,339",93.1,183,0
,103014810,Cash crop development,-,"1,839,500",,183,0
,103024810,Food crop production,"713,080,000","702,001,495",98.5,183,0
,103034810,Crop pest anddisease management,"2,880,000",-,-,183,0
,103044810,Agricultural Extension andResearch,"269,706,992","213,398,344",79.1,183,0
105004810,,"Agricultural Extension andRe-
search","7,680,000","2,427,100",31.6,183,0
,105014810,Training anddemonstration,"7,680,000","2,427,100",31.6,183,0
106004810,,Cooperative Development,"20,000,000","20,000,000",100.0,183,0
,106014810,Marketing and value addition,"20,000,000","20,000,000",100.0,183,0
107004810,,Land management Services,"100,111,429","30,804,491",30.8,183,0
,107014810,Land Use policy and Planning,"50,111,429","24,489,491",48.9,183,0
,107024810,Land Administration and Planning,"50,000,000","6,315,000",12.6,183,0
108004810,,Housing Management Services,"75,248,000","62,704,924",83.3,183,0
,108024810,Slum Upgrading,"75,248,000","62,704,924",83.3,183,0
110004810,,Urban Development Service,"267,497,513","63,238,555",23.6,183,0
,110024810,"Social Amenities andSanitary
Services","267,497,513","63,238,555",23.6,183,0
201004810,,Road Infrastructure Development,"994,524,386","954,436,863",96.0,183,0
,201014810,Road Maintenance,"116,500,000","109,096,411",93.6,183,0
,201024810,Bridges Culverts Construction,"26,500,000","7,802,712",29.4,183,0
,201034810,Road construction,"851,524,386","837,537,740",98.4,183,0
203004810,,Energy Reticulation,"46,920,742","32,505,567",69.3,183,0
,203014810,Electrification.,"12,480,000","7,397,897",59.3,183,0
,203024810,Renewable Energy,"34,440,742","25,107,670",72.9,183,0
204004810,,Public works Management,-,"6,355,564",,183,0
,204014810,Public works Management,-,"6,355,564",,183,0
307004810,,"Trade Development and Invest-
ment","134,302,190","67,312,933",50.1,183,0
,307014810,"Modern Market infrastructure
development","134,302,190","67,312,933",50.1,183,0
309004810,,"Industrial development and
Investment","228,000,000","187,176,632",82.1,184,0
,309014810,"Industrial Development andPro-
motion","228,000,000","187,176,632",82.1,184,0
401004810,,Preventive and Promotive services,"48,000,000",-,-,184,0
,401064810,"Maternal andchild healthcare
promotion","48,000,000",-,-,184,0
402004810,,"Promotion of Curative health
services","382,749,577","305,858,327",79.9,184,0
,402014810,Health Infrastructure Development,"349,789,577","295,115,013",84.4,184,0
,402024810,Primary medical health services,"21,440,000","110,000",0.5,184,0
,402034810,Blood Transfusion Services,"11,520,000","10,633,314",92.3,184,0
503004810,,"Vocational Education and Train-
ing development","67,562,848","30,566,796",45.2,184,0
,503014810,"Polytechnic Support and Develop-
ment","67,562,848","30,566,796",45.2,184,0
504004810,,"Early Childhood Development
Education (ECDE)","175,300,000","120,624,446",68.8,184,0
,504014810,ECD Infrastructure Development,"172,300,000","120,624,446",70.0,184,0
,504024810,Childcare and development,"3,000,000",-,-,184,0
505004810,,Education Support Programme,"3,888,000",-,-,184,0
,505024810,Non-Tertiary Education Support,"3,888,000",-,-,184,0
705004810,,"Information andcommunication
services","124,365,789","86,639,492",69.7,184,0
,705014810,"Information andcommunication
services","124,365,789","86,639,492",69.7,184,0
709004810,,"Support, Co-ordination andAdvi-
sory services","11,181,038","1,960,080",17.5,184,0
,709014810,Support andAdvisory services,"3,840,000",-,-,184,0
,709024810,County Internal Audit services,"7,341,038","1,960,080",26.7,184,0
710004810,,County Assembly Services,-,"29,826,902",,184,0
,710014810,Oversight services,-,"29,826,902",,184,0
712004810,,"County Public service and admin-
istrative services","83,217,585","34,909,453",42.0,184,0
,712014810,County Administration,"83,217,585","34,909,453",42.0,184,0
716004810,,Alcoholics andDrinks Control,"1,400,000",-,-,184,0
,716014810,"Alcohol andDrug Rehabilitation
Program","1,400,000",-,-,184,0
718004810,,Investment promotion,"212,360,000","164,025,088",77.2,184,0
,718014810,Investment promotion,"212,360,000","164,025,088",77.2,184,0
901004810,,"Administration, Planning and
Support services","4,800,000","4,247,716",88.5,184,0
,901014810,Administrative Services,"4,800,000","4,247,716",88.5,184,0
902004810,,Culture andArts Development,"12,471,874","2,891,535",23.2,184,0
,902014810,Culture andHeritage Conservation,"12,471,874","2,891,535",23.2,184,0
903004810,,"Management and Development of
Sports and Sports Facilities","246,959,551","211,772,631",85.8,184,0
,903014810,Development of Sports facilities,"241,295,673","206,108,753",85.4,184,0
,903024810,"Promotion and Development of
Sports andTalent","5,663,878","5,663,878",100.0,184,0
